cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,GHS_urban_area_id
0.02376236,0.020295447,0.032315537,0.002205995,0.008714241,0.80560935,0.006953663,7.594083e-05,0.001379853,0.09828015,0.00040752935,1.0
0.021893935,0.04224025,0.8135482,0.0037408264,0.032722514,0.03763208,0.00869073,9.353167e-05,0.001720717,0.03716696,0.0005503058,2.0
0.039009955,0.047534537,0.040015053,0.6338432,0.100488864,0.024440395,0.05138857,0.0008755522,0.022894977,0.030762812,0.0087461565,3.0
0.033576906,0.040442325,0.032572336,0.6942103,0.07910999,0.020237897,0.046017352,0.0007080526,0.020001596,0.025898002,0.00722525,4.0
0.065109715,0.081395365,0.061012235,0.40054068,0.17569347,0.035672013,0.09322331,0.00095931924,0.029877955,0.04766283,0.008853098,5.0
0.016340518,0.03067378,0.041242033,0.008055802,0.86202985,0.011815555,0.011438988,0.000111354035,0.0023597237,0.015172691,0.00075969996,6.0
0.3377644,0.100003615,0.04363953,0.0046826247,0.018856889,0.06399707,0.027278788,0.00012080215,0.0030136222,0.399923,0.0007196944,7.0
0.021809733,0.018694825,0.03082208,0.0021945299,0.008532913,0.82917374,0.006750174,7.815492e-05,0.0013889383,0.08014169,0.00041325018,8.0
0.77678216,0.06070697,0.01941683,0.003698156,0.012886585,0.021135956,0.03579635,8.361579e-05,0.002477249,0.06649514,0.0005210775,9.0
0.02235856,0.019126326,0.031298846,0.002273524,0.008764813,0.82639414,0.0069770357,8.157346e-05,0.0014448075,0.08085002,0.0004303467,10.0
0.06338376,0.037672304,0.03242899,0.0024532122,0.010281989,0.09413172,0.010573162,7.0628405e-05,0.0015401709,0.74706066,0.0004034042,11.0
0.028106784,0.022984734,0.03377491,0.0023867039,0.009358644,0.7661334,0.007868411,8.1672355e-05,0.0015178845,0.12734751,0.00043928347,12.0
0.021653876,0.018864488,0.031121906,0.0021749546,0.008480581,0.82856846,0.0066774124,7.715728e-05,0.0013718765,0.08059996,0.0004092329,13.0
0.050497524,0.02818803,0.011105786,0.0065752612,0.012643256,0.009885259,0.8564833,0.00011467135,0.005347217,0.01836085,0.00079880963,14.0
0.007882647,0.006914701,0.0048577427,0.011217893,0.006221635,0.004462515,0.015256307,0.00032121103,0.9341619,0.0057252636,0.002978135,15.0
0.03158704,0.063708335,0.7309703,0.005687964,0.06357377,0.04137358,0.013018261,0.00012907232,0.0024679038,0.0467064,0.0007774128,16.0
0.31003836,0.087999314,0.0421535,0.0045800414,0.018201374,0.06659187,0.026175827,0.00011941376,0.0029522192,0.4404798,0.0007082415,17.0
0.024449896,0.021637045,0.03706492,0.0026592556,0.010254718,0.8108765,0.007912515,9.669225e-05,0.0016803999,0.08286032,0.0005077345,18.0
0.023305058,0.04634485,0.0663682,0.010805933,0.7930015,0.017538691,0.015852194,0.00015861593,0.0033055793,0.02224737,0.0010721008,19.0
0.02291691,0.019957114,0.03273042,0.0023685852,0.009099571,0.82178223,0.007214102,8.536915e-05,0.001504766,0.08189059,0.00045040477,20.0
0.043309685,0.044730645,0.09541533,0.0041660513,0.019131219,0.60678345,0.012650372,0.00013365973,0.0024459737,0.17050225,0.0007314056,21.0
0.029040083,0.023933584,0.035941385,0.0024293559,0.0097148735,0.7529247,0.008014082,8.192673e-05,0.0015293444,0.13594826,0.0004423882,22.0
0.06565134,0.081162795,0.06291512,0.38998312,0.18631804,0.036635503,0.090287685,0.00096490455,0.028647302,0.048646014,0.008788192,23.0
0.02450591,0.021612437,0.036444575,0.0026452043,0.010146409,0.81102383,0.007912939,9.642825e-05,0.0016789353,0.08342707,0.00050620595,24.0
0.06939425,0.09689137,0.08496922,0.18362531,0.35577035,0.042821318,0.079145856,0.00094896357,0.02337876,0.055152804,0.007901725,25.0
0.44088215,0.17242263,0.060086932,0.0064014564,0.031034505,0.052027266,0.03871783,0.00014142563,0.0036882986,0.19372533,0.0008721372,26.0
0.022452775,0.020263802,0.015170582,0.034886684,0.018989282,0.014070188,0.03741734,0.0015281471,0.8028453,0.01731262,0.015063218,27.0
0.04140435,0.069482334,0.06087716,0.032905553,0.6909199,0.023977283,0.037488926,0.00030859205,0.00752269,0.032818895,0.0022942587,28.0
0.041751232,0.0497643,0.04074834,0.62001395,0.10316563,0.0251033,0.055907927,0.0008168639,0.022502812,0.03220426,0.008021363,29.0
0.035042383,0.06303429,0.7171682,0.0055031185,0.05170005,0.052866876,0.013209685,0.00012950422,0.0024619068,0.05811224,0.0007717367,30.0
0.026202267,0.048201635,0.044086907,0.014180498,0.8049737,0.015238614,0.020762052,0.00015950127,0.0038052315,0.02124845,0.0011411455,31.0
0.02181633,0.019225117,0.032999538,0.0022406927,0.008844487,0.82641196,0.006782943,7.910892e-05,0.0013991054,0.07978091,0.00041974583,32.0
0.065015525,0.06989549,0.17859362,0.0060921847,0.03134879,0.3894361,0.018340258,0.00017976452,0.0033729852,0.23671949,0.001005824,33.0
0.029573794,0.050424527,0.053250507,0.022436578,0.76805776,0.019381892,0.024269901,0.00023688034,0.005262834,0.025381103,0.0017242417,34.0
0.55343574,0.11119388,0.03411679,0.009132934,0.028127579,0.03300315,0.14047608,0.00018882191,0.0063000517,0.08280889,0.0012161572,35.0
0.045338746,0.07375181,0.5951173,0.005771988,0.038741983,0.11909264,0.0152664855,0.00015728062,0.0029117048,0.10294723,0.0009029608,36.0
0.037155308,0.06126037,0.6886505,0.0055194553,0.04275605,0.075945295,0.01345965,0.00014087686,0.0025948451,0.071695946,0.0008217083,37.0
0.002842022,0.0025051294,0.0017761381,0.0038905942,0.002238137,0.00164445,0.005313645,0.00012678586,0.9764144,0.002091524,0.0011572125,38.0
0.045737747,0.04573507,0.042077005,0.078718305,0.049626905,0.038481284,0.053358864,0.036708284,0.07914388,0.04173536,0.4886773,39.0
0.052981608,0.048802566,0.038489487,0.08713703,0.047270708,0.03595474,0.07926916,0.0059976885,0.49558684,0.04278981,0.06572039,40.0
0.058336418,0.053979207,0.04297674,0.08891585,0.05174855,0.04049407,0.0849084,0.0075660083,0.44847155,0.047730103,0.07487308,41.0
0.012482367,0.01391134,0.011567233,0.88638765,0.022450497,0.00802752,0.017464686,0.00043610288,0.011938368,0.009907553,0.005426616,42.0
0.045191895,0.038133305,0.025308926,0.05126969,0.032289293,0.023379683,0.10129769,0.0012408692,0.6402251,0.03109417,0.01056945,43.0
0.07625822,0.11232882,0.39095432,0.006838551,0.045157354,0.147532,0.02098377,0.00017542965,0.0035025908,0.19524443,0.001024511,44.0
0.07426945,0.07149709,0.06328849,0.0988035,0.07090547,0.061024744,0.08933545,0.050554525,0.16542716,0.06680355,0.18809047,45.0
0.7855591,0.058834814,0.01875815,0.0034526451,0.012236929,0.02038723,0.03195827,7.790518e-05,0.0022809636,0.06596844,0.00048555463,46.0
0.022556,0.019657291,0.013916744,0.035759505,0.018086333,0.012757602,0.043416336,0.0009260816,0.80748284,0.016376622,0.009064582,47.0
0.020667274,0.037112977,0.051802255,0.011427771,0.8245863,0.015561597,0.014901433,0.00015814131,0.0032659376,0.019438762,0.0010775567,48.0
0.070955224,0.06719136,0.05675662,0.10281157,0.065945424,0.054075263,0.09254799,0.020370862,0.24772109,0.061206196,0.16041845,49.0
0.16420503,0.11576645,0.050244257,0.03463181,0.07428188,0.037615918,0.43447718,0.00043024714,0.017182201,0.068014525,0.0031505662,50.0
0.025698788,0.021108856,0.031789202,0.0022405928,0.008797349,0.7889947,0.007312456,7.712757e-05,0.0014240614,0.112143464,0.0004134524,52.0
0.022488037,0.039320905,0.040837955,0.015537693,0.8244352,0.014460051,0.018526226,0.00017199237,0.0038989857,0.019088933,0.0012340124,53.0
0.049425874,0.10742375,0.21747607,0.014471412,0.48546472,0.03991077,0.02722001,0.00024760564,0.0051151346,0.051636934,0.0016077433,54.0
