cluster_0_prob,cluster_1_prob,cluster_2_prob,GHS_urban_area_id
0.50974494,0.47707045,0.0131845875,1
0.12879296,0.8617121,0.009494961,2
0.04287411,0.066688985,0.89043695,3
0.17217264,0.68938124,0.13844605,4
0.017977424,0.034137063,0.9478855,5
0.06341962,0.09527493,0.84130543,6
0.2982142,0.6898099,0.011975919,7
0.9756198,0.02278223,0.0015979742,8
0.9597784,0.037124757,0.003096785,9
0.9663941,0.031617142,0.0019886685,10
0.5463794,0.4411788,0.012441858,11
0.82233804,0.17034814,0.007313888,12
0.7476588,0.24268782,0.009653342,13
0.55830437,0.42953593,0.012159698,14
0.061540052,0.9251669,0.013293037,15
0.17529377,0.55378044,0.27092573,16
0.96019906,0.036624003,0.0031769534,17
0.48553813,0.50181186,0.012650075,18
0.15886137,0.44239166,0.398747,19
0.92541265,0.07079505,0.0037922873,20
0.15925446,0.4590102,0.38173527,21
0.7793876,0.2123434,0.00826894,22
0.102824524,0.23843355,0.65874195,23
0.36637887,0.6208977,0.012723399,24
0.051592868,0.10756375,0.8408434,25
0.13253275,0.80833167,0.05913551,26
0.094746664,0.875962,0.029291349,27
0.11045341,0.25987488,0.6296717,28
0.17268345,0.61140096,0.2159156,29
0.13822103,0.80204475,0.059734207,30
0.034261238,0.068156585,0.8975822,31
0.097550385,0.8753566,0.027093042,32
0.21575084,0.77032757,0.013921585,33
0.8214208,0.17115536,0.0074238097,34
0.66835165,0.3208829,0.010765467,35
0.0660803,0.9236554,0.010264323,36
0.14934397,0.83836144,0.012294579,37
0.03553971,0.9597244,0.0047358684,38
0.11928592,0.29151422,0.58919984,39
0.15257174,0.740593,0.10683519,40
0.12752791,0.8101913,0.062280804,41
0.008826058,0.016015237,0.9751587,42
0.09439499,0.8984503,0.0071546636,43
0.17601308,0.6142779,0.209709,44
0.12364995,0.8197532,0.05659681,45
0.9711086,0.026810098,0.0020812573,46
0.3935597,0.5928131,0.013627272,47
0.09355277,0.13481577,0.7716315,48
0.09081752,0.8805804,0.028602012,49
0.088357694,0.9006199,0.011022389,50
0.8809115,0.11364365,0.005444796,52
0.09850984,0.14023861,0.76125157,53
0.0131636225,0.022568623,0.9642678,54
0.40413272,0.5835626,0.01230468,55
0.015376691,0.0258044,0.9588189,56
0.955537,0.04189513,0.0025678212,57
0.12726648,0.8112744,0.061459143,58
0.12604283,0.17250115,0.701456,59
0.9679766,0.02964047,0.0023829162,60
0.95230997,0.04499387,0.002696125,61
0.9662092,0.03129156,0.0024992533,62
0.04188967,0.06552397,0.89258635,63
0.916145,0.07971652,0.0041384115,64
0.048667155,0.0751171,0.8762157,65
0.08222811,0.12007504,0.7976968,66
0.06434302,0.09681658,0.83884037,67
0.19026457,0.23838393,0.5713514,68
0.109053634,0.15288292,0.7380634,69
0.080452174,0.11785324,0.80169463,70
0.28805345,0.70039517,0.011551379,71
0.08471387,0.12352644,0.7917596,72
0.10026729,0.14256133,0.75717145,73
0.15591879,0.73202026,0.112060964,74
0.107860014,0.15177849,0.7403615,75
0.1021427,0.87490875,0.022948513,76
0.054970924,0.9386109,0.0064181504,77
0.9769317,0.02150877,0.0015595579,78
0.07971331,0.11706753,0.80321914,79
0.02054469,0.033985496,0.9454698,80
0.055456694,0.11653666,0.8280066,81
0.050507426,0.07769635,0.8717962,82
0.065204084,0.13928765,0.79550827,83
0.08223323,0.18281357,0.73495317,84
0.050574787,0.9417373,0.0076878997,85
0.7722082,0.21911755,0.008674226,86
0.0057680034,0.010301716,0.9839303,87
0.011685967,0.019992843,0.9683212,88
0.104660735,0.1477325,0.74760675,89
0.1597878,0.46135953,0.37885264,90
0.17222695,0.5742385,0.25353456,91
0.9716084,0.026418442,0.0019732253,92
0.082436234,0.12099031,0.79657346,93
0.03272726,0.065177865,0.9020949,94
0.017205352,0.028780319,0.95401436,95
0.50085133,0.4869342,0.012214515,96
0.06682107,0.14426884,0.7889101,97
0.14626656,0.39131397,0.46241942,98
0.08876937,0.12861304,0.7826176,99
0.12502348,0.31094518,0.5640313,100
0.09085427,0.88281626,0.02632945,101
0.011063796,0.019661108,0.9692751,102
0.105817206,0.24987243,0.6443104,103
0.01969252,0.032386318,0.9479212,104
0.021858513,0.04199413,0.93614733,105
0.04620789,0.094868064,0.85892403,106
0.12777607,0.32094723,0.5512767,107
0.11201756,0.26801452,0.6199679,108
0.051663544,0.07906149,0.8692749,109
0.111433156,0.26587746,0.62268937,110
0.15689093,0.833553,0.009556044,111
0.016301723,0.031061029,0.95263726,112
0.966033,0.031767283,0.0021997236,113
0.17148972,0.5662572,0.2622531,114
0.17059366,0.5548027,0.2746036,115
0.16701965,0.516202,0.3167784,116
0.15165757,0.74842334,0.09991908,117
0.12035181,0.8285956,0.051052604,118
0.0070426315,0.012877165,0.9800802,119
0.13996783,0.83417964,0.0258526,120
0.82315105,0.16948862,0.0073602796,121
0.09030611,0.9022823,0.007411634,122
0.04550167,0.09351492,0.8609834,123
0.28444654,0.7037973,0.011756165,124
0.50849015,0.47593698,0.015572863,125
0.33079785,0.65727746,0.011924673,126
0.16453448,0.49364105,0.34182453,127
0.020037094,0.038674958,0.94128793,128
0.13154617,0.80028,0.06817387,129
0.1629646,0.69863355,0.13840185,130
0.16734804,0.5132129,0.31943905,131
0.064913854,0.9295637,0.0055224677,133
0.0056344084,0.009790793,0.98457474,134
0.86110556,0.13272771,0.0061668013,135
0.08939593,0.88772523,0.022878932,136
0.5407051,0.44648606,0.012808772,137
0.14373647,0.76846415,0.087799355,138
0.123112336,0.30453902,0.57234865,139
0.11346091,0.2731862,0.61335284,140
0.027623635,0.054416046,0.9179603,141
0.109542064,0.26082748,0.62963045,142
0.14199498,0.37545776,0.48254722,143
0.15253122,0.8385679,0.008900873,144
0.151489,0.4181716,0.4303394,145
0.08365267,0.8919266,0.024420755,146
0.9745734,0.023773056,0.0016535217,147
0.27469167,0.71390706,0.011401347,148
0.05155094,0.107132465,0.8413166,149
0.063689984,0.9254257,0.010884318,150
0.17224893,0.5951718,0.23257923,151
0.03513542,0.055266578,0.909598,152
0.19089271,0.23876798,0.57033926,153
0.17151894,0.57452077,0.25396034,154
0.20506126,0.251466,0.54347277,155
0.009337333,0.016348675,0.974314,156
0.17578052,0.6198393,0.2043801,157
0.10456227,0.24450918,0.6509286,158
0.16868499,0.68525535,0.14605968,159
0.116201974,0.8329079,0.05089011,160
0.045122307,0.9490902,0.0057874857,161
0.03904105,0.07815484,0.8828041,162
0.13818151,0.358846,0.5029725,163
0.107054256,0.2534978,0.63944787,164
