cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,GHS_urban_area_id
0.017816095,0.033700675,6.540455e-05,0.7000449,0.0074272105,0.05961755,0.062144727,0.0007623086,0.054397624,0.0036388778,0.060384676,1.0
0.036030423,0.042277567,9.5380004e-05,0.07097849,0.00827002,0.15781425,0.026596723,0.0010074471,0.6119229,0.0039811935,0.041025568,2.0
0.018576281,0.024303798,8.526876e-05,0.06996162,0.007687202,0.6944807,0.033320595,0.0009150605,0.1166267,0.004181586,0.02986115,3.0
0.021029094,0.026647631,9.2766284e-05,0.07271731,0.008647165,0.6593721,0.03337173,0.0010078582,0.1413186,0.0043786387,0.031417098,4.0
0.08233738,0.074364334,9.846567e-05,0.055929948,0.007997622,0.059790555,0.020720605,0.0010234173,0.6451432,0.003625574,0.048968863,5.0
0.011623115,0.014876376,6.7471854e-05,0.044963118,0.006358006,0.817056,0.026678545,0.00074011774,0.05558476,0.0034526966,0.018599818,6.0
0.01753578,0.03544086,6.0483635e-05,0.7211663,0.0067326915,0.04434999,0.05605528,0.0007011547,0.047279343,0.0033745146,0.067303605,7.0
0.12956381,0.6827564,6.154294e-05,0.029928556,0.004299404,0.015241524,0.01246246,0.00062230916,0.04066101,0.0022517021,0.08215125,8.0
0.06450818,0.5540048,6.985144e-05,0.047780126,0.0050673657,0.019303657,0.018806262,0.00071570766,0.043284006,0.0028505598,0.24360956,9.0
0.5547349,0.26495922,8.278451e-05,0.02985387,0.0056324606,0.018181622,0.013265102,0.00083210395,0.05210943,0.0027493096,0.057599206,10.0
0.45180243,0.34884056,8.843065e-05,0.033255838,0.0060804803,0.019419182,0.014668648,0.00089360564,0.054027047,0.0029770571,0.06794677,11.0
0.074020304,0.725237,5.275552e-05,0.030180568,0.0037757494,0.013834742,0.012129326,0.0005380031,0.034598287,0.002025058,0.10360823,12.0
0.025628624,0.100526914,5.890673e-05,0.051895753,0.004223166,0.017129317,0.02310327,0.0006031377,0.027732681,0.0027841819,0.74631405,13.0
0.8175449,0.08154543,5.842859e-05,0.016265236,0.0037868896,0.0115259,0.0077253305,0.00057945336,0.032963887,0.001781691,0.026222913,14.0
0.80180067,0.08145236,7.1412185e-05,0.01862082,0.0045808656,0.013780486,0.008985177,0.00070667727,0.03923381,0.002125016,0.028642671,15.0
0.797579,0.086014315,7.581459e-05,0.018915035,0.0047913883,0.013637786,0.009293565,0.00074862514,0.03685089,0.002239498,0.029854065,16.0
0.02487773,0.08890676,6.331092e-05,0.059653714,0.0045614317,0.019027853,0.02720995,0.00064929866,0.029142253,0.0030841313,0.74282354,17.0
0.8083677,0.08585631,6.517498e-05,0.017202117,0.0041462597,0.01212089,0.00833361,0.0006434241,0.03328677,0.0019654827,0.028012248,18.0
0.6898506,0.15212132,7.259037e-05,0.02574009,0.0050811265,0.0169686,0.011257525,0.0007350592,0.053704083,0.0023666318,0.04210232,19.0
0.02470306,0.097373106,5.5867433e-05,0.053208895,0.004086311,0.016955206,0.022578912,0.00057535735,0.027707873,0.0026483268,0.75010705,20.0
