cluster_0_prob,cluster_1_prob,cluster_2_prob,GHS_urban_area_id
0.036091287,0.96231484,0.0015938292,1
0.15907612,0.83808196,0.0028419194,2
0.11491358,0.1866353,0.6984511,3
0.2457909,0.5268659,0.22734314,4
0.037919197,0.96063316,0.0014475872,5
0.025877884,0.037259605,0.9368625,6
0.9596674,0.039458938,0.0008737281,7
0.97558177,0.023713779,0.0007044707,8
0.97426164,0.025020348,0.0007179821,9
0.97795707,0.021439124,0.0006037873,10
0.029298943,0.9696621,0.0010390216,11
0.32170734,0.67446595,0.0038267176,12
0.23178403,0.68735164,0.080864236,13
0.96616805,0.032753125,0.0010789238,14
0.97390705,0.025471838,0.0006211068,15
0.24809967,0.6145267,0.13737364,16
0.8982437,0.10002359,0.001732787,17
0.97127455,0.027853293,0.0008720823,18
0.14544693,0.83609235,0.018460806,19
0.21586466,0.78088206,0.0032531994,20
0.7597025,0.23723015,0.0030673095,21
0.95387506,0.044535927,0.0015890722,22
0.16290854,0.812955,0.02413636,23
0.97713554,0.022228176,0.0006362419,24
0.13188587,0.8528626,0.015251597,25
0.2647421,0.73142564,0.0038322113,26
0.17439027,0.79611975,0.029489921,27
0.24973659,0.59254724,0.15771617,28
0.07329198,0.9219615,0.00474647,29
0.17024249,0.80231184,0.027445743,30
0.11805801,0.19191499,0.690027,31
0.04102891,0.9574009,0.0015701741,32
0.2482793,0.5509792,0.20074138,33
0.0771026,0.9210858,0.0018116988,34
0.7983919,0.19886696,0.0027411545,35
0.07748533,0.9205483,0.0019663945,36
0.24654604,0.62592,0.127534,37
0.96930623,0.029760359,0.0009334689,38
0.2393534,0.48566443,0.27498218,39
0.03628045,0.9622567,0.0014627631,40
0.97123426,0.027926212,0.0008394869,41
0.13795894,0.8455987,0.016442416,42
0.18978396,0.80712116,0.0030949542,43
0.116837405,0.87143385,0.01172873,44
0.14068104,0.85665095,0.002668032,45
0.8519293,0.14582816,0.0022425326,46
0.22983253,0.4520599,0.31810752,47
0.044860452,0.06681053,0.888329,48
0.043996178,0.9545223,0.0014815368,49
0.19976714,0.3645623,0.4356705,50
0.97353345,0.025701767,0.0007647532,52
0.027036685,0.037023596,0.9359397,53
0.2494926,0.5830858,0.16742153,54
0.8586041,0.13915025,0.0022456683,55
0.23062736,0.45531198,0.3140606,56
0.95813936,0.040472656,0.0013880199,57
0.9540987,0.044322535,0.0015788251,58
0.07485738,0.0957194,0.8294232,59
0.95756274,0.04100602,0.0014312296,60
0.96427786,0.03459966,0.0011224414,61
0.9428113,0.055090256,0.0020984765,62
0.14338006,0.24047256,0.61614746,63
0.9633124,0.035883117,0.0008045203,64
0.11196236,0.18104124,0.70699644,65
0.040926658,0.054673366,0.9043999,66
0.10828142,0.17444858,0.71726996,67
0.15010907,0.17949016,0.67040074,68
0.055640962,0.07252063,0.8718384,69
0.01958223,0.027247129,0.95317066,70
0.90825474,0.09012935,0.0016159979,71
0.113862224,0.18449917,0.7016386,72
0.050624132,0.066710725,0.8826651,73
0.95281446,0.04621444,0.0009710458,74
0.020722594,0.029019613,0.9502578,75
0.060558513,0.092908084,0.8465335,76
0.40226448,0.59357256,0.0041629495,77
0.14393502,0.8374289,0.018636031,78
0.098844625,0.15741098,0.7437443,79
0.23547971,0.4746391,0.28988117,80
0.1831024,0.81371737,0.003180356,81
0.0488287,0.07333848,0.8778329,82
0.1621126,0.2778892,0.5599982,83
0.1037713,0.88689506,0.009333689,84
0.9249277,0.07366785,0.001404388,85
0.9765033,0.022907354,0.0005893267,86
0.24217324,0.50537574,0.25245106,87
0.2488833,0.562313,0.18880369,88
0.035870265,0.048130944,0.9159988,89
0.96679413,0.03244984,0.0007559655,90
0.22147594,0.7128612,0.06566294,91
0.97099775,0.028152823,0.00084938,92
0.19552422,0.35379428,0.4506815,93
0.23398668,0.6799139,0.086099446,94
0.17201579,0.29886281,0.52912134,95
0.94970256,0.048539,0.0017584964,96
0.16888084,0.8038056,0.027313631,97
0.24144503,0.6536401,0.10491485,98
0.03872529,0.057259567,0.90401506,99
0.9738662,0.025460139,0.0006736663,100
0.103059106,0.8875057,0.009435213,101
0.2491072,0.56840664,0.1824862,102
0.21940953,0.7177643,0.062826075,103
0.15815732,0.27015463,0.571688,104
0.23951098,0.66097295,0.09951607,105
0.14822191,0.8316787,0.020099409,106
0.05357844,0.9431628,0.0032586344,107
0.1915778,0.7699432,0.038478952,108
0.020874243,0.029797832,0.9493279,109
0.19294201,0.76707476,0.039983105,110
0.967788,0.031201478,0.0010105378,111
0.24721558,0.62182474,0.13095972,112
0.93017834,0.06712565,0.0026959672,113
0.84735954,0.15031202,0.002328367,114
0.8684405,0.12948444,0.0020750414,115
0.6976552,0.2988491,0.0034956962,116
