cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,GHS_urban_area_id
0.9303016,0.03963994,0.0017049803,2.0326932e-05,0.028333161,1.0
0.9213346,0.04347452,0.0020969426,2.5131527e-05,0.033068806,2.0
0.047402576,0.918828,0.0021941182,2.5768799e-05,0.031549517,3.0
0.38887548,0.49900416,0.005133356,5.8126985e-05,0.106928796,4.0
0.1198008,0.24322642,0.01624233,0.000121860176,0.62060857,5.0
0.034633003,0.93648744,0.0016760397,1.885106e-05,0.027184648,6.0
0.07194419,0.060391165,0.008112996,5.6396904e-05,0.8594952,7.0
0.93770164,0.034103945,0.0014961247,1.7449864e-05,0.026680784,8.0
0.82069325,0.077688746,0.0037808868,3.989978e-05,0.097797185,9.0
0.9356027,0.03633281,0.0015074972,1.7753533e-05,0.026539247,10.0
0.9354624,0.03434103,0.0015050494,1.7275694e-05,0.028674262,11.0
0.93462825,0.034633968,0.0015180403,1.7361634e-05,0.029202368,12.0
0.9369311,0.033902243,0.0014788432,1.7012537e-05,0.027670857,13.0
0.027628293,0.026488427,0.0025576693,1.9402358e-05,0.94330615,14.0
0.10333181,0.10914692,0.5804672,0.000716073,0.20633796,15.0
0.91384107,0.05012498,0.0017219577,1.970649e-05,0.03429232,16.0
0.9156286,0.04756325,0.0022353067,2.7144148e-05,0.034545723,17.0
0.9228365,0.043204587,0.002010368,2.4184263e-05,0.031924374,18.0
0.92675537,0.042880494,0.001704355,2.0311038e-05,0.028639507,19.0
0.9356885,0.034395408,0.0014867579,1.7024815e-05,0.028412348,20.0
0.92509186,0.044177607,0.0016407382,1.9331805e-05,0.02907043,21.0
0.93434745,0.036950257,0.0015820407,1.8720424e-05,0.027101554,22.0
0.637039,0.16891749,0.0054081897,5.5452107e-05,0.18857978,23.0
0.91615635,0.04654127,0.0022665972,2.7401467e-05,0.03500842,24.0
0.048397847,0.90119165,0.002528053,2.719442e-05,0.047855217,25.0
0.91584057,0.043882467,0.0017912952,2.0090585e-05,0.038465634,26.0
0.13557358,0.13859314,0.5486042,0.009686551,0.16754244,27.0
0.8320197,0.11238176,0.003161564,3.8478054e-05,0.052398585,28.0
0.03436279,0.93869376,0.0015082258,1.6994447e-05,0.02541822,29.0
0.91895187,0.04350161,0.0022221345,2.6490252e-05,0.035297934,30.0
0.1497547,0.75431526,0.0038611132,4.144729e-05,0.09202745,31.0
0.9257686,0.040524073,0.0019582168,2.3308587e-05,0.031725775,32.0
0.9127887,0.042771433,0.002271126,2.5742802e-05,0.042143065,33.0
0.9371102,0.034681913,0.0015175807,1.7773522e-05,0.0266726,34.0
0.9350518,0.03631043,0.0015134963,1.779206e-05,0.027106507,35.0
0.64957964,0.24324591,0.0044687814,5.0054394e-05,0.10265562,36.0
0.93710685,0.03468407,0.0015033802,1.7504475e-05,0.02668814,37.0
0.09384117,0.09250995,0.020696467,0.00012516908,0.7928272,38.0
0.18234605,0.18486412,0.31015742,0.12183799,0.20079441,39.0
0.15217945,0.15577286,0.49365157,0.0149136335,0.18348248,40.0
0.11144234,0.11471174,0.6249973,0.0056712846,0.14317727,41.0
0.0556598,0.9000133,0.0030950485,3.6468336e-05,0.04119529,42.0
0.09486061,0.09953231,0.62251186,0.00067397096,0.18242125,43.0
0.25598177,0.5763086,0.005490063,5.8103054e-05,0.16216137,44.0
0.16981952,0.17167526,0.2633847,0.21108042,0.18404011,45.0
0.92194265,0.043936625,0.001999546,2.4141738e-05,0.032097034,46.0
0.1665793,0.17014802,0.44404194,0.023509428,0.19572127,47.0
0.0347747,0.9360423,0.0016492903,1.8411396e-05,0.027515322,48.0
0.12143287,0.12471875,0.5932167,0.0070457016,0.15358599,49.0
0.05339867,0.055902887,0.81484497,0.0014681051,0.07438545,50.0
0.9355997,0.034204528,0.0015166297,1.7390284e-05,0.02866179,52.0
0.03469184,0.9378011,0.0016088482,1.8239878e-05,0.02587995,53.0
0.0353745,0.9357081,0.0017154278,1.9417494e-05,0.027182551,54.0
0.12908047,0.13271149,0.5682502,0.0083836485,0.1615742,55.0
0.035465013,0.93595254,0.0016989564,1.9275005e-05,0.026864257,56.0
0.9370581,0.035111528,0.0014704977,1.7225446e-05,0.026342664,57.0
0.06749711,0.061159745,0.010263144,6.7806264e-05,0.8610122,58.0
0.039528158,0.92289126,0.002055039,2.2599921e-05,0.035502933,59.0
0.027554648,0.027455693,0.0026500607,1.997036e-05,0.94231963,60.0
0.036838286,0.036989383,0.004375966,3.14285e-05,0.9217649,61.0
0.027758477,0.026195683,0.002531494,1.9014053e-05,0.94349533,62.0
0.034804963,0.93819386,0.0015678522,1.7779712e-05,0.025415534,63.0
0.93309975,0.037187405,0.0014796049,1.7155813e-05,0.028216053,64.0
0.0481773,0.9120751,0.0026479803,3.041832e-05,0.03706931,65.0
0.035641905,0.9343553,0.0017643085,1.9899491e-05,0.028218584,66.0
0.033795327,0.93847334,0.0015666937,1.7546026e-05,0.026147129,67.0
0.04376252,0.9231015,0.0020643817,2.4080819e-05,0.031047452,68.0
0.036290642,0.93671256,0.0015667299,1.7900136e-05,0.025412107,69.0
0.03438854,0.9381896,0.001519351,1.6998221e-05,0.025885502,70.0
0.9355786,0.036166806,0.0015048503,1.770223e-05,0.026732003,71.0
0.033915576,0.9378471,0.0015629228,1.7422417e-05,0.02665699,72.0
0.037983306,0.9271199,0.0019888964,2.2014812e-05,0.032885835,73.0
0.037192293,0.041540116,0.0030323332,2.3859388e-05,0.9182114,74.0
0.03394144,0.93902606,0.0015216154,1.7109289e-05,0.025493806,75.0
0.18415552,0.186786,0.3568267,0.065557525,0.20667422,76.0
0.9335826,0.035976924,0.0016787212,1.9701505e-05,0.028742058,77.0
0.9365139,0.03553851,0.0014855472,1.7442924e-05,0.026444554,78.0
0.034568023,0.9383761,0.0014874041,1.6711338e-05,0.02555169,79.0
0.03477721,0.9386751,0.0014871984,1.6779764e-05,0.025043707,80.0
0.034630954,0.93740934,0.0015451042,1.7365786e-05,0.026397195,81.0
0.03465474,0.93547636,0.0016398603,1.8179358e-05,0.028210884,82.0
0.034927726,0.93702585,0.0016498847,1.8692977e-05,0.026377797,83.0
0.18450566,0.18703867,0.3301923,0.09362113,0.2046422,84.0
0.9330252,0.03691023,0.0016268007,1.922486e-05,0.028418599,85.0
0.9312132,0.035842415,0.0016269436,1.86614e-05,0.03129888,86.0
0.04170548,0.9257513,0.002022306,2.3391929e-05,0.03049753,87.0
0.034583274,0.9386797,0.0014834114,1.6678832e-05,0.025236953,88.0
0.035118174,0.93593705,0.0015482033,1.7134564e-05,0.02737939,89.0
0.12237963,0.12562959,0.5900559,0.0071929777,0.15474188,90.0
0.042836186,0.9143901,0.0023240342,2.5201418e-05,0.040424567,91.0
0.07716505,0.07992235,0.01483098,9.356042e-05,0.827988,92.0
0.034674246,0.93839496,0.0015600662,1.7709242e-05,0.025352985,93.0
0.036746323,0.93622905,0.0015730698,1.7915301e-05,0.02543372,94.0
0.034578525,0.9368802,0.0016556755,1.863361e-05,0.026867019,95.0
0.93466616,0.0354948,0.0016317818,1.916579e-05,0.02818809,96.0
0.034974832,0.93849564,0.0015105392,1.708581e-05,0.025001891,97.0
0.033984028,0.93777645,0.0016029793,1.7942788e-05,0.026618652,98.0
0.03413556,0.93919885,0.0015029085,1.6911645e-05,0.025145737,99.0
0.03938806,0.04097045,0.862588,0.00094841147,0.056105074,100.0
0.03526055,0.93488806,0.0015895966,1.7542074e-05,0.028244229,101.0
0.035225507,0.93805516,0.001551481,1.7642322e-05,0.025150271,102.0
0.03593872,0.9320167,0.0017967676,1.987684e-05,0.030227914,103.0
0.03544959,0.93750507,0.0014853182,1.6672962e-05,0.025543347,104.0
0.03433565,0.93694603,0.0016187947,1.8067773e-05,0.027081424,105.0
0.03510576,0.93808204,0.001556063,1.7689681e-05,0.025238447,106.0
0.03554413,0.93303084,0.001751748,1.9365782e-05,0.0296539,107.0
0.036009733,0.93706214,0.0015385433,1.7381886e-05,0.025372166,108.0
0.042595927,0.92825645,0.0016166182,1.8405926e-05,0.027512535,109.0
0.047758866,0.9018578,0.002643586,2.8348879e-05,0.047711477,110.0
0.026742088,0.025510091,0.0022596768,1.7372084e-05,0.94547075,111.0
0.13585392,0.3781914,0.011838234,0.00010050271,0.474016,112.0
0.75300854,0.10708823,0.004445074,4.626184e-05,0.13541187,113.0
0.16805865,0.7305217,0.0040325355,4.3671047e-05,0.09734344,114.0
