cluster_0_prob,cluster_1_prob,cluster_2_prob,GHS_urban_area_id
0.16257437,0.03033175,0.8070939,1
0.15470117,0.027472403,0.81782645,2
0.088259205,0.7657618,0.14597899,3
0.23461857,0.12479102,0.6405903,4
0.22765516,0.27615508,0.49618977,5
0.017979821,0.9558177,0.026202405,6
0.07530302,0.003580147,0.9211169,7
0.9534455,0.0016588146,0.044895705,8
0.8777956,0.0027771576,0.11942719,9
0.951109,0.0015767103,0.04731433,10
0.16933021,0.03538805,0.79528177,11
0.103571385,0.011424307,0.8850043,12
0.2364606,0.16398248,0.59955686,13
0.95062876,0.0019229488,0.04744825,14
0.073106915,0.00408244,0.9228106,15
0.23523095,0.19283396,0.57193506,16
0.9325102,0.0030081582,0.06448169,17
0.9538819,0.0016136866,0.044504423,18
0.18499261,0.04451844,0.770489,19
0.08396637,0.0077907983,0.90824294,20
0.21890537,0.09060198,0.69049263,21
0.9365397,0.0018176737,0.061642498,22
0.16454504,0.030859059,0.80459595,23
0.95348734,0.0016121466,0.044900544,24
0.058385283,0.003410836,0.9382038,25
0.33300972,0.0057350523,0.6612551,26
0.0154699925,0.96154237,0.022987615,27
0.09238448,0.0072052903,0.90041023,28
0.14862555,0.025011241,0.8263632,29
0.07158482,0.0034536645,0.9249615,30
0.2065193,0.060528625,0.7329521,31
0.25409195,0.0050852355,0.7408228,32
0.16082637,0.0047671697,0.8344065,33
0.4004552,0.0057080416,0.59383667,34
0.0864905,0.007278496,0.90623105,35
0.18562657,0.0044216895,0.8099518,36
0.2242496,0.09787663,0.67787385,37
0.75445676,0.0043477356,0.24119547,38
0.08953892,0.76150286,0.14895825,39
0.18737845,0.45326933,0.3593523,40
0.06993986,0.00417988,0.92588043,41
0.23582488,0.20364583,0.5605293,42
0.22537972,0.103709996,0.6709102,43
0.27700013,0.0059211063,0.7170788,44
0.23738159,0.18901011,0.5736082,45
0.10777759,0.003324838,0.88889754,46
0.064680316,0.83099735,0.104322314,47
0.02117847,0.9479152,0.030906377,48
0.23621689,0.18009564,0.5836874,49
0.018495731,0.95442116,0.027082967,50
0.37254775,0.005592318,0.62185985,52
0.017814916,0.95650136,0.025683722,53
0.23354574,0.15079428,0.61566,54
0.09349773,0.0085822595,0.89791995,55
0.23440799,0.1582504,0.60734165,56
0.95042664,0.0015899334,0.047983367,57
0.316017,0.0055376273,0.6784454,58
0.05759533,0.86612046,0.07628425,59
0.9483619,0.002064169,0.049573995,60
0.9490841,0.0019983337,0.04891754,61
0.93911016,0.0026084846,0.05828133,62
0.16755371,0.5225378,0.30990845,63
0.2903319,0.0052920314,0.70437604,64
0.13601638,0.62414956,0.23983407,65
0.022258349,0.9459006,0.031840976,66
0.11360182,0.6919464,0.19445178,67
0.14852652,0.6712109,0.18026257,68
0.038492374,0.9090912,0.05241639,69
0.022532796,0.9441515,0.033315647,70
0.15186767,0.025717294,0.82241505,71
0.08635109,0.7709336,0.14271533,72
0.02268249,0.9449595,0.03235794,73
0.70566326,0.0047247587,0.28961194,74
0.020561075,0.9502138,0.029225066,75
0.04854093,0.88673556,0.06472348,76
0.05436222,0.0023433226,0.9432944,77
0.2324738,0.13104306,0.63648313,78
0.13793921,0.6182047,0.24385613,79
0.23468728,0.16414341,0.60116935,80
0.15333991,0.026720228,0.8199399,81
0.046673335,0.8801774,0.07314928,82
0.21901762,0.09000341,0.690979,83
0.015458784,0.9625706,0.02197055,84
0.6026553,0.005368329,0.39197645,85
0.95354265,0.0015463316,0.044910982,86
0.19768892,0.41653118,0.38577986,87
0.20256668,0.39376965,0.40366364,88
0.037756667,0.9038257,0.05841768,89
0.23591375,0.15380087,0.6102854,90
0.2168769,0.004655146,0.77846795,91
0.9481383,0.0020554406,0.04980623,92
0.14288309,0.60301614,0.25410083,93
0.1918767,0.05236335,0.75575995,94
0.1919625,0.053063944,0.75497353,95
0.41267762,0.005686707,0.58163565,96
0.06849134,0.0055866544,0.92592204,97
0.16544637,0.034240562,0.800313,98
0.031279262,0.92086935,0.04785132,99
0.23640981,0.16286995,0.6007202,100
0.09963125,0.0031450621,0.8972238,101
0.15732302,0.030041995,0.81263494,102
0.11920795,0.016022073,0.8647699,103
0.23555864,0.18175983,0.5826815,104
0.23535836,0.17469633,0.5899453,105
0.07213169,0.0062355795,0.9216327,106
0.04862135,0.0029408436,0.9484378,107
0.18630233,0.04749513,0.7662025,108
0.061462216,0.8397804,0.098757446,109
0.09514311,0.0030853425,0.90177155,110
0.94340307,0.0016681518,0.05492882,111
0.15052354,0.5785844,0.27089208,112
0.94965786,0.0018380512,0.048504014,113
0.07508724,0.002949412,0.92196333,114
0.22964948,0.107931614,0.6624189,115
0.06535953,0.0049579903,0.9296824,116
0.24752429,0.004986739,0.747489,117
0.11297097,0.0034733068,0.8835557,118
0.123336084,0.66346735,0.21319653,119
0.14348456,0.68115723,0.17535818,120
