cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,GHS_urban_area_id
0.08312765,0.38286024,0.52887374,0.005138391,1
0.08466462,0.2510831,0.6599656,0.004286733,2
0.057638805,0.7911478,0.132532,0.018681372,3
0.057719097,0.6647074,0.27254924,0.005024252,4
0.04297402,0.7774764,0.17515545,0.0043941233,5
0.124083996,0.52721316,0.2137377,0.13496518,6
0.08042906,0.18549061,0.7304954,0.0035849141,7
0.8965004,0.021999488,0.07947848,0.0020216284,8
0.6870255,0.042283986,0.26802123,0.0026693882,9
0.8937111,0.022809993,0.081356615,0.0021223791,10
0.5504331,0.052187487,0.39432618,0.0030533138,11
0.68423223,0.042028777,0.27108434,0.0026546807,12
0.06993618,0.06830142,0.85976726,0.0019952632,13
0.90653247,0.017581372,0.07444522,0.0014410523,14
0.5641865,0.052343972,0.38044438,0.0030251062,15
0.08571961,0.21153986,0.6985243,0.0042161997,16
0.87939465,0.02087592,0.0981084,0.0016210008,17
0.9079386,0.01866086,0.071766995,0.0016335457,18
0.07010258,0.06515073,0.86281985,0.0019268736,19
0.77550536,0.03296867,0.18929882,0.0022271853,20
0.08091757,0.45277062,0.46073258,0.0055791517,21
0.9107454,0.017397173,0.07038371,0.0014737492,22
0.08029112,0.05756682,0.86025524,0.0018867527,23
0.9098293,0.01731554,0.07141527,0.0014399191,24
0.07296353,0.5390296,0.3827917,0.0052152188,25
0.7333146,0.037806615,0.22638156,0.0024972782,26
0.033873968,0.86406344,0.09516857,0.006894068,27
0.23565513,0.06244869,0.6990516,0.0028444796,28
0.08508543,0.27101466,0.6395044,0.004395565,29
0.69456166,0.04113207,0.26167968,0.0026265725,30
0.08813335,0.20539917,0.70245385,0.0040136673,31
0.8177655,0.028256088,0.15197808,0.0020004117,32
0.4573049,0.058249854,0.48126376,0.0031814894,33
0.908061,0.017397288,0.073102675,0.0014389579,34
0.62836325,0.04706277,0.3217191,0.0028548294,35
0.12507205,0.056885283,0.8158784,0.0021642589,36
0.19655018,0.05703019,0.7438594,0.0025602155,37
0.8796466,0.02069276,0.09809943,0.0015611335,38
0.030884119,0.8599958,0.105092265,0.004027858,39
0.08581599,0.34863538,0.5605402,0.0050084833,40
0.49937522,0.05764714,0.43979526,0.0031823346,41
0.05019903,0.7345463,0.2103207,0.004933969,42
0.21829434,0.06122412,0.71772265,0.0027588906,43
0.23469517,0.066007055,0.6963768,0.002920997,44
0.06949246,0.5638407,0.3612028,0.0054641236,45
0.8766384,0.021019118,0.10075644,0.0015860157,46
0.044706874,0.77764344,0.17255391,0.0050957957,47
0.12956329,0.4496575,0.20971073,0.21106847,48
0.14672798,0.059903637,0.7909458,0.002422574,49
0.042020697,0.8376774,0.11053307,0.009768884,50
0.88419336,0.020049565,0.09422744,0.0015296246,52
0.124788806,0.5264892,0.21413037,0.1345916,53
0.05088799,0.8136719,0.12049213,0.014947998,54
0.63370365,0.046552785,0.31688786,0.0028557067,55
0.037121393,0.85893965,0.09489729,0.009041645,56
0.9031461,0.019920316,0.075162984,0.0017706628,57
0.6598249,0.04549202,0.29188836,0.0027947377,58
0.12911537,0.38633487,0.19885294,0.2856968,59
0.9052526,0.019461889,0.07355182,0.001733705,60
0.89740825,0.02161593,0.078997575,0.0019782402,61
0.8960071,0.022177977,0.07976868,0.0020461464,62
0.06731616,0.7596459,0.14822608,0.02481184,63
0.9015447,0.018185997,0.07880441,0.0014649642,64
0.075827256,0.73161757,0.16118564,0.031369545,65
0.12876996,0.4146832,0.2035307,0.25301605,66
0.087557234,0.69181037,0.17767213,0.042960297,67
0.088473424,0.1862535,0.120474935,0.6047981,68
0.13013265,0.44575125,0.20959143,0.21452475,69
0.12306349,0.5338638,0.2134786,0.1295941,70
0.40229297,0.06002546,0.53454095,0.0031405913,71
0.095822215,0.6624572,0.18815565,0.053564996,72
0.12892047,0.41112953,0.20299837,0.2569516,73
0.17227635,0.063148774,0.7620049,0.0025699488,74
0.1277732,0.4966498,0.21402553,0.1615514,75
0.10730788,0.6142107,0.20520128,0.07328019,76
0.7179207,0.039147217,0.24036969,0.0025623909,77
0.067938015,0.066751234,0.8633618,0.001948918,78
0.0839431,0.7046727,0.17268175,0.03870249,79
0.038633905,0.8544935,0.09726532,0.009607269,80
