cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,cluster_11_prob,cluster_12_prob,GHS_urban_area_id
0.068175554,0.09429552,0.16375208,0.0015451479,0.46162647,0.00868833,0.0094801,0.030463848,0.03321657,0.0010665044,0.064688444,0.06282955,0.00017197506,1
0.06497874,0.0655288,0.47231546,0.0018778893,0.2135879,0.012405451,0.0113137495,0.025480788,0.028436696,0.0013444056,0.04861786,0.05390607,0.00020616867,2
0.021484667,0.01981404,0.028170522,0.036644783,0.021677492,0.06575489,0.031517502,0.017116915,0.017305078,0.69440866,0.018837204,0.023029605,0.004238641,3
0.0057315747,0.0050847554,0.011929515,0.002257909,0.0062551484,0.939784,0.007725334,0.003694331,0.0038255213,0.002474439,0.0044998936,0.0065449886,0.00019256897,4
0.009116975,0.0077655204,0.019260334,0.003279575,0.009794116,0.9070755,0.011670585,0.0055801007,0.0057777856,0.003434195,0.006976302,0.009987462,0.0002814626,5
0.02689731,0.025398634,0.036296614,0.043005817,0.027588883,0.09072528,0.040479597,0.02184376,0.022126015,0.6075024,0.02375791,0.029731032,0.004646722,6
0.119100064,0.07615067,0.08638241,0.0014021929,0.48879233,0.006835464,0.008726086,0.029301232,0.028984467,0.0009187456,0.09707305,0.05617681,0.00015653079,7
0.011569462,0.10820468,0.010790385,0.000712313,0.028017715,0.0025885024,0.0033097926,0.13999277,0.64720744,0.00049567025,0.028479729,0.018538484,9.305147e-05,8
0.023979701,0.20825699,0.017546717,0.0010651792,0.054338578,0.0037544742,0.0056012934,0.38679883,0.17245896,0.00068964047,0.083052635,0.042325877,0.00013109474,9
0.010593061,0.08845172,0.009838494,0.0006706416,0.025120424,0.0024158233,0.0030505506,0.118306704,0.6992133,0.00046963946,0.025576547,0.016204342,8.869511e-05,10
0.04091531,0.33808944,0.034223977,0.0014533479,0.11296452,0.005775841,0.008845149,0.1318117,0.08963949,0.0009296269,0.11876144,0.11642387,0.00016637609,11
0.02842757,0.38743123,0.022882372,0.0011305897,0.0783476,0.0042973934,0.0062787957,0.1896853,0.12986264,0.00073699636,0.092592835,0.05819146,0.00013525235,12
0.043144602,0.31674054,0.038437877,0.001572282,0.11809895,0.006367602,0.009781337,0.12223425,0.08575249,0.0010052322,0.11361983,0.14306703,0.0001779596,13
0.014159996,0.17077531,0.014314221,0.0008450956,0.03829419,0.003236786,0.00396833,0.11900301,0.5783865,0.0005973614,0.033389684,0.022920039,0.00010955919,14
0.057335034,0.18607196,0.11902121,0.0017889168,0.32999146,0.009590683,0.0112006245,0.048109505,0.051873617,0.0012280628,0.07651399,0.107076354,0.0001985693,15
0.011696122,0.010097378,0.026893372,0.0036093313,0.01287703,0.880219,0.01420718,0.007096577,0.0073795286,0.0036139514,0.008919312,0.013076704,0.00031451866,16
