cluster_0_prob,cluster_1_prob,cluster_2_prob,GHS_urban_area_id
0.14697708,0.84444493,0.008578013,1
0.39858624,0.5858529,0.0155608,2
0.04472178,0.029240483,0.9260377,3
0.6015301,0.23159784,0.1668721,4
0.13592991,0.07218959,0.7918805,5
0.112237334,0.080982946,0.8067797,6
0.8435442,0.14123268,0.015223087,7
0.06508941,0.92873216,0.006178512,8
0.07463788,0.91933304,0.0060290787,9
0.05927224,0.9353278,0.0053999433,10
0.066083126,0.9292977,0.0046192273,11
0.06831884,0.9262253,0.0054557775,12
0.06868631,0.9263489,0.004964735,13
0.053604312,0.94218683,0.0042088847,14
0.84742284,0.12713408,0.025443032,15
0.62617666,0.33416548,0.039657786,16
0.054850053,0.9407136,0.0044364026,17
0.054579906,0.9406749,0.004745205,18
0.72778004,0.22619326,0.04602671,19
0.067634515,0.9267659,0.0055995695,20
0.8026133,0.172408,0.024978735,21
0.06505617,0.92989045,0.0050533647,22
0.7090652,0.21548675,0.07544813,23
0.05331844,0.94223446,0.0044470546,24
0.41311428,0.17486905,0.4120167,25
0.09246677,0.9013805,0.0061527677,26
0.47767466,0.19363758,0.3286878,27
0.6634309,0.24662016,0.089948885,28
0.7052812,0.20625119,0.08846765,29
0.4589118,0.51774615,0.02334208,30
0.39545828,0.18487093,0.4196707,31
0.097658485,0.89541435,0.006927195,32
0.41083527,0.56770927,0.021455508,33
0.05528608,0.94005156,0.0046623726,34
0.26979387,0.71850735,0.011698766,35
0.6310485,0.3473172,0.021634338,36
0.17100424,0.8181027,0.010893027,37
0.8281046,0.15755981,0.014335559,38
0.46306285,0.18713638,0.34980083,39
0.63295794,0.19873112,0.16831096,40
0.82660806,0.13467231,0.038719654,41
0.19756684,0.100260414,0.7021727,42
0.68562883,0.29811057,0.016260646,43
0.78289396,0.18022996,0.03687601,44
0.34121683,0.15243281,0.50635034,45
0.071669266,0.9221656,0.006165132,46
0.5167753,0.46052632,0.022698445,47
0.16095814,0.12116573,0.71787614,48
0.5354531,0.19550267,0.26904422,49
0.64963734,0.3214968,0.028865866,50
0.075340085,0.9185293,0.0061306325,52
0.15583561,0.11683875,0.7273256,53
0.06838419,0.03916907,0.8924467,54
0.8394469,0.14425509,0.016298003,55
0.049779117,0.02915844,0.9210624,56
0.06529896,0.9297447,0.0049563367,57
0.8699345,0.10953602,0.020529496,58
0.2054504,0.162783,0.6317666,59
0.056305062,0.9385119,0.005183005,60
0.057977483,0.9368688,0.0051537547,61
0.062258344,0.93217504,0.0055666002,62
0.058436718,0.03884128,0.902722,63
0.08865525,0.90576565,0.0055790837,64
0.07548193,0.05144183,0.8730762,65
0.14213559,0.10562298,0.7522415,66
0.09149335,0.06362282,0.84488386,67
0.25198564,0.21211606,0.53589827,68
0.16805549,0.12818678,0.70375776,69
0.093902566,0.066412956,0.8396845,70
0.63464713,0.34986275,0.015490159,71
0.11636233,0.08298949,0.80064815,72
0.1696086,0.129175,0.7012164,73
0.83637726,0.13914464,0.024478095,74
0.16804607,0.12760177,0.70435214,75
0.4314367,0.20264204,0.3659213,76
0.06342991,0.93201464,0.0045553884,77
0.05887068,0.93633825,0.0047909976,78
0.11885912,0.08469152,0.7964493,79
0.049620215,0.031427998,0.9189518,80
0.61273134,0.2065011,0.18076758,81
0.07881108,0.054724745,0.86646414,82
0.24027506,0.12106909,0.6386559,83
0.061783787,0.039298598,0.8989176,84
0.066661164,0.92841595,0.004922876,85
0.05718107,0.93807095,0.004747969,86
0.04015362,0.024131598,0.9357148,87
0.046612795,0.029893775,0.92349344,88
0.16445069,0.123283885,0.71226543,89
0.38897842,0.16474426,0.44627726,90
0.6537752,0.21012495,0.13609985,91
0.067269646,0.92749256,0.005237775,92
0.123129696,0.08788792,0.7889824,93
0.06640477,0.03872779,0.8948674,94
0.054484226,0.03382042,0.91169536,95
0.103345744,0.89036703,0.006287248,96
0.29715884,0.13872434,0.5641168,97
0.4408036,0.18819918,0.37099722,98
0.16726641,0.12604335,0.70669025,99
0.39454222,0.16576992,0.43968785,100
0.7653957,0.19573326,0.038871083,101
0.05985498,0.035965994,0.904179,102
0.43472657,0.18620756,0.3790659,103
0.04777734,0.030505681,0.921717,104
0.058766536,0.03720043,0.904033,105
0.22416651,0.11060112,0.6652323,106
0.434532,0.17829025,0.38717777,107
0.5491339,0.20976652,0.24109958,108
0.13212654,0.09580233,0.7720711,109
0.5084,0.19920804,0.292392,110
0.055231605,0.9404167,0.0043518064,111
0.03336835,0.02084312,0.94578856,112
0.07941531,0.9139133,0.0066713477,113
0.78079337,0.17127956,0.04792703,114
0.3710937,0.16125706,0.46764928,115
0.61182517,0.19634967,0.19182514,116
0.49175814,0.48747307,0.020768818,117
0.11061581,0.8820504,0.00733375,118
0.040082775,0.02410404,0.9358131,119
0.55173486,0.3489769,0.09928816,120
0.35194525,0.6322196,0.015835172,121
0.40883556,0.5762256,0.014938909,122
0.19994411,0.10204922,0.69800663,123
0.79314953,0.19183375,0.015016712,124
0.34507456,0.6303165,0.024608964,125
0.87946975,0.10394865,0.01658161,126
0.5683991,0.19647144,0.23512949,127
0.22786753,0.113054365,0.65907806,128
0.8330826,0.14092723,0.025990153,129
0.8340986,0.14005348,0.025847912,130
0.54705936,0.19556144,0.2573792,131
0.8485335,0.12189874,0.029567733,133
0.04098769,0.025876427,0.9331359,134
0.14951533,0.84201765,0.008467008,135
0.3040095,0.14666006,0.54933035,136
0.067058295,0.92731124,0.005630496,137
0.7448083,0.17119925,0.08399243,138
0.26668233,0.12677413,0.60654354,139
0.23339076,0.11399157,0.65261763,140
0.11449608,0.07822589,0.80727804,141
0.08870469,0.059206907,0.85208845,142
0.15796366,0.08284657,0.7591898,143
0.7887707,0.19300653,0.018222803,144
0.1571636,0.081862584,0.7609738,145
0.108270764,0.88535047,0.0063787564,146
0.060761243,0.93463314,0.00460556,147
0.4600397,0.5258627,0.014097554,148
0.6617218,0.21837564,0.119902514,149
0.43437955,0.18393943,0.38168097,150
0.50877744,0.18827352,0.30294904,151
0.08468484,0.058205944,0.85710925,152
0.2579575,0.21923807,0.52280444,153
0.47626758,0.18195392,0.34177852,154
0.25896657,0.2194619,0.5215715,155
0.054998174,0.035841,0.90916085,156
0.681735,0.21930726,0.09895779,157
0.054709002,0.034898013,0.910393,158
0.7288317,0.2343713,0.03679704,159
0.40787345,0.17043832,0.42168823,160
0.06697798,0.9282578,0.0047641895,161
0.094514996,0.053306222,0.8521788,162
0.1379802,0.07380489,0.78821486,163
0.09664332,0.053988684,0.84936804,164
0.032327533,0.022339888,0.9453326,165
0.18399693,0.14186278,0.67414033,166
0.053902693,0.94160146,0.0044959043,167
0.18746538,0.14275946,0.6697751,168
0.06781549,0.925712,0.0064725243,169
0.2040284,0.78267354,0.013298071,170
0.06035227,0.9339858,0.005661829,171
0.09470165,0.8987366,0.0065617845,172
0.33965108,0.6457783,0.0145706525,173
0.07341552,0.9197455,0.006838876,174
0.07375053,0.91930383,0.0069456086,175
0.6621869,0.24723528,0.09057779,176
0.1653676,0.12509188,0.70954055,177
0.2343821,0.19364464,0.5719732,178
0.10655791,0.07597424,0.81746787,179
0.28795296,0.13435608,0.577691,180
0.11642417,0.08380518,0.79977065,181
0.28881764,0.1462022,0.56498015,182
0.016352035,0.0104392,0.9732087,183
0.055786103,0.036599107,0.9076148,184
0.06686985,0.9274156,0.005714531,185
0.6188882,0.20734209,0.17376968,186
0.091971315,0.0638544,0.8441743,187
0.4561568,0.5141204,0.029722828,189
0.733977,0.2007825,0.0652405,190
0.7623274,0.2225564,0.015116216,191
0.26754683,0.7188002,0.013652912,192
0.07962268,0.055028025,0.86534935,193
0.7247817,0.17967789,0.095540434,194
0.09238465,0.06510871,0.84250665,195
0.07422107,0.91925585,0.0065230546,196
0.06554232,0.9285673,0.0058904043,197
0.2877274,0.6999009,0.012371743,198
0.058303423,0.93627954,0.0054170536,199
0.053313605,0.942304,0.004382401,200
0.8428148,0.12696983,0.030215304,201
0.44756246,0.53645295,0.015984552,202
0.01972654,0.012346867,0.9679266,203
0.068805404,0.92503536,0.006159275,204
0.34069842,0.6436644,0.015637107,205
0.053006794,0.9425743,0.004418877,206
0.7638109,0.21609804,0.020091051,207
0.0690214,0.92524993,0.005728654,208
0.06130841,0.9340024,0.00468919,209
0.13574998,0.07233483,0.7919152,210
0.0737669,0.92131764,0.00491542,211
0.039280593,0.024076484,0.93664294,212
0.51650196,0.22689088,0.25660715,213
0.07959177,0.05423352,0.8661747,214
0.06153659,0.9336368,0.0048266337,215
0.54104686,0.434422,0.02453118,216
0.38231364,0.59634686,0.021339413,217
0.75762206,0.20241135,0.039966583,218
0.44909072,0.53143746,0.019471895,219
0.17405424,0.8173708,0.008574927,220
0.58745074,0.19763772,0.21491158,221
0.52044666,0.19483475,0.28471854,222
0.17303132,0.089817755,0.7371509,223
0.07576167,0.9190549,0.0051834257,224
0.07482149,0.9183366,0.0068419278,225
0.689878,0.18338403,0.12673797,226
