cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,GHS_urban_area_id
0.8531462,0.029526597,0.10978307,0.007544079,1
0.9311659,0.015170842,0.048560698,0.0051025455,2
0.01839998,0.007759733,0.010797472,0.96304286,3
0.6461989,0.07803807,0.154125,0.121637985,4
0.21988595,0.060684647,0.09654153,0.62288785,5
0.10372533,0.05619932,0.07159787,0.76847756,6
0.14602633,0.07767658,0.76976776,0.0065293005,7
0.025803963,0.8029464,0.16789098,0.0033586493,8
0.019964335,0.86168814,0.11561026,0.0027372732,9
0.033913616,0.71156466,0.2503461,0.0041756295,10
0.5692737,0.06950113,0.34966522,0.011559891,11
0.22348028,0.08359866,0.6844689,0.008452171,12
0.8828726,0.028448328,0.07115509,0.017523922,13
0.021329781,0.84667486,0.1291222,0.002873257,14
0.08118354,0.065261304,0.8492209,0.004334325,15
0.40998837,0.085658744,0.14729956,0.3570534,16
0.0131114675,0.9254157,0.05941618,0.0020566958,17
0.03976396,0.63165134,0.3238949,0.004689766,18
0.75422275,0.058718786,0.12705256,0.06000593,19
0.11367635,0.07149431,0.80934757,0.0054818452,20
0.6209319,0.080491625,0.15564556,0.14293094,21
0.01695603,0.8873487,0.09330647,0.0023888072,22
0.78831846,0.051272217,0.114930816,0.045478456,23
0.049795,0.3857837,0.5592429,0.0051783877,24
0.65929365,0.07553584,0.15031841,0.11485214,25
0.51623,0.07459348,0.3976025,0.011574022,26
0.9332552,0.015075712,0.04611663,0.005552448,27
0.7681931,0.055922456,0.123154,0.052730445,28
0.66763526,0.07596064,0.15306143,0.10334272,29
0.8467966,0.03082023,0.114519216,0.007864034,30
0.5299686,0.08839866,0.1616564,0.21997638,31
0.7163772,0.051275633,0.22196795,0.010379195,32
0.70878065,0.05234431,0.22842929,0.01044578,33
0.11743429,0.072312415,0.8046411,0.005612274,34
0.037565883,0.08679669,0.87272817,0.0029093106,35
0.85251474,0.030988524,0.107828565,0.008668139,36
0.7972076,0.04904895,0.11020907,0.043534316,37
0.039341476,0.10393657,0.8535564,0.003165574,38
0.41619125,0.08224426,0.49035725,0.011207219,39
0.36524636,0.08428979,0.53975654,0.010707207,40
0.24195556,0.08502861,0.66414905,0.008866699,41
0.20444912,0.05757303,0.091057315,0.6469205,42
0.037431046,0.085960396,0.873714,0.0028945864,43
0.8913614,0.023278328,0.0783474,0.0070129195,44
0.8504185,0.029979372,0.11199502,0.007607287,45
0.046880465,0.4926487,0.45531002,0.005160785,46
0.92424935,0.016444363,0.05406987,0.005236468,47
0.12919477,0.07383762,0.09223999,0.70472765,48
