GHS_urban_area_id,most_probable_cluster,assignment_probability,uncertainty_score,similarity
1,1,1.0,0.0,0.42499965
2,1,1.0,0.0,0.36159915
3,3,1.0,0.0,0.24201493
4,1,1.0,0.0,0.37106046
5,3,1.0,0.0,0.26332334
6,3,1.0,0.0,0.2186984
7,0,1.0,0.0,0.4174674
8,2,1.0,0.0,0.3320816
9,2,1.0,0.0,0.39854845
10,2,1.0,0.0,0.32527214
11,1,1.0,0.0,0.4461555
12,0,1.0,0.0,0.37919313
13,1,1.0,0.0,0.47137588
14,2,1.0,0.0,0.4191415
15,0,1.0,0.0,0.40870035
16,3,1.0,0.0,0.3572263
17,2,1.0,0.0,0.43257248
18,2,1.0,0.0,0.3577473
19,1,1.0,0.0,0.36375418
20,0,1.0,0.0,0.3899083
21,1,1.0,0.0,0.35142004
22,2,1.0,0.0,0.3307366
23,1,1.0,0.0,0.36150455
24,2,1.0,0.0,0.37352946
25,1,1.0,0.0,0.367541
26,0,1.0,0.0,0.40505773
27,1,1.0,0.0,0.45364416
28,1,1.0,0.0,0.37716204
29,1,1.0,0.0,0.31764922
30,1,1.0,0.0,0.40498585
31,1,1.0,0.0,0.37611356
32,1,1.0,0.0,0.4057608
33,1,1.0,0.0,0.4473449
34,0,1.0,0.0,0.39751956
35,0,1.0,0.0,0.3904179
36,1,1.0,0.0,0.32693648
37,1,1.0,0.0,0.43239176
38,0,1.0,0.0,0.43169147
39,3,1.0,0.0,0.7345907
40,1,1.0,0.0,0.46489465
41,0,1.0,0.0,0.44118384
42,3,1.0,0.0,0.27371547
43,1,1.0,0.0,0.47503343
44,1,1.0,0.0,0.3728783
45,1,1.0,0.0,0.53579324
46,2,1.0,0.0,0.32090634
47,1,1.0,0.0,0.61870134
48,3,1.0,0.0,0.23485415
49,1,1.0,0.0,0.49553975
50,3,1.0,0.0,0.5226732
52,0,1.0,0.0,0.3865916
53,3,1.0,0.0,0.21805239
54,3,1.0,0.0,0.26042995
55,0,1.0,0.0,0.49384576
56,3,1.0,0.0,0.23478621
57,2,1.0,0.0,0.32093513
58,0,1.0,0.0,0.45442593
59,3,1.0,0.0,0.23401019
60,2,1.0,0.0,0.35641816
61,2,1.0,0.0,0.38783434
62,2,1.0,0.0,0.3211329
63,3,1.0,0.0,0.21434589
64,2,1.0,0.0,0.3477158
65,3,1.0,0.0,0.2130068
66,3,1.0,0.0,0.23924017
67,3,1.0,0.0,0.21485353
68,3,1.0,0.0,0.2319722
69,3,1.0,0.0,0.22460862
70,3,1.0,0.0,0.22950172
71,0,1.0,0.0,0.4030032
72,3,1.0,0.0,0.2150982
73,3,1.0,0.0,0.23737678
74,1,1.0,0.0,0.39368013
75,3,1.0,0.0,0.21676046
76,3,1.0,0.0,0.5280511
77,1,1.0,0.0,0.40828475
78,1,1.0,0.0,0.530799
79,3,1.0,0.0,0.21753438
80,3,1.0,0.0,0.23550099
81,1,1.0,0.0,0.34928882
82,3,1.0,0.0,0.2173372
83,3,1.0,0.0,0.26490632
84,3,1.0,0.0,0.40589163
85,0,1.0,0.0,0.42898533
86,2,1.0,0.0,0.44671574
87,3,1.0,0.0,0.23072603
88,3,1.0,0.0,0.22394103
