cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,cluster_11_prob,cluster_12_prob,cluster_13_prob,cluster_14_prob,GHS_urban_area_id
0.011790862,0.03148328,0.0044572507,0.7134839,0.018216258,0.090203814,4.939031e-05,0.012200347,0.008392035,0.000955508,0.043609817,0.016599817,0.00839343,0.036877383,0.0032869452,1
0.011447246,0.030771626,0.004392916,0.7157882,0.018312095,0.0875968,4.7767397e-05,0.012192228,0.008231585,0.0009257819,0.0451047,0.016287971,0.008334477,0.037372384,0.0031941729,2
0.012573211,0.037216578,0.004631961,0.6624648,0.019797584,0.11393106,4.883187e-05,0.013620146,0.0092007,0.00096124364,0.047859043,0.018910237,0.008869037,0.046531625,0.0033840002,3
0.012670688,0.03298678,0.005066707,0.69725066,0.02026162,0.08718401,5.701848e-05,0.013808269,0.009332542,0.0010845023,0.048601978,0.018025627,0.009472205,0.040529132,0.0036682137,4
0.011676288,0.03239615,0.0044716173,0.7057094,0.018409304,0.09206603,4.8893406e-05,0.012662394,0.0085745165,0.00094564154,0.04417147,0.017076371,0.008446374,0.04008425,0.0032613454,5
0.015035767,0.034548838,0.0075744116,0.053975973,0.07152099,0.052322213,4.721046e-05,0.027899917,0.012044575,0.0010301172,0.60567725,0.022872379,0.01898427,0.07241489,0.0040511983,6
0.013586691,0.03710067,0.0053498438,0.6364493,0.024426488,0.104618736,5.376899e-05,0.015551812,0.009868496,0.0010602225,0.06785042,0.019697307,0.010495467,0.050157283,0.0037334457,7
0.054736473,0.27363262,0.0073695052,0.020430263,0.03117774,0.05685541,4.6641555e-05,0.026747728,0.043206282,0.0012285641,0.026724277,0.37897897,0.015359722,0.057210106,0.006295721,8
0.021617109,0.10602939,0.004831342,0.09387588,0.021655502,0.58618844,4.5709574e-05,0.014391789,0.012678443,0.0010105427,0.03802996,0.034118854,0.009477729,0.052000914,0.004048326,9
0.07380291,0.08687247,0.0108023165,0.014878037,0.03199309,0.031303365,5.729908e-05,0.03484667,0.1431142,0.001655368,0.021617856,0.4781108,0.021089174,0.04018279,0.009673636,10
0.033384144,0.37876543,0.005818348,0.045797504,0.02849724,0.26669008,4.6064917e-05,0.019597026,0.019414872,0.0010970393,0.038872816,0.071764655,0.012000279,0.07338198,0.004872582,11
0.024164883,0.16670462,0.0049781464,0.06530795,0.023739442,0.5252467,4.3219876e-05,0.015921922,0.014368574,0.0009848173,0.03852191,0.043678284,0.010041619,0.062180433,0.004117513,12
0.019781768,0.10558388,0.004566291,0.08715011,0.021448735,0.59562224,4.162357e-05,0.014117482,0.012085556,0.0009214481,0.038544606,0.03323729,0.009110239,0.054078665,0.0037101444,13
0.050511036,0.44539657,0.006639246,0.02345686,0.031991888,0.07670883,4.3382348e-05,0.023830656,0.030973494,0.0011203841,0.030219074,0.19757882,0.014212693,0.06171946,0.0055975686,14
0.020718466,0.083773464,0.005448331,0.18886997,0.024590088,0.489442,5.3235523e-05,0.016268747,0.012991568,0.0011369786,0.049194355,0.03186921,0.01066321,0.06060313,0.0043771733,15
0.012767993,0.03687591,0.004590646,0.66711366,0.019632488,0.11741182,4.8734266e-05,0.012844157,0.009006178,0.00096132496,0.047380704,0.01853187,0.008786562,0.040667195,0.0033806725,16
