cluster_0_prob,cluster_1_prob,cluster_2_prob,GHS_urban_area_id
0.07301093,0.9048499,0.022139207,1
0.08324955,0.8904591,0.026291398,2
0.6217681,0.068577364,0.30965456,3
0.24878687,0.70375955,0.047453605,4
0.36151877,0.58134997,0.057131346,5
0.26792046,0.04632738,0.6857522,6
0.2368041,0.7196357,0.043560177,7
0.048543505,0.937211,0.014245425,8
0.060549974,0.9218515,0.017598577,9
0.048356127,0.9374364,0.014207435,10
0.06350303,0.916516,0.019980941,11
0.06446915,0.9154009,0.020129923,12
0.06680863,0.91240084,0.020790502,13
0.108601324,0.8672863,0.024112364,14
0.070305236,0.90809876,0.021595983,15
0.068392865,0.9126038,0.019003391,16
0.5878331,0.34184676,0.07032021,17
0.05139341,0.93338686,0.015219759,18
0.06948153,0.9110769,0.019441681,19
0.057881493,0.924286,0.017832464,20
0.059767865,0.9232108,0.017021382,21
0.052813575,0.93102705,0.016159354,22
0.08473834,0.89487135,0.020390335,23
0.057991922,0.92523676,0.016771328,24
0.24024263,0.045885157,0.71387225,25
0.062627256,0.92128533,0.016087413,26
0.053637743,0.9299485,0.016413772,27
0.6323711,0.300663,0.06696595,28
0.12744452,0.84321123,0.029344285,29
0.059282567,0.9242739,0.016443547,30
0.75722796,0.061360672,0.1814113,31
0.053809002,0.93061674,0.0155742075,32
0.21069007,0.74853355,0.040776387,33
0.059481207,0.9221906,0.01832823,34
0.075813904,0.9002212,0.023964884,35
0.117489524,0.8544378,0.0280726,36
0.06818786,0.91076064,0.02105146,37
0.06270659,0.9180593,0.019234102,38
0.056888867,0.9258872,0.017223965,39
0.059140105,0.9232959,0.017564023,40
0.05392343,0.9310859,0.014990649,41
0.2656207,0.6858612,0.048518047,42
0.05850885,0.9237218,0.01776934,43
0.23441648,0.044030942,0.72155255,44
0.76822656,0.15603279,0.075740635,45
0.050114393,0.93496096,0.014924678,46
0.06597069,0.912481,0.0215483,47
0.063322134,0.019680152,0.9169977,48
0.091769695,0.88265634,0.02557394,49
0.07154415,0.9046343,0.023821529,50
0.06395621,0.9160654,0.019978443,52
0.11841398,0.043960653,0.8376253,53
0.6879409,0.06625449,0.24580461,54
0.05174216,0.9339404,0.014317441,55
0.51424414,0.065419614,0.42033625,56
0.049738627,0.93544614,0.01481525,57
0.060492713,0.9219149,0.017592425,58
0.2028908,0.09425952,0.7028497,59
0.06084085,0.92277074,0.016388414,60
0.07234581,0.9074918,0.020162396,61
0.04744811,0.93860745,0.013944428,62
0.10369615,0.022896914,0.87340695,63
0.049537398,0.93602407,0.014438503,64
0.05993923,0.0150943035,0.92496645,65
0.07556089,0.024772486,0.8996666,66
0.06031729,0.015033607,0.92464906,67
0.25337657,0.13830471,0.60831875,68
0.08481359,0.02801223,0.8871742,69
0.43898365,0.06089462,0.5001217,70
