cluster_0_prob,cluster_1_prob,cluster_2_prob,GHS_urban_area_id
0.746887,0.2517029,0.0014100848,1
0.41306168,0.58531445,0.0016238289,2
0.80497247,0.19379593,0.0012315492,3
0.8351208,0.16374649,0.0011326977,4
0.042698402,0.956884,0.00041758822,5
0.8173752,0.17387107,0.008753771,6
0.5119729,0.48636034,0.0016667838,7
0.06388322,0.9350715,0.0010452219,8
0.04369834,0.9558149,0.0004867768,9
0.050385192,0.94886523,0.00074953557,10
0.08678915,0.9125287,0.00068217167,11
0.041157775,0.9583982,0.00044403324,12
0.9174375,0.081802726,0.00075978733,13
0.04153193,0.9579087,0.0005593442,14
0.047273144,0.9520506,0.0006762894,15
0.17187467,0.8270653,0.0010600229,16
0.11886414,0.8802756,0.0008602806,17
0.059321802,0.9397298,0.0009484067,18
0.04404729,0.9553516,0.0006010907,19
0.04781066,0.95172495,0.00046437894,20
0.043856535,0.9557022,0.0004412594,21
0.046008512,0.9533289,0.00066258415,22
0.045155857,0.95422417,0.0006199715,23
0.06773392,0.9311234,0.001142743,24
0.83627784,0.16255751,0.0011646821,25
0.06792021,0.9309349,0.0011449505,26
0.8889032,0.107831344,0.0032654668,27
0.039048016,0.960469,0.00048298677,28
0.20238404,0.79644364,0.0011723106,29
0.04756726,0.95176095,0.0006718182,30
0.2817384,0.71682733,0.0014342539,31
0.058986165,0.9400758,0.00093798654,32
0.2056168,0.7931906,0.0011925786,33
0.04887614,0.950428,0.00069591484,34
0.042163115,0.9573888,0.00044811348,35
0.055167526,0.944305,0.0005275389,36
0.43007484,0.56829035,0.0016347595,37
0.04566743,0.9536836,0.00064899435,38
0.6701355,0.29042026,0.039444186,39
0.8252534,0.17334248,0.0014040946,40
0.039963838,0.9594978,0.0005382663,41
0.034835607,0.9647446,0.00041984304,42
0.3228577,0.67563134,0.001511008,43
0.20114449,0.7976437,0.0012117514,44
0.9302863,0.06894843,0.0007652998,45
0.040012095,0.9595616,0.00042636856,46
0.7275022,0.2493912,0.023106607,47
0.7602142,0.22290087,0.016884934,48
0.90755326,0.09148714,0.0009595672,49
0.7077932,0.26323724,0.028969614,50
0.056265187,0.94287956,0.0008552982,52
0.8309306,0.16165088,0.0074185035,53
0.96033186,0.03903469,0.0006334623,54
0.19197527,0.8068762,0.0011485163,55
0.9551831,0.044287875,0.0005290166,56
0.04935915,0.94992805,0.0007128027,57
0.051913414,0.9473049,0.00078167964,58
0.725126,0.25022715,0.024646848,59
0.04079089,0.9586558,0.00055328826,60
0.039961807,0.9595855,0.0004527386,61
0.053671967,0.9455069,0.0008211209,62
0.9596983,0.03963852,0.00066319905,63
0.040700637,0.95888376,0.00041560395,64
0.95338935,0.045766007,0.0008446647,65
0.7130589,0.25866845,0.028272623,66
0.9389441,0.059778944,0.0012769985,67
0.6364417,0.30101815,0.06254011,68
