cluster_0_prob,cluster_1_prob,GHS_urban_area_id
0.024755104,0.97524494,1
0.026114492,0.9738855,2
0.96906483,0.030935168,3
0.9654649,0.03453506,4
0.7270618,0.27293816,5
0.97947806,0.020521952,6
0.033033714,0.9669663,7
0.020323068,0.97967696,8
0.021687936,0.9783121,9
0.020527288,0.97947276,10
0.020292755,0.97970724,11
0.020317985,0.979682,12
0.022440828,0.9775592,13
0.025289409,0.9747106,14
0.023919363,0.97608066,15
0.0484272,0.9515728,16
0.041345183,0.9586548,17
0.020356258,0.97964376,18
0.124831766,0.87516826,19
0.020231057,0.97976893,20
0.020352192,0.9796478,21
0.020356715,0.9796433,22
0.7111012,0.28889883,23
0.020462232,0.9795378,24
0.97697645,0.023023535,25
0.038137782,0.9618622,26
0.020954922,0.9790451,27
0.9778563,0.022143703,28
0.08567363,0.91432637,29
0.05261223,0.94738775,30
0.9733252,0.026674796,31
0.027401524,0.9725985,32
0.56838244,0.4316175,33
0.020337805,0.9796622,34
0.020494996,0.979505,35
0.028923059,0.97107697,36
0.022693455,0.97730654,37
0.024724435,0.9752755,38
0.022546476,0.97745353,39
0.020325402,0.97967464,40
0.025256332,0.97474366,41
0.88717246,0.11282757,42
0.020848341,0.9791516,43
0.976129,0.023871047,44
0.022284528,0.9777155,45
0.02078327,0.9792167,46
0.02128063,0.97871935,47
0.97895634,0.021043621,48
0.020427948,0.97957206,49
0.021348307,0.9786517,50
0.020439534,0.97956043,52
0.9795479,0.020452047,53
0.9793007,0.020699302,54
0.021095952,0.978904,55
0.97819424,0.021805774,56
0.02069293,0.9793071,57
0.021374198,0.97862583,58
0.978716,0.021283984,59
0.02065266,0.97934735,60
0.021363903,0.97863615,61
0.020284794,0.9797152,62
0.97972673,0.020273235,63
0.020213323,0.9797867,64
0.9797123,0.020287689,65
0.97754925,0.022450775,66
0.97976434,0.020235637,67
0.97560424,0.024395773,68
0.9792107,0.020789322,69
0.97973436,0.020265598,70
0.02022076,0.97977924,71
0.9794416,0.020558435,72
0.9791611,0.020838894,73
0.026698692,0.9733013,74
0.9795587,0.020441292,75
0.022159887,0.9778401,76
0.020440187,0.97955984,77
0.020323332,0.97967666,78
0.97969943,0.020300608,79
0.97976744,0.02023255,80
0.09288908,0.90711087,81
0.9796131,0.020386819,82
0.97897935,0.021020683,83
0.023929905,0.9760701,84
0.020984717,0.9790153,85
0.027453287,0.9725467,86
0.9790996,0.020900397,87
0.97975886,0.020241143,88
0.9793768,0.020623198,89
0.027626626,0.97237337,90
0.9790877,0.020912334,91
0.020638881,0.9793611,92
0.9797266,0.020273356,93
0.9788132,0.021186851,94
0.9794275,0.020572446,95
0.021010837,0.9789892,96
0.97950083,0.020499216,97
0.9793061,0.020693894,98
0.97939956,0.020600416,99
0.036695834,0.96330416,100
0.9497401,0.050259836,101
0.9789867,0.021013305,102
0.97923803,0.020761963,103
0.9795675,0.020432474,104
0.9789883,0.021011747,105
0.97953856,0.020461446,106
0.97922903,0.020770915,107
0.9768612,0.023138849,108
0.9792266,0.020773383,109
0.9793269,0.020673113,110
0.020417342,0.97958267,111
0.97955436,0.020445615,112
0.021774461,0.9782256,113
0.022228003,0.977772,114
0.026969431,0.97303057,115
0.10782076,0.8921793,116
0.02384391,0.97615606,117
0.02202063,0.97797936,118
0.9757829,0.024217183,119
0.020533537,0.9794665,120
0.030909576,0.96909046,121
0.02383859,0.97616136,122
0.9777181,0.022281915,123
0.020437188,0.9795628,124
0.02088114,0.9791189,125
0.023468478,0.9765315,126
0.026564177,0.97343576,127
0.9759543,0.02404573,128
0.021968845,0.97803116,129
0.022154814,0.9778452,130
0.20618927,0.7938107,131
0.025665674,0.97433436,133
0.9789876,0.021012379,134
0.022383444,0.9776166,135
0.97197545,0.028024547,136
0.021363046,0.9786369,137
0.0204487,0.9795513,138
0.9797702,0.020229744,139
0.97960424,0.02039573,140
0.974662,0.025338018,141
0.9795781,0.02042193,142
0.97976357,0.020236395,143
0.0206624,0.97933763,144
0.022115806,0.97788423,145
0.021709582,0.97829044,146
0.020889876,0.9791101,147
0.020548789,0.97945124,148
0.9035977,0.09640225,149
0.022982055,0.97701794,150
0.9699269,0.030073086,151
0.9741214,0.025878573,152
0.96770704,0.032292917,153
0.97762746,0.022372605,154
0.9765545,0.023445472,155
0.04220138,0.9577986,156
0.97871256,0.0212874,157
0.051416013,0.94858396,158
0.25479227,0.7452078,159
0.9797118,0.020288233,160
0.020493278,0.97950673,161
0.97948235,0.020517603,162
0.97960603,0.020394018,163
0.97768235,0.022317627,164
0.95911723,0.040882763,165
0.07169248,0.92830753,166
0.020314168,0.97968584,167
0.9760786,0.02392136,168
0.020317582,0.97968245,169
0.024535798,0.9754642,170
0.021769699,0.97823036,171
0.021713212,0.97828674,172
0.021108124,0.9788919,173
0.02161456,0.97838545,174
0.053277623,0.9467224,175
0.068170264,0.93182975,176
0.022895707,0.97710425,177
0.97032285,0.029677216,178
0.97365946,0.026340552,179
0.97931373,0.020686269,180
0.9794234,0.020576624,181
0.9776253,0.022374654,182
0.97565025,0.02434974,183
0.9791459,0.020854138,184
0.02047398,0.97952604,185
0.021464307,0.97853565,186
0.9797042,0.020295832,187
0.020529285,0.9794707,189
0.101286344,0.8987137,190
0.020610895,0.97938913,191
0.020441202,0.97955877,192
0.96980155,0.030198466,193
0.4814748,0.51852524,194
0.9797016,0.020298388,195
0.02024128,0.9797587,196
0.020241382,0.9797586,197
0.020552836,0.9794472,198
0.020486211,0.97951376,199
0.021973973,0.978026,200
0.025484849,0.97451514,201
0.020340653,0.9796594,202
0.9661115,0.033888575,203
0.020742977,0.979257,204
0.9575966,0.042403363,205
0.020509455,0.9794906,206
0.020614529,0.97938544,207
0.020377696,0.9796223,208
0.02231387,0.97768617,209
0.9759928,0.0240072,210
0.020241981,0.979758,211
0.9792114,0.020788606,212
0.96900696,0.030993078,213
0.979271,0.020729009,214
0.021270612,0.9787294,215
0.35568297,0.64431703,216
0.035251435,0.9647486,217
0.42000303,0.579997,218
0.97935826,0.02064172,219
0.02129468,0.97870535,220
0.020236364,0.9797636,221
0.022049252,0.97795075,222
0.9716233,0.02837671,223
0.020626208,0.97937375,224
0.021007901,0.97899216,225
0.039188728,0.96081126,226
0.020310193,0.9796898,227
0.020483473,0.97951657,228
0.020505989,0.979494,229
0.026598178,0.9734018,230
0.97791374,0.022086233,231
0.020340364,0.9796596,232
0.89525145,0.10474853,233
0.02025223,0.9797478,234
0.97970945,0.020290565,235
0.9776471,0.022352863,236
0.02091612,0.97908384,237
0.024306543,0.9756934,238
0.020398596,0.9796014,239
0.020404622,0.97959536,240
0.0207125,0.9792875,241
0.9796583,0.02034173,242
0.020390818,0.9796092,243
0.9795587,0.020441301,244
0.9792083,0.020791708,245
0.9797484,0.020251567,246
0.9795987,0.020401308,247
0.9785681,0.021431925,248
0.9796202,0.020379767,249
0.021544442,0.97845554,250
0.97945476,0.020545214,251
0.9796442,0.020355813,252
0.020466702,0.9795333,253
0.022409892,0.9775901,255
0.97972023,0.020279717,256
0.97974384,0.02025615,257
0.64345616,0.3565438,258
0.025637064,0.9743629,259
0.9797596,0.020240413,260
0.979667,0.02033292,261
0.020354485,0.97964555,262
0.9796114,0.02038858,263
0.020369714,0.9796303,264
0.9796469,0.020353047,265
0.026017709,0.9739823,266
0.9793597,0.0206403,267
0.020408142,0.9795919,268
0.9794982,0.020501848,269
0.020293914,0.97970605,270
0.9791811,0.020818908,271
0.9796137,0.020386288,272
0.97963876,0.020361284,273
0.18477122,0.81522876,274
0.97918427,0.020815775,275
0.9792714,0.020728577,276
0.9775938,0.022406187,277
0.9784329,0.021567062,278
0.9792381,0.020761915,279
0.9792856,0.020714357,280
0.9794529,0.020547058,281
0.9792917,0.0207083,282
0.9794667,0.020533303,283
0.97866005,0.021340001,284
0.97967315,0.020326857,285
0.020413421,0.97958654,286
0.9797648,0.02023515,287
0.97844195,0.021558074,288
0.022796918,0.9772031,289
0.025239294,0.97476065,290
0.9746977,0.025302265,291
0.021512672,0.97848725,292
0.022342801,0.9776572,293
0.97577053,0.024229487,294
0.03505129,0.9649487,295
0.026539272,0.97346073,296
0.021077832,0.9789221,297
0.022405235,0.9775948,298
0.032930363,0.9670696,299
0.020647561,0.9793524,300
0.97659725,0.02340275,301
0.02074272,0.9792573,302
0.020503027,0.979497,303
0.022216814,0.9777832,304
0.021731712,0.97826827,305
0.97701615,0.022983897,306
0.020602508,0.97939754,307
