cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,GHS_urban_area_id
0.04261241,0.15948026,0.0016440721,0.09388812,0.04436017,0.61554646,0.02778709,0.014681438,1.0
0.029919852,0.06795788,0.003489063,0.04828936,0.031194296,0.7427575,0.022460205,0.053931855,2.0
0.0014461231,0.0022551226,0.0008590586,0.0018933687,0.0014835012,0.0051262197,0.0012158996,0.98572075,3.0
0.04965434,0.065226026,0.24099976,0.05865319,0.050571907,0.10036464,0.044418316,0.3901118,4.0
0.0237869,0.062310714,0.0023654343,0.038950544,0.025719874,0.79777706,0.01766184,0.03142762,5.0
0.019966729,0.028768292,0.024159124,0.024920136,0.020437201,0.05360638,0.017271455,0.81087065,6.0
0.08008034,0.2055245,0.0005681732,0.57375354,0.07176882,0.029132571,0.035570286,0.0036017683,7.0
0.07448427,0.008849066,0.00018020047,0.017538767,0.0352077,0.0030409854,0.8598816,0.00081746373,8.0
0.81275934,0.014050469,0.00014956755,0.06011,0.046037972,0.0037215785,0.06239571,0.00077527435,9.0
0.07410005,0.008693271,0.00017751724,0.017389681,0.034366168,0.002998483,0.861469,0.00080582016,10.0
0.007829055,0.02005977,0.0006043789,0.013944543,0.008066087,0.93664753,0.005612915,0.0072356234,11.0
0.024776166,0.078649856,0.0011548242,0.051413137,0.025348254,0.7910169,0.016603047,0.011037825,12.0
0.02045948,0.034357704,0.007930905,0.027813638,0.021142725,0.09362026,0.016834266,0.777841,13.0
0.081614986,0.006896047,0.00011976479,0.014657025,0.032499835,0.0021917974,0.8614608,0.0005597071,14.0
0.066195205,0.22017251,0.0020478158,0.1645854,0.064507045,0.4239548,0.041406333,0.017130857,15.0
0.019301089,0.04544881,0.0018741395,0.032527413,0.019899866,0.84109527,0.01420229,0.025651066,16.0
0.1582803,0.009442897,0.00015741494,0.022297911,0.04051517,0.0029976913,0.76556265,0.00074594124,17.0
0.08722063,0.011262239,0.00023810416,0.021891972,0.04336749,0.0039362484,0.8310114,0.001071911,18.0
0.04657053,0.09191008,0.0072567537,0.0717556,0.047514737,0.5544671,0.03586997,0.14465523,19.0
0.01375408,0.040888846,0.000731612,0.027318021,0.014063766,0.8864929,0.00939212,0.007358648,20.0
0.10757821,0.15422942,0.00045135515,0.5737895,0.10170199,0.018367307,0.04118893,0.0026933115,21.0
0.08417686,0.0063775643,0.00011290631,0.01419755,0.026781172,0.0020731061,0.8657528,0.0005279631,22.0
0.038303707,0.12008723,0.0015853015,0.08355582,0.0382423,0.6785403,0.025162082,0.01452329,23.0
0.07170326,0.008347204,0.00016859868,0.016640948,0.033345196,0.0028584497,0.8661703,0.00076607603,24.0
0.060065366,0.4894052,0.0020539842,0.11014771,0.0815461,0.20019883,0.040647916,0.015934883,25.0
0.67288405,0.027588503,0.00024057821,0.124501266,0.091290444,0.006412487,0.07581031,0.0012723473,26.0
0.02077369,0.025839379,0.76568955,0.023703227,0.021125851,0.0357347,0.018995445,0.08813811,27.0
0.012647898,0.030819386,0.00093106215,0.022958599,0.01271913,0.90005004,0.009002983,0.010870922,28.0
0.0072434633,0.011636668,0.0035245817,0.009648074,0.00744044,0.028611463,0.0060311276,0.9258642,29.0
0.09460962,0.2688079,0.0016152029,0.3435282,0.08393588,0.14324819,0.05253307,0.011721936,30.0
0.04894264,0.09320711,0.007777646,0.07532689,0.049178623,0.53229636,0.037731912,0.1555388,31.0
0.81722254,0.010422056,0.00012241649,0.032367904,0.045475382,0.0027960765,0.09097741,0.00061627326,32.0
0.036456786,0.07643845,0.0045466158,0.05854649,0.037025273,0.68534297,0.027492289,0.074151106,33.0
0.0010055017,0.001557389,0.000620584,0.0013126171,0.001030511,0.0034939428,0.0008468893,0.9901325,34.0
0.007711351,0.019825323,0.0005543751,0.014035463,0.0078718625,0.9381242,0.005477506,0.0063999547,35.0
0.089832395,0.2755013,0.0005607503,0.47030073,0.094644845,0.026418244,0.039263595,0.0034780512,36.0
0.0063479533,0.00949392,0.005366807,0.008096139,0.006507863,0.01928886,0.0054196203,0.93947875,37.0
0.20287067,0.07798153,0.0003907193,0.5175032,0.12927759,0.013054701,0.05671192,0.002209691,38.0
0.0491381,0.065234244,0.19488737,0.058368593,0.05010272,0.10220198,0.04380085,0.43626615,39.0
0.0013730711,0.002094578,0.000942192,0.0017783642,0.0014052747,0.0045376937,0.0011619289,0.98670685,40.0
0.062212314,0.5513983,0.000853736,0.21387966,0.06828417,0.06397204,0.033507828,0.005891903,41.0
0.0408912,0.07282139,0.011457075,0.057649087,0.042197414,0.24398279,0.03296174,0.4980393,42.0
0.04957475,0.09384864,0.009875327,0.07331192,0.05096682,0.42468616,0.038979553,0.25875685,43.0
0.6007213,0.031098995,0.00026394235,0.09374409,0.16596219,0.0067189843,0.1001166,0.0013739073,44.0
0.047606193,0.09662085,0.0082895495,0.07147077,0.049585197,0.5104183,0.037068654,0.17894058,45.0
0.04789368,0.027706977,0.00015137921,0.8753313,0.026474018,0.0057219155,0.015831882,0.0008888805,46.0
0.04916785,0.06568326,0.19026655,0.058398545,0.050322454,0.1027068,0.043827653,0.4396269,47.0
0.0061379573,0.0097792065,0.0032433376,0.008110683,0.0063048406,0.023225864,0.005131558,0.93806654,48.0
0.0013308496,0.0020396882,0.0008485115,0.0017343552,0.0013582153,0.004539067,0.00112222,0.98702705,49.0
0.044595502,0.057448402,0.41739973,0.05183226,0.04555062,0.08386191,0.040297594,0.25901395,50.0
0.7370416,0.020968128,0.0002085304,0.101329684,0.062494386,0.0053979745,0.07146536,0.0010943644,52.0
0.04898353,0.06486992,0.18863124,0.058274046,0.049818598,0.10217093,0.043630827,0.44362098,53.0
0.010021616,0.032963984,0.00061916036,0.018465713,0.010864892,0.9135417,0.0070335222,0.006489418,54.0
0.017641336,0.04467263,0.001047208,0.03416582,0.017408514,0.861854,0.012204865,0.011005632,55.0
0.020404961,0.050686058,0.00205,0.03375574,0.021569354,0.82826596,0.015110221,0.02815764,56.0
0.6177977,0.031096043,0.00028909746,0.18054862,0.08092612,0.007842806,0.07995938,0.0015403227,57.0
0.14587624,0.1775293,0.0005595026,0.1841102,0.40456107,0.018183338,0.0660341,0.003146258,58.0
0.023632692,0.029353796,0.7302954,0.027032373,0.023949938,0.04095397,0.021575922,0.10320586,59.0
0.062058467,0.0065225777,0.0001269545,0.013358585,0.026760763,0.0021998533,0.88839126,0.00058157207,60.0
0.058339242,0.0055345367,0.00010284764,0.011540714,0.023605376,0.0018239577,0.89857835,0.00047496808,61.0
0.06301645,0.006651756,0.00013011743,0.01363873,0.027107202,0.002250685,0.8866093,0.00059573253,62.0
0.042844344,0.07734256,0.011528469,0.060670763,0.0443614,0.2660143,0.034455497,0.46278268,63.0
0.07945474,0.24037245,0.0021321464,0.21437322,0.074334994,0.32381558,0.048390098,0.017126776,64.0
0.031394694,0.054430336,0.010712831,0.043159936,0.03252299,0.15860377,0.025641425,0.643534,65.0
0.04725107,0.060817283,0.35475388,0.055258386,0.047980122,0.090660706,0.042544823,0.30073375,66.0
0.049261283,0.06392191,0.28685626,0.057949472,0.050000567,0.09712389,0.044189334,0.35069728,67.0
0.06939316,0.077243194,0.42502853,0.074200355,0.06989163,0.08992051,0.066235185,0.12808746,68.0
0.014823498,0.017357768,0.8614922,0.016358444,0.014973574,0.021905337,0.01385418,0.03923501,69.0
0.015949767,0.019626744,0.82395387,0.018157793,0.016147625,0.02700554,0.014608207,0.06455043,70.0
0.039766002,0.08215672,0.005296767,0.063015915,0.040541217,0.64754164,0.030187102,0.09149465,71.0
0.0074471207,0.011063063,0.0065118456,0.009482105,0.007618778,0.022312658,0.0063654897,0.9291989,72.0
0.042953253,0.054654695,0.44789252,0.049904697,0.043575283,0.079855464,0.03883607,0.2423281,73.0
0.049849924,0.029923325,0.00021077192,0.030881079,0.8482241,0.005131558,0.034686867,0.001092467,74.0
0.047757816,0.061533105,0.34113577,0.055908088,0.048475638,0.09207297,0.042969767,0.3101468,75.0
0.021692617,0.025371647,0.80034095,0.023835354,0.021983845,0.03160223,0.02032953,0.054843858,76.0
0.30242,0.013539825,0.00020925853,0.033497624,0.058582753,0.0041473606,0.5865985,0.001004668,77.0
0.042674072,0.076875836,0.011470168,0.060452104,0.04417704,0.2644751,0.034316827,0.46555892,78.0
0.021531641,0.030743638,0.026966285,0.026840933,0.021947356,0.057074673,0.018639889,0.7962555,79.0
0.024343153,0.057646707,0.0026149172,0.03989536,0.025490701,0.7939898,0.01813151,0.03788792,80.0
0.03228029,0.7788297,0.00053567317,0.08336473,0.04202986,0.04053869,0.018686006,0.0037349863,81.0
0.04659723,0.062486667,0.14169349,0.055866923,0.047418725,0.10094693,0.04130933,0.50368077,82.0
0.004486041,0.012719482,0.0003170239,0.008109443,0.0047271163,0.9628546,0.003189681,0.0035965831,83.0
0.049581893,0.06473054,0.26410046,0.058444746,0.050378103,0.099015065,0.044410087,0.3693391,84.0
0.061508004,0.006176358,0.000119345044,0.012859447,0.025039835,0.0020824003,0.89166653,0.0005480591,85.0
0.06116529,0.0064346907,0.00012439469,0.013139647,0.026748931,0.0021594444,0.8896575,0.0005701724,86.0
0.049149927,0.09506509,0.010555259,0.071464755,0.05144704,0.39104518,0.0389404,0.2923323,87.0
0.038038805,0.06690005,0.011188524,0.053360924,0.039263286,0.21586855,0.030768992,0.54461086,88.0
0.045976184,0.058805417,0.3876872,0.05363595,0.0466055,0.087078676,0.041457888,0.27875316,89.0
0.017858934,0.045658913,0.0017085046,0.029773565,0.018914578,0.8503583,0.013161215,0.022565933,90.0
0.12042499,0.20655006,0.0006103303,0.1408432,0.44555518,0.019486742,0.0631033,0.0034261781,91.0
0.5871267,0.014851895,0.00020113919,0.040368497,0.06835895,0.0042596473,0.2838454,0.0009878378,92.0
0.048544236,0.09628576,0.008920446,0.0723969,0.0503798,0.4788571,0.037949417,0.20666637,93.0
0.0945172,0.43853745,0.00068758515,0.14601324,0.23948225,0.025194246,0.051546127,0.004021957,94.0
0.04606603,0.65275496,0.0010895913,0.10048044,0.059172276,0.10368038,0.0287346,0.008021677,95.0
0.8207999,0.010116326,0.00012602883,0.033854842,0.038858727,0.0028586746,0.09275165,0.0006338436,96.0
0.014419489,0.91109145,0.00017295557,0.033679273,0.02215233,0.009324364,0.008043121,0.0011169931,97.0
0.110133946,0.37819922,0.00063468656,0.20453723,0.22546634,0.02400051,0.05330123,0.003726837,98.0
0.005464028,0.008166499,0.0044892435,0.006986867,0.0055884183,0.016762001,0.004658721,0.94788414,99.0
0.052700892,0.56371677,0.0014207903,0.11255376,0.06702294,0.15820055,0.033542294,0.010841954,100.0
0.07416318,0.030912379,0.00019007485,0.042218424,0.808498,0.004973652,0.038041867,0.0010023596,101.0
0.006000278,0.017142167,0.00044750277,0.010604697,0.0063762926,0.94996375,0.004298745,0.005166618,102.0
0.12222198,0.17835872,0.00056930876,0.13903572,0.47607976,0.017943297,0.0626081,0.0031831353,103.0
0.03647489,0.07983481,0.004773434,0.057635244,0.037989434,0.6750909,0.027688498,0.08051277,104.0
0.013747933,0.02260356,0.005919169,0.018511692,0.014165915,0.0585892,0.011375931,0.8550866,105.0
0.015009848,0.9086699,0.00020811727,0.029736063,0.025411567,0.010718882,0.008906088,0.0013395679,106.0
0.082588315,0.07883691,0.00038593027,0.06698399,0.70888454,0.010561539,0.04968545,0.0020733578,107.0
0.037136205,0.7781203,0.00035315286,0.08372104,0.061990578,0.016597,0.019880813,0.0022009565,108.0
0.0492574,0.06498514,0.19626738,0.058543585,0.0500359,0.10207322,0.04390224,0.4349351,109.0
0.053307254,0.6831052,0.0005725277,0.09008405,0.11439972,0.02366631,0.0313801,0.0034848545,110.0
0.059865173,0.0057488903,0.000108884764,0.012081991,0.023896936,0.0019195172,0.89587665,0.0005020097,111.0
0.03879411,0.06844364,0.011307604,0.05445505,0.040006716,0.2229645,0.031352784,0.53267556,112.0
0.06605094,0.005661769,0.00010412967,0.012262868,0.023432152,0.0018711843,0.8901337,0.00048327626,113.0
0.08854804,0.036263973,0.00021855363,0.050243028,0.7738694,0.0057624434,0.043940306,0.0011542317,114.0
0.018389536,0.050014988,0.0016693926,0.030741373,0.019871015,0.844735,0.013517454,0.02106124,115.0
0.051570527,0.030109493,0.00021841146,0.030598184,0.8440605,0.0052226135,0.037096493,0.0011238237,116.0
0.14007123,0.028579295,0.00025678778,0.045205753,0.687102,0.005871422,0.09161969,0.0012938224,117.0
0.09958732,0.013232904,0.00029127084,0.025987325,0.04845104,0.0047467523,0.8063979,0.0013054436,118.0
0.0020707343,0.0032143868,0.001305454,0.002696849,0.0021255265,0.007150805,0.0017458007,0.9796904,119.0
0.038735595,0.044631198,0.6566034,0.04217729,0.03921149,0.0542918,0.036521584,0.087827675,120.0
0.0033310181,0.0052755773,0.0019316967,0.004360436,0.0034440975,0.011984884,0.002799905,0.9668724,121.0
0.18754865,0.014164389,0.0002150253,0.029674858,0.08156439,0.0041407757,0.68167007,0.0010218017,122.0
0.012931874,0.036849573,0.0010496653,0.022241214,0.014020768,0.89095193,0.009387308,0.012567658,123.0
0.036106996,0.06312492,0.010959696,0.05043455,0.037277523,0.19930564,0.0292653,0.5735253,124.0
0.021258088,0.026508067,0.7604788,0.024245547,0.021650625,0.036590002,0.019441225,0.08982762,125.0
0.026597785,0.0772714,0.0012626224,0.055266023,0.026541425,0.783068,0.017839625,0.012153146,126.0
0.036921207,0.16323043,0.0016638208,0.073081605,0.041628707,0.6432898,0.024958054,0.015226388,127.0
0.048565183,0.090810604,0.0107195,0.07066735,0.05011048,0.3718747,0.0384917,0.31876057,128.0
0.044074547,0.6974652,0.0005583627,0.13917813,0.054227635,0.037003357,0.023729172,0.0037636925,129.0
0.038921107,0.015905986,0.0001254307,0.019474378,0.89472574,0.0029529019,0.027253399,0.0006411032,130.0
0.019739004,0.070052914,0.001203951,0.035854883,0.022065192,0.824839,0.01390558,0.0123394625,131.0
0.062363036,0.2569253,0.0018998679,0.15240635,0.06395603,0.40760505,0.039043687,0.015800698,133.0
0.03489768,0.04848158,0.06285194,0.042698406,0.035554387,0.08418179,0.030539928,0.6607943,134.0
0.052936926,0.19948225,0.001833168,0.1226192,0.054128453,0.51930404,0.03385827,0.015837684,135.0
0.044512343,0.081933394,0.011619465,0.06315247,0.04649278,0.28398287,0.03576581,0.43254086,136.0
