n_clusters,ensemble_size,perm_id,ari_vs_prev
4,1,0,1.0
4,2,0,1.0
4,3,0,0.8320523676009424
4,4,0,0.625408132552332
4,5,0,0.8345524347931149
4,6,0,0.796882300960486
4,7,0,0.88153557647426
4,8,0,0.8596174605318067
4,9,0,0.896570264730648
4,10,0,0.9045923626665923
4,11,0,0.9091708746609372
4,12,0,0.9196582019094772
4,13,0,0.9119847837522274
4,14,0,0.8857270806139486
4,15,0,0.933221177786362
4,16,0,0.9349296735526084
4,17,0,0.9498753065594692
4,18,0,0.9516124746654909
4,19,0,0.9540351318207525
4,20,0,0.9637381952254813
4,21,0,0.9468885574464565
4,22,0,0.9494548709452881
4,23,0,0.9452801498603103
4,24,0,0.9492469448740624
4,25,0,0.9722390714536312
4,26,0,0.9625954599411938
4,27,0,0.9739076560533482
4,28,0,0.9761828157751655
4,29,0,0.9641244420574179
4,30,0,0.9595764831756235
4,1,1,1.0
4,2,1,1.0
4,3,1,0.7454812535483624
4,4,1,0.7331823562680594
4,5,1,0.749328187234262
4,6,1,0.7685528972966025
4,7,1,0.85391911863338
4,8,1,0.8745530912865679
4,9,1,0.8755470411427991
4,10,1,0.8511317420967216
4,11,1,0.8743752551222741
4,12,1,0.8812796534579005
4,13,1,0.92888751305932
4,14,1,0.9399349687623357
4,15,1,0.9438211943570357
4,16,1,0.9493886020485084
4,17,1,0.9096811940894275
4,18,1,0.9301384827531937
4,19,1,0.9261755129276907
4,20,1,0.9366888308556268
4,21,1,0.9512543949431193
4,22,1,0.9638374014692286
4,23,1,0.9484121138338377
4,24,1,0.9621137406576521
4,25,1,0.9482228073035107
4,26,1,0.9481302460579183
4,27,1,0.9580783534032131
4,28,1,0.9591225779946719
4,29,1,0.9575694236327955
4,30,1,0.9532349417243154
4,1,2,1.0
4,2,2,1.0
4,3,2,0.9318780488227132
4,4,2,0.7449386595720908
4,5,2,0.8896606769349127
4,6,2,0.7068975480827085
4,7,2,0.7344951924720654
4,8,2,0.7586059543573975
4,9,2,0.8501729797454629
4,10,2,0.886128189624165
4,11,2,0.8297992840406576
4,12,2,0.8907223844623257
4,13,2,0.8997232765024494
4,14,2,0.9115967728277065
4,15,2,0.896162899076677
