GHS_urban_area_id,most_probable_cluster,assignment_probability,uncertainty_score,similarity
1,0,1.0,0.0,0.42273027
2,0,1.0,0.0,0.34336504
3,6,1.0,0.0,0.19545966
4,0,1.0,0.0,0.35797912
5,6,1.0,0.0,0.22996366
6,6,1.0,0.0,0.18098453
7,4,1.0,0.0,0.3813543
8,1,1.0,0.0,0.32849666
9,1,1.0,0.0,0.3889633
10,1,1.0,0.0,0.31987363
11,5,1.0,0.0,0.27471334
12,5,1.0,0.0,0.26850355
13,0,1.0,0.0,0.4771764
14,2,1.0,0.0,0.56163496
15,4,1.0,0.0,0.43516055
16,6,1.0,0.0,0.31315148
17,1,1.0,0.0,0.41915825
18,2,1.0,0.0,0.5198598
19,0,1.0,0.0,0.33108127
20,5,1.0,0.0,0.2608948
21,6,1.0,0.0,0.29329678
22,1,1.0,0.0,0.3214106
23,0,1.0,0.0,0.32586098
24,2,1.0,0.0,0.5056416
25,0,1.0,0.0,0.31564885
26,0,1.0,0.0,0.35595107
27,0,1.0,0.0,0.46059757
28,0,1.0,0.0,0.3411713
29,0,1.0,0.0,0.27371433
30,0,1.0,0.0,0.38115937
31,6,1.0,0.0,0.25908047
32,4,1.0,0.0,0.45728093
33,5,1.0,0.0,0.28593403
34,5,1.0,0.0,0.2882342
35,5,1.0,0.0,0.31632796
36,0,1.0,0.0,0.292891
37,0,1.0,0.0,0.4255359
38,2,1.0,0.0,0.45006523
39,0,1.0,0.0,0.7812844
40,4,1.0,0.0,0.5097029
41,4,1.0,0.0,0.43347737
42,6,1.0,0.0,0.23223494
43,5,1.0,0.0,0.34264788
44,0,1.0,0.0,0.33076453
45,4,1.0,0.0,0.54534274
46,1,1.0,0.0,0.3086329
47,0,1.0,0.0,0.6383698
48,6,1.0,0.0,0.21169071
49,2,1.0,0.0,0.5259623
50,0,1.0,0.0,0.5377775
52,2,1.0,0.0,0.48664513
53,6,1.0,0.0,0.17688605
54,6,1.0,0.0,0.23195468
55,1,1.0,0.0,0.41681516
56,6,1.0,0.0,0.1947099
57,1,1.0,0.0,0.30486423
58,4,1.0,0.0,0.41890776
59,6,1.0,0.0,0.1950417
60,1,1.0,0.0,0.34636548
61,1,1.0,0.0,0.37607998
62,1,1.0,0.0,0.30854
63,6,1.0,0.0,0.1730635
64,1,1.0,0.0,0.3298201
65,6,1.0,0.0,0.17203909
66,6,1.0,0.0,0.20457758
67,6,1.0,0.0,0.17689374
68,6,1.0,0.0,0.19152877
69,6,1.0,0.0,0.18220426
70,6,1.0,0.0,0.18829429
71,2,1.0,0.0,0.48339343
72,6,1.0,0.0,0.17685091
73,6,1.0,0.0,0.20454834
74,4,1.0,0.0,0.4061252
75,6,1.0,0.0,0.18086639
76,0,1.0,0.0,0.53819895
77,0,1.0,0.0,0.38291976
78,5,1.0,0.0,0.23818378
79,6,1.0,0.0,0.1807763
80,6,1.0,0.0,0.20739733
81,0,1.0,0.0,0.30539837
82,6,1.0,0.0,0.17900036
83,6,1.0,0.0,0.22501488
84,0,1.0,0.0,0.38934463
85,4,1.0,0.0,0.48106086
86,1,1.0,0.0,0.44868296
87,6,1.0,0.0,0.18801272
88,6,1.0,0.0,0.19345184
89,6,1.0,0.0,0.18152529
90,0,1.0,0.0,0.33026388
91,4,1.0,0.0,0.45508447
92,1,1.0,0.0,0.4664484
93,6,1.0,0.0,0.21376015
94,0,1.0,0.0,0.32750356
95,0,1.0,0.0,0.33654192
96,2,1.0,0.0,0.4539393
97,0,1.0,0.0,0.30035648
98,0,1.0,0.0,0.32831374
99,6,1.0,0.0,0.20460325
100,0,1.0,0.0,0.30328763
101,4,1.0,0.0,0.40300268
102,0,1.0,0.0,0.3524226
103,0,1.0,0.0,0.35318077
104,6,1.0,0.0,0.18377575
105,0,1.0,0.0,0.32626155
106,0,1.0,0.0,0.3462326
107,0,1.0,0.0,0.35077745
108,6,1.0,0.0,0.22137438
109,6,1.0,0.0,0.216369
110,0,1.0,0.0,0.4001399
111,2,1.0,0.0,0.5304416
112,6,1.0,0.0,0.20269458
113,1,1.0,0.0,0.31361642
114,0,1.0,0.0,0.30348974
115,0,1.0,0.0,0.31895393
116,0,1.0,0.0,0.30695814
117,0,1.0,0.0,0.3683815
118,0,1.0,0.0,0.41155854
119,6,1.0,0.0,0.21268848
120,6,1.0,0.0,0.523041
121,4,1.0,0.0,0.62770945
122,4,1.0,0.0,0.37610832
123,0,1.0,0.0,0.29479602
124,4,1.0,0.0,0.48920873
125,0,1.0,0.0,0.5695982
126,2,1.0,0.0,0.46818018
127,0,1.0,0.0,0.30853707
128,6,1.0,0.0,0.2179545
129,0,1.0,0.0,0.2986402
130,0,1.0,0.0,0.3211988
131,0,1.0,0.0,0.29302603
133,4,1.0,0.0,0.41674602
134,6,1.0,0.0,0.23601118
135,4,1.0,0.0,0.4824823
136,0,1.0,0.0,0.41306898
137,1,1.0,0.0,0.41332674
138,4,1.0,0.0,0.4218188
139,4,1.0,0.0,0.44310012
140,0,1.0,0.0,0.326278
141,0,1.0,0.0,0.38078445
142,0,1.0,0.0,0.36822003
