cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,GHS_urban_area_id
0.030451853,0.07145903,0.02348878,0.0018145682,0.037584577,0.011142434,0.043659437,0.7576455,0.0001231442,0.022630645,1.0
0.04373989,0.03391966,0.016961943,0.0008827754,0.022822235,0.0030485648,0.8308058,0.030251091,5.7340916e-05,0.017510783,2.0
0.02797858,0.033776138,0.7486345,0.011099636,0.025008388,0.031324502,0.056060918,0.044379506,0.00039347715,0.02134441,3.0
0.0574743,0.06783371,0.41617796,0.058333103,0.05337893,0.115529664,0.09584986,0.087073855,0.0014477707,0.046900794,4.0
0.0675471,0.06490815,0.071579635,0.0026120665,0.042618882,0.009170289,0.63459617,0.07341134,0.00015718873,0.033399284,5.0
0.04665201,0.05478665,0.56180775,0.029560057,0.04214335,0.07145962,0.08463052,0.07143504,0.0008899463,0.036635067,6.0
0.017040255,0.050932672,0.009420961,0.00072434294,0.022453114,0.0038794007,0.023350477,0.8598156,5.0167204e-05,0.012332972,7.0
0.06564022,0.19787428,0.0055294624,0.00062152237,0.59125775,0.0022156986,0.02328038,0.02861528,5.0149618e-05,0.084915295,8.0
0.03550475,0.76091444,0.006444805,0.00060788915,0.08757356,0.0023855923,0.025896478,0.052023973,4.5479555e-05,0.028603036,9.0
0.08621252,0.058126755,0.00494905,0.0006341749,0.28141758,0.0020720235,0.019926481,0.018119281,5.4332526e-05,0.52848786,10.0
0.043196104,0.7032936,0.008581053,0.0007705099,0.08996106,0.00311602,0.035410475,0.08356498,5.689929e-05,0.032049313,11.0
0.056573253,0.46418908,0.015510035,0.0013312073,0.10051922,0.0058255,0.056356654,0.2579186,9.6642805e-05,0.041679874,12.0
0.067324534,0.11001778,0.12834051,0.013519306,0.076011,0.18635368,0.09697962,0.26469046,0.00080302206,0.055960115,13.0
0.06323436,0.0294178,0.0036627993,0.0004928304,0.09125292,0.0015192896,0.01433917,0.011154646,4.301831e-05,0.7848832,14.0
0.07184385,0.032155097,0.0037494749,0.0004993278,0.10926109,0.0015595896,0.014992407,0.011880143,4.3543627e-05,0.75401545,15.0
0.40477684,0.15371647,0.013483422,0.001185337,0.1503597,0.0040507135,0.12522916,0.05095253,8.8974855e-05,0.09615687,16.0
0.05720667,0.43562537,0.016075268,0.0013656404,0.09943945,0.006017251,0.05834291,0.2837737,9.885748e-05,0.04205486,17.0
0.08356685,0.07930877,0.0050201593,0.0006166176,0.5375363,0.002078882,0.020759657,0.020599995,5.1864637e-05,0.25046086,18.0
0.06627789,0.0722091,0.054361142,0.0021847438,0.04394509,0.007636441,0.64823824,0.07175241,0.00013337003,0.033261638,19.0
0.02437848,0.08656381,0.011108905,0.0008825175,0.034120534,0.0044773305,0.031050012,0.7897577,6.209784e-05,0.017598564,20.0
0.73931026,0.04049973,0.005291434,0.0005646661,0.074277066,0.0018026918,0.034683105,0.01628815,4.544634e-05,0.087237455,21.0
0.08169735,0.07970612,0.0050198426,0.00061873475,0.5424601,0.0020787101,0.020600421,0.020427346,5.2061652e-05,0.24733934,22.0
0.17752598,0.07279061,0.020836374,0.0014635931,0.06015804,0.0047613042,0.5661209,0.045576155,0.00010231821,0.050664738,23.0
0.06692316,0.03758657,0.0038774307,0.0005116616,0.14496978,0.0016314916,0.015276353,0.013076307,4.438382e-05,0.71610284,24.0
0.07717755,0.07970294,0.14867741,0.0041494076,0.052599546,0.014490555,0.4845587,0.09652866,0.00023760721,0.04187764,25.0
0.13535622,0.046332646,0.005109023,0.0006359353,0.15014224,0.0020131655,0.022907225,0.016563777,5.3981486e-05,0.62088585,26.0
0.036801778,0.046107188,0.069007404,0.046028133,0.039070576,0.6182304,0.04534933,0.0631566,0.002406361,0.033842094,27.0
0.052794136,0.04668586,0.037803434,0.0016037038,0.031067792,0.0054963054,0.75303197,0.04691584,9.9271005e-05,0.024501652,28.0
0.0068256194,0.0080475025,0.9405696,0.0015198233,0.0057535986,0.004953241,0.016505565,0.010944883,6.448328e-05,0.0048156898,29.0
0.08286699,0.5558836,0.013499819,0.0010998475,0.11890767,0.0042457213,0.076711684,0.09790041,7.946738e-05,0.048804812,30.0
0.058292314,0.07101313,0.45330074,0.0057085226,0.046307806,0.020922294,0.20847984,0.09895256,0.0002940345,0.03672864,31.0
0.08578183,0.038586795,0.004083319,0.0005215132,0.13764273,0.0016615654,0.017182227,0.013592943,4.4687178e-05,0.70090246,32.0
0.025698036,0.063272454,0.019126855,0.0013446595,0.030785097,0.007672678,0.040005293,0.7938367,9.002059e-05,0.018168222,33.0
0.074675,0.1117513,0.20266812,0.005433301,0.06473401,0.024960158,0.24661076,0.22201636,0.00030594203,0.046845093,34.0
0.017900564,0.056342933,0.009556661,0.00076486677,0.024568472,0.0041007213,0.023314796,0.8501356,5.3466603e-05,0.013261786,35.0
0.19228463,0.33775243,0.015827866,0.0013241057,0.16723126,0.0048091486,0.12415058,0.08153938,9.747834e-05,0.074983135,36.0
0.064455725,0.11898267,0.09775468,0.00778105,0.07435059,0.06766488,0.09792379,0.41930887,0.0004840693,0.051293705,37.0
0.06798485,0.030248025,0.0038996425,0.0005241923,0.08999939,0.001607245,0.015345113,0.011660042,4.571735e-05,0.7786858,38.0
0.012777037,0.014390791,0.030282317,0.8539382,0.012501541,0.030136324,0.01667173,0.016518848,0.0012214362,0.01156171,39.0
0.19258077,0.2636913,0.020366676,0.0015525047,0.13532397,0.0057646204,0.20365775,0.10483847,0.00011162264,0.07211229,40.0
0.14512482,0.04393712,0.0053924224,0.00068689196,0.1324499,0.0021355895,0.023758503,0.016594158,5.8900463e-05,0.62986165,41.0
0.019010525,0.022550732,0.83363533,0.0030572359,0.015636059,0.010219417,0.05256281,0.030296493,0.00014064423,0.012890756,42.0
0.06827478,0.49595293,0.0069227177,0.0007156799,0.29004312,0.0026750634,0.030769838,0.0446144,5.6031928e-05,0.05997542,43.0
0.14832789,0.10714441,0.005815834,0.0006605602,0.5256038,0.0022593506,0.028261565,0.025260106,5.4191954e-05,0.15661234,44.0
0.08819236,0.077427804,0.0047867666,0.00058335357,0.5709257,0.0019753545,0.020294804,0.019987348,4.9048336e-05,0.21577744,45.0
0.04586631,0.6871226,0.0060440213,0.00060265255,0.1516558,0.0022779435,0.025816975,0.040957265,4.623195e-05,0.03961016,46.0
0.043361504,0.053911157,0.0833123,0.06907395,0.045794476,0.5359072,0.053559236,0.071958765,0.0032396072,0.039881792,47.0
0.04101373,0.04923329,0.62084514,0.0219398,0.037227504,0.056247167,0.07663761,0.06406033,0.0007007956,0.032094587,48.0
0.106849276,0.39586762,0.008094655,0.00081018294,0.31990206,0.002987751,0.041422486,0.04893509,6.312612e-05,0.07506779,49.0
0.048592843,0.0598305,0.091469005,0.08853948,0.05124047,0.47333273,0.05953083,0.07833916,0.0041304952,0.04499448,50.0
0.035629835,0.76203054,0.006278117,0.00059276546,0.088213615,0.0023258475,0.025556281,0.050935127,4.4426022e-05,0.028393395,52.0
0.06280745,0.0724493,0.27989256,0.14192642,0.059158474,0.14395691,0.09550519,0.088974416,0.0023586743,0.05297055,53.0
0.063086085,0.07154001,0.4153348,0.005835217,0.047972582,0.020429447,0.24165165,0.09504632,0.00030363005,0.038800262,54.0
0.077545345,0.2583842,0.0061438577,0.0006666307,0.51376957,0.0024035745,0.027460357,0.03355512,5.3236003e-05,0.08001814,55.0
0.018226853,0.02131475,0.8405674,0.0029547864,0.014887465,0.010044781,0.050395146,0.029156083,0.00013609492,0.01231665,56.0
0.03513792,0.7650172,0.0059456388,0.0005680037,0.09169734,0.002213269,0.024257373,0.046497732,4.274762e-05,0.028622806,57.0
0.69450295,0.045967106,0.005636085,0.00061109045,0.09066809,0.0019487697,0.035359345,0.017629959,4.9438193e-05,0.10762717,58.0
0.040229797,0.045331847,0.112784915,0.5197016,0.038703837,0.096897334,0.054941207,0.053157814,0.002794625,0.035456985,59.0
0.059571672,0.02966507,0.0036141367,0.00048461912,0.09300287,0.001507968,0.014060966,0.01123563,4.2231783e-05,0.78681487,60.0
0.063194424,0.03066844,0.0036763514,0.00048716832,0.096827686,0.0015253151,0.014551624,0.011578367,4.227655e-05,0.77744836,61.0
0.06073186,0.029808007,0.0037725673,0.0005111676,0.09061958,0.0015798596,0.014511553,0.0115122935,4.473677e-05,0.7869084,62.0
0.012676234,0.015213055,0.8880747,0.0037241934,0.011041625,0.011584879,0.027757552,0.020463988,0.00014560735,0.00931811,63.0
0.053529266,0.54856724,0.013506842,0.001183658,0.101186395,0.005059905,0.05018604,0.1867299,8.647864e-05,0.039964307,64.0
0.013961312,0.016634572,0.8774295,0.004181755,0.0121332975,0.012639383,0.03043526,0.022136198,0.00016232888,0.0102863815,65.0
0.055629108,0.06436438,0.18530013,0.28950182,0.05371689,0.14373407,0.07902008,0.07722511,0.002939604,0.048568778,66.0
0.056318462,0.064850755,0.18905693,0.2869057,0.054178085,0.13897032,0.08022637,0.07747079,0.0029353113,0.049087282,67.0
