GHS_urban_area_id,similarity,consensus_label_majority,entropy,mean_prob_cluster_0,mean_prob_cluster_1,mean_prob_cluster_2,mean_prob_cluster_3
1,1.3275912640069665,2,1.127611419530182,0.1338361312641133,0.06265819037610781,0.47842057182086895,0.32508510135289254
2,1.3810284694326365,0,1.2424551030456312,0.45859122444493544,0.09095267340523261,0.19198360835816225,0.2584724889235737
3,1.1747897364803424,0,1.2477612995679408,0.5450788057890842,0.22588795158915215,0.09542711801595181,0.13360612629747384
4,1.167120677953608,1,1.32412759996984,0.3414832410844892,0.34706444269410497,0.20147219587273238,0.1099801136647156
5,1.12422656204886,0,1.198108712750377,0.4235349887748246,0.04984849035049543,0.14201055211916078,0.38460596690623616
6,0.9653419276873854,0,1.2190080269912988,0.560329800291467,0.24189108001043774,0.1178478244777704,0.07993128792397136
7,1.2958741384799521,3,1.1390182169398773,0.16737669110367212,0.03720443148354512,0.3470906621673658,0.44832822633983505
8,0.9499200474498132,2,0.9468315825297671,0.023474478477785818,0.0038027077745422647,0.6200744499389879,0.35264836804857097
9,1.0924534592472634,2,1.0162055582509046,0.08035855345213416,0.05098511547954136,0.4413837654157572,0.4272725718749542
10,0.9375026713115158,2,0.9299566503022061,0.01914432401086862,0.004103687652115276,0.5836654664761187,0.39308650361782477
11,1.0179032784710227,2,0.9872167563634358,0.03519330122945096,0.06930835488861306,0.5821845914141166,0.3133137584344516
12,1.0103617119543644,2,0.9067744719185202,0.06716513440649403,0.06133690137257293,0.6771421811658123,0.1943557927514882
13,1.1111175201186516,2,1.0937064363195297,0.058023611922631085,0.06701194091159506,0.662326777384953,0.2126376760292009
14,1.2700354911196388,3,1.052126932995989,0.04224652948605053,0.0065623537940772084,0.38822251805763963,0.5629686129856328
15,1.2683162658357567,3,1.1714179369312834,0.10703246959790409,0.09656501862739365,0.21583564493422794,0.5805668654819776
16,1.4879200798693455,3,1.2483386927235236,0.3032820279923882,0.0724627686171823,0.17423758272715215,0.45001764604362265
17,1.1402492250901537,2,0.9936564075716535,0.07531862720269564,0.04995338352825385,0.7143604615853548,0.16036753119822544
18,1.0584060444831493,2,0.9698831628332691,0.023057001057221523,0.003912717294823948,0.5746745938075695,0.39835568809454125
19,1.4316463950633935,3,1.1941320258693005,0.3033851382143745,0.030083858093309643,0.2048194287178909,0.4617115945615213
20,0.9687733267736833,2,0.8294915362572942,0.05466509621975102,0.06313305445702137,0.7577775746692541,0.12442427563365624
