cluster_0_prob,cluster_1_prob,cluster_2_prob,GHS_urban_area_id
0.91129625,0.0034468286,0.08525688,1
0.92543215,0.0031203502,0.071447514,2
0.017103693,0.9586364,0.024259957,3
0.22760242,0.27735758,0.49504,4
0.22939813,0.10440508,0.6661968,5
0.0351967,0.9167871,0.048016228,6
0.7168779,0.0067642676,0.27635786,7
0.93553597,0.0036344132,0.06082958,8
0.934296,0.0032583862,0.06244559,9
0.93700635,0.0034984855,0.05949517,10
0.935608,0.0028503577,0.06154161,11
0.9376637,0.0033621264,0.058974214,12
0.90615094,0.0035506021,0.09029845,13
0.9411181,0.0030226219,0.055859312,14
0.8957056,0.003868138,0.10042621,15
0.23608936,0.035622627,0.72828805,16
0.8560622,0.0045734653,0.13936436,17
0.9421209,0.0028727993,0.055006355,18
0.20725487,0.037795834,0.75494933,19
0.9365671,0.003466151,0.059966736,20
0.8445036,0.005642962,0.14985348,21
0.93523246,0.0036496131,0.061117984,22
0.2202344,0.067366846,0.71239877,23
0.94184595,0.002892775,0.05526127,24
0.1356294,0.022552015,0.8418186,25
0.57086456,0.009944316,0.41919118,26
0.10121565,0.009770845,0.88901347,27
0.22682041,0.093866564,0.679313,28
0.17555122,0.013606855,0.8108419,29
0.18418306,0.015891021,0.799926,30
0.11296449,0.6924335,0.19460203,31
0.74579865,0.0072518373,0.24694951,32
0.1475438,0.024948452,0.82750773,33
0.9406373,0.0028206324,0.056542136,34
0.92387974,0.003058465,0.07306181,35
0.54513085,0.008786077,0.44608304,36
0.32785407,0.01171417,0.6604318,37
0.93756807,0.0033281494,0.059103765,38
0.08448316,0.784061,0.13145584,39
0.24295926,0.013693429,0.7433473,40
0.9280323,0.0029566924,0.069011025,41
0.24147211,0.16802356,0.59050435,42
0.9093963,0.0034560587,0.08714767,43
0.17451832,0.033980813,0.7915008,44
0.058052327,0.0042637093,0.937684,45
0.93240994,0.0038255134,0.06376452,46
0.22538434,0.08062155,0.6939941,47
0.02818782,0.9320313,0.03978088,48
0.66877204,0.007801051,0.32342693,49
0.23938501,0.07618958,0.68442535,50
0.9265924,0.0043677813,0.06903978,52
0.08313792,0.8094534,0.10740864,53
0.22559714,0.14375028,0.63065255,54
0.91024446,0.003474327,0.086281225,55
0.19459042,0.41867045,0.38673913,56
0.9305553,0.004004252,0.06544046,57
0.9403016,0.0029791114,0.056719285,58
0.15406281,0.6594785,0.1864587,59
0.93853897,0.0033237215,0.058137294,60
0.93758065,0.003211456,0.05920787,61
0.9332756,0.0038429566,0.062881425,62
0.03142222,0.9201661,0.048411723,63
0.9390379,0.0030761429,0.057885956,64
0.018291641,0.9545094,0.027198976,65
0.05870914,0.8630381,0.07825268,66
0.018147571,0.9548744,0.026978096,67
0.2090363,0.55092424,0.2400394,68
0.11682815,0.7374615,0.1457103,69
0.033220656,0.9217178,0.045061532,70
0.93609697,0.0031517895,0.060751244,71
0.017734101,0.95605403,0.026211914,72
0.08142477,0.812684,0.10589128,73
0.7850711,0.005844256,0.20908472,74
0.0760339,0.825275,0.098691076,75
0.112402394,0.6912696,0.19632809,76
0.93729717,0.0029176415,0.0597852,77
0.9382981,0.003198136,0.058503762,78
0.018002959,0.9556613,0.026335787,79
0.14655554,0.5870523,0.26639217,80
0.22076678,0.012035875,0.7671973,81
0.015697977,0.9613769,0.022925137,82
0.22135618,0.29336348,0.48528033,83
0.123851836,0.0139085045,0.86223966,84
0.9411091,0.0029707383,0.055920124,85
0.94043803,0.0031125955,0.056449395,86
0.06571669,0.8286124,0.105670944,87
0.14956237,0.5787045,0.2717331,88
0.10034367,0.77189034,0.12776597,89
0.75130975,0.006469503,0.24222077,90
0.06499297,0.004992727,0.93001425,91
0.9413175,0.0028414582,0.055841077,92
0.07929509,0.7888478,0.13185711,93
0.2258166,0.2176383,0.55654514,94
0.17662701,0.47814086,0.34523213,95
0.92427826,0.0044787307,0.071242996,96
0.14368735,0.027264006,0.82904863,97
0.12408448,0.020567946,0.85534763,98
0.050196946,0.8821023,0.06770076,99
0.3427804,0.008495203,0.64872444,100
0.24395442,0.0074165496,0.7486291,101
0.22532775,0.20648041,0.5681918,102
0.0743264,0.0078465985,0.917827,103
0.055057924,0.8567615,0.08818053,104
0.20777607,0.3476304,0.44459352,105
0.09077486,0.012092329,0.8971328,106
0.06012425,0.004171535,0.93570423,107
0.17746499,0.034740843,0.7877941,108
0.06970962,0.83906096,0.091229424,109
0.06336008,0.00563918,0.9310007,110
0.94097865,0.003081749,0.05593955,111
0.1257121,0.6559476,0.2183403,112
0.9251552,0.004480522,0.07036426,113
0.7207335,0.007159671,0.27210677,114
0.11594984,0.008646636,0.8754035,115
0.29210886,0.0077369493,0.7001542,116
0.9380801,0.0028320157,0.059087936,117
0.9253494,0.003382046,0.07126855,118
0.06604221,0.82756096,0.10639677,119
0.2044116,0.08417362,0.7114148,120
0.07236233,0.0043432964,0.92329437,121
