cluster_0_prob,cluster_1_prob,cluster_2_prob,GHS_urban_area_id
0.082400426,0.9142571,0.003342484,1
0.20876782,0.7852278,0.006004348,2
0.09650918,0.05566465,0.8478261,3
0.8586376,0.11693333,0.02442914,4
0.27287042,0.13458493,0.5925446,5
0.0572915,0.03485514,0.9078533,6
0.8691304,0.11061432,0.020255366,7
0.07307611,0.9217842,0.005139554,8
0.050592184,0.9471667,0.0022411314,9
0.065780506,0.929759,0.0044604037,10
0.042675108,0.95497924,0.0023456225,11
0.05011414,0.94688517,0.0030007376,12
0.04689529,0.95057404,0.0025306167,13
0.041099973,0.95678437,0.0021156296,14
0.8549856,0.1200803,0.024934141,15
0.25853294,0.7348711,0.0065959394,16
0.04374074,0.9540251,0.0022342294,17
0.05171979,0.94516575,0.0031144011,18
0.9202269,0.07501419,0.0047589,19
0.053568967,0.9431191,0.003311931,20
0.83158237,0.16186644,0.006551222,21
0.04183314,0.95599633,0.0021704866,22
0.8979068,0.08877873,0.013314474,23
0.047960173,0.9493137,0.002726078,24
0.7694362,0.16719092,0.06337294,25
0.29385445,0.69910437,0.007041214,26
0.47503608,0.19633695,0.32862705,27
0.91431904,0.08046026,0.005220664,28
0.94088775,0.054930907,0.004181387,29
0.1895926,0.80480427,0.0056030136,30
0.8110535,0.14911547,0.03983101,31
0.049726587,0.9479423,0.0023310827,32
0.13400534,0.86148965,0.0045050303,33
0.06409221,0.9316885,0.004219381,34
0.34477696,0.64751345,0.007709616,35
0.35133368,0.641075,0.0075912573,36
0.045945264,0.95142686,0.00262785,37
0.91735643,0.07724543,0.0053981026,38
0.5294856,0.20381464,0.26669976,39
0.6730611,0.20008802,0.12685096,40
0.740262,0.18093923,0.07879877,41
0.48547584,0.19711274,0.31741133,42
0.7247552,0.26667702,0.008567796,43
0.86503774,0.11311508,0.021847151,44
0.1339573,0.073375545,0.7926672,45
0.052349824,0.94444484,0.0032053718,46
0.85128087,0.13943554,0.009283543,47
0.05518682,0.035950553,0.90886265,48
0.6774317,0.20108806,0.12148022,49
0.81453955,0.17401652,0.011443981,50
0.04528146,0.9521994,0.0025191654,52
0.05915813,0.038962003,0.90187985,53
0.6704029,0.1985066,0.13109045,54
0.8998737,0.0936278,0.0064985882,55
0.57426584,0.20549126,0.22024289,56
0.04343391,0.95450056,0.0020655165,57
0.90548605,0.08334853,0.011165483,58
0.1294065,0.09484407,0.7757494,59
0.05146477,0.94534236,0.0031929635,60
0.047846604,0.94934636,0.0028069867,61
0.054394092,0.9422083,0.003397533,62
0.19575013,0.10292042,0.7013294,63
0.10972803,0.88643086,0.0038411822,64
0.13539588,0.07493833,0.7896658,65
0.063849434,0.038842108,0.8973084,66
0.117091335,0.06594467,0.81696385,67
0.20250241,0.16113552,0.63636214,68
0.06442283,0.043040052,0.8925372,69
0.14941637,0.08157254,0.7690111,70
0.6840034,0.30718517,0.008811373,71
0.07773806,0.045844346,0.8764176,72
0.05747674,0.037050422,0.90547293,73
0.805477,0.18778138,0.006741612,74
0.068043336,0.045958053,0.8859985,75
0.4344967,0.18781513,0.37768823,76
0.045147914,0.952394,0.002458106,77
0.045295853,0.9524537,0.0022505044,78
0.08280253,0.048680063,0.86851746,79
0.3383824,0.15863013,0.50298744,80
0.8446194,0.12657209,0.028808555,81
0.16683711,0.08976697,0.74339586,82
0.87506926,0.10432422,0.02060657,83
0.033956036,0.021954125,0.9440898,84
0.045647614,0.952106,0.0022463342,85
0.061385356,0.9345761,0.0040386366,86
0.22864781,0.11692063,0.6544315,87
0.20307924,0.10594461,0.6909762,88
0.06297941,0.041173708,0.89584684,89
0.36476144,0.16751078,0.46772772,90
0.70708454,0.28504002,0.007875372,91
0.046435624,0.9512945,0.0022698964,92
0.09656899,0.055721726,0.8477093,93
0.3934839,0.17588384,0.43063217,94
0.50269127,0.19953658,0.2977722,95
0.11170367,0.8843973,0.0038989861,96
0.78052026,0.16161491,0.05786481,97
0.9378373,0.056997895,0.005164743,98
0.06535472,0.04381745,0.89082783,99
0.34778413,0.16202295,0.49019295,100
0.389353,0.60235655,0.0082904305,101
0.5445421,0.20446923,0.2509887,102
0.9307685,0.06458662,0.0046448894,103
0.31910548,0.15235297,0.5285416,104
0.16806915,0.09040121,0.7415297,105
0.76964384,0.167424,0.06293216,106
0.8686329,0.10987663,0.021490417,107
0.9239024,0.06731245,0.008785025,108
0.052501924,0.0336925,0.91380554,109
0.91548145,0.08026316,0.0042553837,110
0.049590804,0.9475088,0.0029003592,111
0.13105717,0.072276235,0.7966665,112
0.04410673,0.9535512,0.0023421478,113
0.93190086,0.06370465,0.0043944838,114
0.27768672,0.1363968,0.5859165,115
0.79092765,0.15840495,0.050667427,116
0.20863514,0.78552234,0.0058425204,117
0.055656828,0.9416998,0.0026433973,118
0.08784471,0.050505213,0.86165017,119
0.6939782,0.24041262,0.06560921,120
0.8998645,0.089629725,0.010505756,121
0.38302943,0.60910064,0.007869948,122
0.49082378,0.1980029,0.31117332,123
0.9152529,0.077723145,0.0070238174,124
0.6474895,0.3370349,0.015475594,125
0.8443952,0.12728122,0.028323576,126
0.5262417,0.20325266,0.27050567,127
0.47220847,0.19447546,0.33331615,128
0.90971917,0.0809712,0.009309638,129
0.8848079,0.109877706,0.0053143906,130
0.48585474,0.19692047,0.31722468,131
0.7733102,0.16759077,0.059099156,133
0.048748694,0.029903956,0.9213474,134
0.3443548,0.64790815,0.0077369604,135
0.5525816,0.20681433,0.24060413,136
0.051756237,0.94514775,0.0030959577,137
0.7624078,0.17239226,0.06520003,138
0.8442856,0.12619923,0.029515212,139
0.4861496,0.19790372,0.31594664,140
0.07468264,0.044739086,0.8805783,141
0.050609197,0.03344677,0.9159441,142
0.42478406,0.18497951,0.39023638,143
0.8263073,0.16582346,0.007869235,144
0.16823868,0.08992184,0.74183947,145
0.32409137,0.66847175,0.0074368105,146
0.052830823,0.94479614,0.0023730353,147
0.5942835,0.39670748,0.009008983,148
0.9003894,0.08667778,0.012932796,149
0.49432066,0.19919524,0.3064841,150
0.6917939,0.19457062,0.11363536,151
0.04844597,0.03159834,0.9199556,152
0.240813,0.2014229,0.55776405,153
0.72594523,0.18535936,0.08869528,154
0.23361799,0.1931039,0.57327807,155
0.03469911,0.021783505,0.9435173,156
0.8523376,0.12117727,0.026485115,157
0.037276115,0.024129104,0.93859476,158
0.91852754,0.076881595,0.004590881,159
0.471598,0.19583759,0.33256435,160
0.047621496,0.9501888,0.0021896604,161
0.60042214,0.20885229,0.19072565,162
0.299475,0.14516899,0.555356,163
0.48791164,0.20026089,0.3118275,164
0.022383442,0.014217642,0.9633989,165
0.18470804,0.14515778,0.6701342,166
0.04433848,0.9531693,0.0024922588,167
0.08582903,0.059767455,0.85440344,168
0.06579343,0.929791,0.0044154916,169
0.06619861,0.93079793,0.0030034233,170
0.055910878,0.9406033,0.0034857958,171
0.048196163,0.9490214,0.0027823993,172
0.3566222,0.6355823,0.0077955364,173
0.043661583,0.9541974,0.0021410075,174
0.044662222,0.9529528,0.0023850233,175
0.85458297,0.13839014,0.0070268614,176
0.1635786,0.12590821,0.7105132,177
0.16816749,0.12876862,0.7030639,178
0.07635569,0.052899532,0.87074476,179
0.6598187,0.20244482,0.13773644,180
0.06229515,0.041801777,0.89590305,181
0.69937396,0.1948478,0.10577821,182
0.40109086,0.18120198,0.41770712,183
0.43196303,0.18565731,0.38237968,184
0.04576949,0.95156276,0.002667842,185
0.62299496,0.20732488,0.16968018,186
0.096460484,0.055398714,0.84814084,187
0.77480054,0.21043701,0.014762515,189
0.84099054,0.12881565,0.030193832,190
0.9123656,0.080547564,0.007086745,191
0.06002039,0.9374443,0.0025352405,192
0.056012668,0.034733523,0.9092539,193
0.78114337,0.16259031,0.056266293,194
0.09467969,0.054496493,0.8508238,195
0.048177414,0.94901735,0.0028052134,196
0.067981265,0.92741644,0.00460225,197
0.699144,0.29194534,0.0089106895,198
0.0628303,0.93296516,0.0042045875,199
0.055002563,0.941539,0.0034584075,200
0.8427075,0.12847596,0.028816538,201
0.5834538,0.4080408,0.008505439,202
0.3114591,0.152542,0.535999,203
0.054538775,0.94206613,0.0033951611,204
0.30199862,0.69042385,0.007577591,205
0.0498448,0.9472153,0.0029398447,206
0.64757216,0.3440094,0.008418439,207
0.0464653,0.95088625,0.0026484486,208
0.049287427,0.94780564,0.0029068398,209
0.2384648,0.1209375,0.6405977,210
0.042066474,0.9557192,0.0022143568,211
0.19947645,0.10436848,0.696155,212
0.8876632,0.09771676,0.014620003,213
0.13440725,0.07430063,0.791292,214
0.05202194,0.94490206,0.0030760549,215
0.38830388,0.6032149,0.008481195,216
0.088323265,0.90835476,0.0033219461,217
0.9151407,0.08045292,0.0044063656,218
0.81235224,0.1754694,0.012178419,219
0.26262936,0.73067975,0.0066909594,220
0.6188891,0.20757155,0.17353937,221
0.5004132,0.1995306,0.3000562,222
0.47739103,0.1957225,0.3268865,223
0.050297897,0.9474752,0.0022269057,224
0.060230926,0.9358636,0.003905476,225
0.5691976,0.2072375,0.22356491,226
0.14619046,0.84875464,0.005054872,227
0.049101587,0.94811106,0.0027873258,228
0.5077598,0.48319376,0.009046372,229
0.9180767,0.07345036,0.008473023,230
0.12666716,0.07057211,0.8027607,231
0.042448033,0.9554955,0.002056475,232
0.28510293,0.25440904,0.46048808,233
0.76196504,0.22986981,0.00816522,234
0.34270504,0.15994172,0.4973532,235
0.5564954,0.20475033,0.23875424,236
0.042215165,0.9557076,0.0020771676,237
0.8704356,0.10962717,0.019937301,238
0.045908067,0.9514158,0.002676179,239
0.063463286,0.93232626,0.004210455,240
0.04504221,0.9523964,0.0025614842,241
0.12632771,0.07048679,0.80318546,242
0.042195924,0.955745,0.0020590443,243
0.048326116,0.030306531,0.9213673,244
0.05438153,0.035181392,0.910437,245
0.21594769,0.11174752,0.6723048,246
0.06787934,0.04050729,0.89161336,247
0.53201485,0.20297262,0.26501256,248
0.06367573,0.042563383,0.89376086,249
0.45390898,0.5377957,0.008295318,250
0.26174575,0.13081995,0.6074343,251
0.085947596,0.05961093,0.85444146,252
0.09262356,0.9035899,0.003786554,253
0.10223113,0.057360753,0.84040815,255
0.2747522,0.13583408,0.58941376,256
0.626767,0.20451689,0.16871615,257
0.7132476,0.18958482,0.09716762,258
0.1823553,0.096356235,0.72128856,259
0.41544124,0.18137875,0.40317994,260
0.60478735,0.20537631,0.1898363,261
0.056319345,0.9401911,0.0034895034,262
0.57664937,0.20547971,0.21787086,263
0.8457064,0.12802988,0.02626371,264
0.41523504,0.18144642,0.4033185,265
0.03905968,0.023910908,0.9370293,266
0.9292719,0.06656435,0.0041638087,267
0.058440685,0.93775904,0.0038003502,268
0.078808606,0.04671872,0.8744727,269
0.14848956,0.846719,0.0047914297,270
0.3130481,0.14962737,0.53732455,271
0.8169583,0.14302121,0.040020492,272
0.70542204,0.19192609,0.10265179,273
0.2835821,0.13874981,0.5776681,274
0.35014865,0.16311103,0.48674023,275
0.3510009,0.16281508,0.48618394,276
0.91326886,0.08203751,0.0046936623,277
0.17907454,0.09651742,0.72440803,278
0.8758712,0.104873344,0.01925549,279
0.23601873,0.12025663,0.64372456,280
0.82356167,0.13923402,0.037204333,281
0.31250986,0.15020113,0.53728896,282
0.7902832,0.15735982,0.05235698,283
0.9522228,0.04426431,0.0035128687,284
0.6737885,0.19786592,0.12834556,285
0.053733382,0.9429349,0.0033317069,286
0.04986265,0.030439744,0.9196977,287
0.428161,0.18557529,0.3862637,288
0.74400645,0.17944577,0.07654779,289
0.21925448,0.7746812,0.00606436,290
0.033327106,0.020538855,0.94613403,291
0.056659885,0.940591,0.0027490829,292
0.19947365,0.7948424,0.0056839506,293
0.33251923,0.15679142,0.5106893,294
0.034043964,0.02094629,0.94500977,295
0.5201975,0.47080132,0.009001127,296
0.882198,0.10178248,0.016019486,297
0.23407155,0.75969154,0.0062369085,298
0.41009656,0.18029876,0.4096047,299
0.2735816,0.13483278,0.5915856,300
0.23058045,0.11761294,0.6518065,301
0.92256045,0.0727445,0.004695111,302
0.2893457,0.7035907,0.007063503,303
0.54079765,0.20518921,0.25401303,304
0.24397063,0.12314982,0.63287956,305
0.52626145,0.2026837,0.2710548,306
0.043425556,0.9543404,0.0022340636,307
0.6604792,0.33096212,0.0085586645,308
0.8430148,0.15057948,0.006405791,309
0.5471034,0.2054741,0.24742252,310
0.043814052,0.9536867,0.0024992255,311
0.57579994,0.20593877,0.21826129,312
0.40793788,0.18101071,0.41105145,314
0.121574156,0.08785633,0.7905695,315
0.27562022,0.24411166,0.48026815,316
0.2065886,0.787432,0.005979283,317
0.43445742,0.55641586,0.009126691,319
0.6566548,0.33450127,0.008843969,320
0.8018268,0.15191643,0.046256814,321
0.71243525,0.18933503,0.098229766,322
0.062560655,0.041043293,0.89639604,323
0.76876646,0.16831338,0.06292024,324
0.24015513,0.20018318,0.5596617,325
0.038219675,0.023519302,0.93826103,326
0.92937565,0.06601802,0.0046062805,327
0.06866086,0.047399584,0.8839395,328
0.33284497,0.15770264,0.50945246,329
0.042445,0.95544714,0.0021077895,330
0.68669415,0.1970115,0.116294354,331
0.4769833,0.19608723,0.32692945,332
0.04697612,0.95026106,0.0027628124,333
0.18489018,0.14538494,0.669725,334
0.05640163,0.9400036,0.0035947345,335
0.06027241,0.93577904,0.003948589,336
0.16154478,0.12318099,0.7152742,337
0.09112768,0.90551317,0.0033590659,338
0.064589806,0.9311489,0.004261257,339
0.21622059,0.7777196,0.0060598385,340
0.073065765,0.92183286,0.005101351,341
0.047931883,0.9492061,0.0028619992,342
0.04525624,0.952138,0.0026057127,343
0.23436496,0.19517308,0.570462,344
0.07454042,0.05072885,0.8747307,345
0.084296316,0.058628008,0.85707575,346
0.68277,0.1988212,0.118408784,347
0.25310835,0.21592057,0.5309711,348
0.35918018,0.16869472,0.47212508,349
0.088039935,0.06066058,0.85129946,350
0.0754887,0.04463392,0.87987745,351
