cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,GHS_urban_area_id
0.047139686,0.008738916,0.017470947,0.01619325,3.182598e-05,0.020589584,0.0039462117,0.8849423,0.00094725407,1.0
0.11436472,0.04378374,0.43893573,0.06101614,8.595254e-05,0.23229142,0.0075351014,0.09947681,0.002510405,2.0
0.011195356,0.9106118,0.03167873,0.0087552555,6.112591e-05,0.0147780245,0.0056344676,0.014534561,0.0027507318,3.0
0.041614607,0.68618566,0.08316031,0.03197891,0.0003074133,0.047706973,0.032790802,0.058435015,0.017820304,4.0
0.056456923,0.3527689,0.36453894,0.044637274,0.00017588769,0.09812504,0.0144589,0.06274431,0.0060938066,5.0
0.015085042,0.87261665,0.051468257,0.011699402,6.6618624e-05,0.021038044,0.006062383,0.019211324,0.0027522729,6.0
0.2040567,0.016526356,0.040697522,0.04875583,6.302396e-05,0.057411775,0.0065779276,0.6241284,0.0017824094,7.0
0.76335454,0.008032302,0.025517996,0.064721964,3.542484e-05,0.055127352,0.0029946745,0.0793024,0.000913299,8.0
0.80530727,0.006053879,0.02011431,0.07389444,2.7848595e-05,0.04879121,0.0021838478,0.04292584,0.0007013074,9.0
0.8026852,0.00630384,0.020738693,0.06580101,2.8557057e-05,0.04898339,0.0023305884,0.05240438,0.00072435016,10.0
0.29598,0.017565839,0.047064546,0.06112204,6.8432826e-05,0.07257345,0.0068856035,0.49684864,0.0018914368,11.0
0.11440407,0.012336354,0.029002668,0.031311583,4.6286495e-05,0.038826037,0.0051153717,0.76763374,0.0013239355,12.0
0.054171734,0.008418343,0.018033385,0.017453732,3.099242e-05,0.022282384,0.0037045672,0.87499887,0.00090597564,13.0
0.11953392,0.0063874815,0.023642419,0.74384874,3.41167e-05,0.08084288,0.0022198877,0.02270508,0.0007854437,14.0
0.067217946,0.004814163,0.016045557,0.8462006,2.9250992e-05,0.047445565,0.0017935935,0.015806498,0.00064684416,15.0
0.5507552,0.015669389,0.046491798,0.076214366,6.279409e-05,0.08202348,0.0057068565,0.22138327,0.0016929441,16.0
0.8107552,0.006207719,0.020313876,0.0629626,2.7940396e-05,0.046936832,0.0022577462,0.04982666,0.00071142026,17.0
0.73299277,0.007052853,0.024184477,0.123948716,3.3560118e-05,0.06492517,0.0025459817,0.04348775,0.00082870544,18.0
0.6107881,0.01386463,0.053844586,0.09396508,5.0732866e-05,0.11918153,0.0042381026,0.102715485,0.0013516828,19.0
