cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,GHS_urban_area_id
0.018338095,0.0013878918,0.9309472,0.04932684,1.0
0.102826044,0.0026543,0.1861051,0.70841455,2.0
0.9334562,0.0004186638,0.008034696,0.058090433,3.0
0.0565635,0.00082994375,0.036591973,0.9060146,4.0
0.95843476,0.00034153165,0.005999736,0.035223983,5.0
0.95382637,0.00039643978,0.0068394733,0.038937703,6.0
0.104728535,0.002475534,0.16766483,0.7251311,7.0
0.10224292,0.00381003,0.45528296,0.43866408,8.0
0.112710364,0.0028392205,0.20943294,0.6750175,9.0
0.051158033,0.0028478908,0.7835936,0.16240048,10.0
0.06291141,0.013698234,0.8104477,0.11294272,11.0
0.03748413,0.0061789188,0.8834976,0.072839335,12.0
0.09617819,0.03153939,0.7116118,0.16067065,13.0
0.24504474,0.0011427312,0.0301774,0.72363514,14.0
0.10761354,0.0031336865,0.2475548,0.64169806,15.0
0.05164096,0.0028547093,0.7863881,0.15911613,16.0
0.060757633,0.000609436,0.023080649,0.91555226,17.0
0.09639506,0.0022561955,0.14513916,0.75620955,18.0
0.11084598,0.0031915766,0.2608013,0.6251612,19.0
0.07728973,0.019966597,0.76824665,0.13449709,20.0
0.106634475,0.0026937618,0.19423564,0.6964361,21.0
0.014900359,0.0018164726,0.9511514,0.03213184,22.0
0.058181677,0.00059022906,0.022323143,0.9189049,23.0
0.072593234,0.0005552069,0.017380463,0.90947104,24.0
0.94944316,0.00045354213,0.007833047,0.042270243,25.0
0.06951048,0.0011979054,0.0601966,0.8690951,26.0
0.10999614,0.5032337,0.2455953,0.14117494,27.0
0.06763163,0.00056908705,0.019137083,0.91266227,28.0
0.7288852,0.0010429989,0.023037242,0.24703462,29.0
0.10556236,0.0037663886,0.39398363,0.4966876,30.0
0.124461375,0.0008225179,0.025602924,0.8491132,31.0
0.10708064,0.0031065189,0.24387674,0.6459361,32.0
0.101545714,0.0023491057,0.15338187,0.7427233,33.0
0.036855742,0.0058447383,0.88359165,0.073707856,34.0
0.021892462,0.0029676766,0.9300861,0.0450538,35.0
0.68017787,0.0011482429,0.025495341,0.2931785,36.0
0.063850254,0.014123212,0.80579484,0.11623174,37.0
