GHS_urban_area_id,most_probable_cluster,assignment_probability,uncertainty_score,similarity
1,1,1.0,0.0,0.28582323
2,1,1.0,0.0,0.3034053
3,2,1.0,0.0,0.23716906
4,1,1.0,0.0,0.26805502
5,1,1.0,0.0,0.28604105
6,2,1.0,0.0,0.20069668
7,1,1.0,0.0,0.22367476
8,0,1.0,0.0,0.2559787
9,0,1.0,0.0,0.26256967
10,0,1.0,0.0,0.27793923
11,0,1.0,0.0,0.36625543
12,0,1.0,0.0,0.33694938
13,0,1.0,0.0,0.40886033
14,0,1.0,0.0,0.23411436
15,0,1.0,0.0,0.29041997
16,1,1.0,0.0,0.4153239
17,0,1.0,0.0,0.22600277
18,0,1.0,0.0,0.25799745
19,1,1.0,0.0,0.33504456
20,0,1.0,0.0,0.3258781
21,0,1.0,0.0,0.5148039
22,0,1.0,0.0,0.33424625
23,1,1.0,0.0,0.3225707
24,0,1.0,0.0,0.26259443
25,1,1.0,0.0,0.2504232
26,0,1.0,0.0,0.29240918
27,1,1.0,0.0,0.3316762
28,1,1.0,0.0,0.30981553
29,1,1.0,0.0,0.30056405
30,0,1.0,0.0,0.30241364
31,1,1.0,0.0,0.30210033
32,0,1.0,0.0,0.31754678
33,1,1.0,0.0,0.28479803
34,0,1.0,0.0,0.29340047
35,0,1.0,0.0,0.29679257
36,1,1.0,0.0,0.24395728
37,0,1.0,0.0,0.3770982
38,0,1.0,0.0,0.27417982
39,2,1.0,0.0,0.5485861
40,1,1.0,0.0,0.3881902
41,0,1.0,0.0,0.31780207
42,1,1.0,0.0,0.30080497
43,0,1.0,0.0,0.3209991
44,1,1.0,0.0,0.23603667
45,1,1.0,0.0,0.4296117
46,0,1.0,0.0,0.2654317
47,1,1.0,0.0,0.46391633
48,2,1.0,0.0,0.19948953
49,1,1.0,0.0,0.37553796
50,1,1.0,0.0,0.5327762
52,0,1.0,0.0,0.292569
53,2,1.0,0.0,0.19531018
54,2,1.0,0.0,0.23117708
55,0,1.0,0.0,0.32826108
56,2,1.0,0.0,0.20622623
57,0,1.0,0.0,0.24538532
58,0,1.0,0.0,0.3140168
59,2,1.0,0.0,0.22512512
60,0,1.0,0.0,0.299995
61,0,1.0,0.0,0.279896
62,0,1.0,0.0,0.23850322
63,2,1.0,0.0,0.19038561
64,0,1.0,0.0,0.2732958
65,2,1.0,0.0,0.18731739
66,2,1.0,0.0,0.21671367
67,2,1.0,0.0,0.19000599
68,2,1.0,0.0,0.23444436
69,2,1.0,0.0,0.2103821
70,2,1.0,0.0,0.25844505
71,0,1.0,0.0,0.3222695
72,2,1.0,0.0,0.19126128
73,2,1.0,0.0,0.19927357
74,1,1.0,0.0,0.2590052
75,2,1.0,0.0,0.18778005
76,2,1.0,0.0,0.4031785
77,0,1.0,0.0,0.39387667
78,0,1.0,0.0,0.42419907
79,2,1.0,0.0,0.18287452
80,2,1.0,0.0,0.18515128
81,1,1.0,0.0,0.3227023
82,2,1.0,0.0,0.21042971
83,2,1.0,0.0,0.21675642
84,2,1.0,0.0,0.3803869
85,0,1.0,0.0,0.3616109
86,0,1.0,0.0,0.28186655
87,2,1.0,0.0,0.2072715
88,2,1.0,0.0,0.1828044
89,2,1.0,0.0,0.20664646
90,1,1.0,0.0,0.3377335
91,1,1.0,0.0,0.25180805
92,0,1.0,0.0,0.29510725
93,2,1.0,0.0,0.19098267
94,2,1.0,0.0,0.19471565
95,2,1.0,0.0,0.20245847
96,0,1.0,0.0,0.3452138
97,1,1.0,0.0,0.24304049
98,2,1.0,0.0,0.22270964
99,2,1.0,0.0,0.17865096
100,1,1.0,0.0,0.32896942
101,1,1.0,0.0,0.25680187
102,2,1.0,0.0,0.20201917
103,2,1.0,0.0,0.24902721
104,2,1.0,0.0,0.19085178
105,2,1.0,0.0,0.18874869
106,2,1.0,0.0,0.2195566
107,2,1.0,0.0,0.22706154
108,1,1.0,0.0,0.31122714
109,2,1.0,0.0,0.18681493
110,1,1.0,0.0,0.25105828
111,0,1.0,0.0,0.30851927
112,2,1.0,0.0,0.19145255
113,0,1.0,0.0,0.24330734
114,1,1.0,0.0,0.27318805
115,1,1.0,0.0,0.2904817
116,1,1.0,0.0,0.29795086
117,0,1.0,0.0,0.3711179
118,0,1.0,0.0,0.48521787
119,2,1.0,0.0,0.228398
120,2,1.0,0.0,0.62772846
121,1,1.0,0.0,0.33916235
122,0,1.0,0.0,0.33346915
123,1,1.0,0.0,0.25900337
124,1,1.0,0.0,0.29484648
125,1,1.0,0.0,0.59759283
126,0,1.0,0.0,0.30016002
127,1,1.0,0.0,0.30596575
128,1,1.0,0.0,0.2744214
129,1,1.0,0.0,0.36368778
130,1,1.0,0.0,0.27990553
131,1,1.0,0.0,0.2766181
133,1,1.0,0.0,0.30804822
134,2,1.0,0.0,0.2594701
135,1,1.0,0.0,0.24129595
136,2,1.0,0.0,0.24063596
137,0,1.0,0.0,0.3022497
138,0,1.0,0.0,0.32763255
139,2,1.0,0.0,0.22718407
140,2,1.0,0.0,0.24636139
141,2,1.0,0.0,0.21122685
142,2,1.0,0.0,0.22264545
143,2,1.0,0.0,0.22326441
144,0,1.0,0.0,0.30889127
145,1,1.0,0.0,0.38433236
146,0,1.0,0.0,0.45003527
147,0,1.0,0.0,0.2473393
148,0,1.0,0.0,0.34260336
149,1,1.0,0.0,0.31931382
150,1,1.0,0.0,0.31255108
151,1,1.0,0.0,0.22498259
152,2,1.0,0.0,0.31522274
153,2,1.0,0.0,0.30528682
154,1,1.0,0.0,0.2305454
155,2,1.0,0.0,0.29213956
156,2,1.0,0.0,0.32532275
157,1,1.0,0.0,0.26711443
158,2,1.0,0.0,0.29040807
159,1,1.0,0.0,0.27477953
160,2,1.0,0.0,0.2406921
161,0,1.0,0.0,0.30674955
162,2,1.0,0.0,0.23717725
163,2,1.0,0.0,0.23387036
164,2,1.0,0.0,0.28176522
165,2,1.0,0.0,0.606039
166,2,1.0,0.0,0.38532904
167,0,1.0,0.0,0.21810281
168,2,1.0,0.0,0.21869723
169,0,1.0,0.0,0.22797339
170,1,1.0,0.0,0.4115814
171,1,1.0,0.0,0.32758605
172,0,1.0,0.0,0.42029002
173,0,1.0,0.0,0.28322098
174,0,1.0,0.0,0.2637987
175,0,1.0,0.0,0.28090724
176,1,1.0,0.0,0.34194094
177,2,1.0,0.0,0.40824136
178,2,1.0,0.0,0.38858375
179,2,1.0,0.0,0.23070449
180,2,1.0,0.0,0.2062715
181,2,1.0,0.0,0.20326482
182,2,1.0,0.0,0.26323953
183,2,1.0,0.0,0.3213936
184,2,1.0,0.0,0.21602385
185,0,1.0,0.0,0.30038294
186,1,1.0,0.0,0.32140243
187,2,1.0,0.0,0.18737948
189,1,1.0,0.0,0.49581778
190,1,1.0,0.0,0.2846903
191,1,1.0,0.0,0.30271828
192,0,1.0,0.0,0.35436305
193,2,1.0,0.0,0.24494432
194,1,1.0,0.0,0.2612062
195,2,1.0,0.0,0.20703231
196,0,1.0,0.0,0.25474697
197,0,1.0,0.0,0.2639903
198,0,1.0,0.0,0.36072958
199,0,1.0,0.0,0.25295225
200,0,1.0,0.0,0.3106333
201,0,1.0,0.0,0.28956142
202,0,1.0,0.0,0.2885967
203,2,1.0,0.0,0.31758982
204,0,1.0,0.0,0.35007495
205,0,1.0,0.0,0.24008848
206,0,1.0,0.0,0.2663622
207,0,1.0,0.0,0.49532998
208,0,1.0,0.0,0.31010768
209,0,1.0,0.0,0.29167837
210,2,1.0,0.0,0.21045567
211,0,1.0,0.0,0.34094813
212,2,1.0,0.0,0.29647094
213,1,1.0,0.0,0.33097488
214,2,1.0,0.0,0.2654376
215,0,1.0,0.0,0.31009623
216,1,1.0,0.0,0.28617778
217,1,1.0,0.0,0.30028266
218,1,1.0,0.0,0.24514048
219,2,1.0,0.0,0.5964903
220,0,1.0,0.0,0.30810484
221,1,1.0,0.0,0.38610968
222,1,1.0,0.0,0.3723683
223,1,1.0,0.0,0.30280682
224,0,1.0,0.0,0.29500026
225,0,1.0,0.0,0.26318488
226,1,1.0,0.0,0.3098716
227,0,1.0,0.0,0.40056682
228,0,1.0,0.0,0.5771375
229,0,1.0,0.0,0.31945905
230,0,1.0,0.0,0.32177216
231,2,1.0,0.0,0.28106898
232,0,1.0,0.0,0.28538883
233,2,1.0,0.0,0.2729641
234,0,1.0,0.0,0.2987121
235,2,1.0,0.0,0.20849249
236,2,1.0,0.0,0.20217755
237,0,1.0,0.0,0.23715091
238,1,1.0,0.0,0.30588806
239,0,1.0,0.0,0.27930817
240,0,1.0,0.0,0.22538005
241,0,1.0,0.0,0.2748167
242,2,1.0,0.0,0.18693075
243,0,1.0,0.0,0.24886309
244,2,1.0,0.0,0.26667914
245,2,1.0,0.0,0.20640121
246,2,1.0,0.0,0.19244641
247,2,1.0,0.0,0.2073776
248,2,1.0,0.0,0.20796317
249,2,1.0,0.0,0.18806805
250,1,1.0,0.0,0.2634673
251,2,1.0,0.0,0.20961006
252,2,1.0,0.0,0.19494827
253,0,1.0,0.0,0.4686494
