cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,GHS_urban_area_id
0.109758705,0.0016698013,0.06827314,0.000100842786,0.8026473,0.017550169,1
0.105426,0.0010567025,0.06478047,6.0965023e-05,0.81564945,0.013026398,2
0.11328779,0.037133977,0.12911074,0.0009395326,0.074024476,0.64550346,3
0.3727736,0.0015189116,0.115567245,8.218147e-05,0.48668334,0.023374721,4
0.072907254,0.00889865,0.10382146,0.00030100788,0.043612428,0.7704592,5
0.10262864,0.0013164048,0.8050114,6.473029e-05,0.059718966,0.031259835,6
0.39461342,0.0018823065,0.28857034,9.8744305e-05,0.28135666,0.03347856,7
0.7041612,0.0012702731,0.08268481,6.646902e-05,0.18980405,0.022013225,8
0.186082,0.0011664149,0.06633237,6.550451e-05,0.73080504,0.015548678,9
0.74005765,0.0020007624,0.1103236,9.6054006e-05,0.09762697,0.049894962,10
0.5385261,0.004165082,0.19062528,0.00018696858,0.11906745,0.14742914,11
0.79758495,0.001145936,0.07811696,5.7384525e-05,0.09952419,0.023570593,12
0.111897044,0.0009849126,0.04948524,5.6844005e-05,0.8255513,0.01202474,13
0.4401467,0.0039973096,0.28022867,0.00017948619,0.11244979,0.16299804,14
0.11703366,0.039078735,0.12437065,0.0009638593,0.07524774,0.6433054,15
0.35239312,0.0058349627,0.21178307,0.0002466828,0.10814637,0.32159582,16
0.21161027,0.001349354,0.069909595,7.648308e-05,0.69935274,0.017701536,17
0.49916404,0.004076023,0.22442994,0.00018303058,0.115092196,0.15705483,18
0.038557976,0.0035065324,0.03822456,0.00011758118,0.01981589,0.89977753,19
0.78896964,0.0011023253,0.07490429,5.5987974e-05,0.1135926,0.021375151,20
0.1237712,0.005320698,0.17897153,0.00021065415,0.05830845,0.6334175,21
0.06533376,0.0044086785,0.058985397,0.00015625144,0.03096296,0.8401529,22
0.11657725,0.036889475,0.12119567,0.00091911556,0.074076906,0.6503416,23
0.66972625,0.0017849316,0.17668171,8.672968e-05,0.10631615,0.045404244,24
0.09390605,0.0018670299,0.79890925,8.967409e-05,0.05684436,0.048383575,25
0.05747498,0.0038925477,0.052953932,0.00013734036,0.02740431,0.85813695,26
0.15056671,0.10328727,0.15005055,0.0019723882,0.10355443,0.49056867,27
0.070950285,0.003800803,0.06629856,0.00013973504,0.032126144,0.82668453,28
0.23948072,0.0021034696,0.28566426,0.000114999755,0.4409949,0.0316416,29
0.2527687,0.006675823,0.16950105,0.00026746347,0.09115783,0.47962904,30
0.04743253,0.003295943,0.045657665,0.000115648225,0.023000738,0.8804974,31
0.28033206,0.0063490253,0.18630154,0.00026025626,0.09564147,0.43111566,32
0.34215307,0.0014635145,0.0940285,7.990871e-05,0.5407254,0.021549553,33
0.7999546,0.0010907253,0.073104985,5.509158e-05,0.1041758,0.021618845,34
0.3732467,0.005997145,0.20361772,0.00025313543,0.11294375,0.30394152,35
0.10157548,0.0013079393,0.07173417,7.70359e-05,0.8102418,0.015063589,36
0.6603445,0.0013499014,0.09464057,7.0613234e-05,0.22020055,0.023393901,37
0.10107813,0.02649035,0.10959888,0.00070730416,0.06320564,0.6989197,38
0.02363882,0.89175814,0.024260543,0.0017090468,0.019634785,0.03899865,39
0.12486989,0.37090817,0.12959029,0.0036268854,0.09563749,0.2753673,40
0.14088376,0.08861318,0.15394895,0.0017917132,0.097884625,0.5168777,41
0.087281734,0.017499054,0.109323435,0.0005221311,0.054719403,0.7306542,42
0.13383804,0.049288686,0.1312774,0.0011689225,0.08589911,0.5985278,43
0.34240276,0.00295655,0.44784126,0.00013722599,0.107700326,0.09896185,44
0.14703844,0.17428215,0.15628201,0.002714916,0.1072005,0.412482,45
0.798174,0.0010757415,0.071653895,5.461634e-05,0.10817715,0.020864632,46
0.07629284,0.009292505,0.070290856,0.00029117713,0.041141313,0.80269134,47
0.08040768,0.0017245719,0.822992,8.472302e-05,0.05544954,0.039341412,48
0.08637583,0.5879556,0.08842743,0.0036297254,0.068480134,0.16513126,49
0.07307536,0.0064383955,0.06472114,0.00021596374,0.03671197,0.8188371,50
0.72313404,0.0019467736,0.12598482,9.302454e-05,0.09848922,0.05035213,52
0.18433818,0.0050360463,0.4771115,0.00021814495,0.08964849,0.2436477,53
0.086767055,0.0017567353,0.8025806,9.052826e-05,0.0767425,0.032062553,54
0.13066907,0.049032602,0.1309117,0.0011567059,0.08433122,0.6038987,55
0.07201276,0.0012181394,0.84754246,6.1549144e-05,0.05424867,0.024916362,56
0.21204899,0.006568537,0.15071361,0.00025952293,0.08017887,0.5502305,57
0.088681236,0.019973766,0.10366894,0.0005626028,0.055342317,0.7317711,58
0.078252,0.015523423,0.09247141,0.0004486359,0.048097555,0.76520693,59
0.36949006,0.006413186,0.1931716,0.00027047898,0.11274183,0.3179129,60
0.08539234,0.008268287,0.07453721,0.00027591808,0.043572895,0.7879533,61
0.4647209,0.0050886087,0.20288534,0.00022331877,0.11828738,0.20879437,62
0.07328325,0.0011354606,0.8495752,5.7027846e-05,0.051819846,0.024129162,63
0.095464006,0.006415715,0.07845374,0.00022665232,0.04486979,0.7745701,64
0.0754817,0.001134331,0.8482535,5.6420336e-05,0.049743894,0.025330251,65
0.13478404,0.0017163912,0.7078903,9.002212e-05,0.12475317,0.03076613,66
0.07478506,0.0014079465,0.8414384,6.9146976e-05,0.04963575,0.03266373,67
0.14447379,0.19828875,0.15828282,0.0029234628,0.1074099,0.38862124,68
0.09132186,0.0050996183,0.13772385,0.00019356518,0.046753295,0.7189078,69
0.14164159,0.002767103,0.6932237,0.00012772765,0.07357919,0.08866069,70
0.06697077,0.008278533,0.06352888,0.0002604022,0.03626225,0.82469916,71
0.10595051,0.0027563216,0.7517606,0.00013134851,0.06859342,0.07080769,72
0.09214314,0.0012474214,0.8131762,6.356029e-05,0.06806817,0.025301386,73
0.098094486,0.0012046078,0.813195,6.0063598e-05,0.060568456,0.026877439,74
0.15553099,0.006719117,0.34188974,0.00027616677,0.082881674,0.41270232,75
0.11372256,0.028593017,0.111123726,0.0007470982,0.069831066,0.6759825,76
0.41481355,0.005265236,0.2191404,0.0002279208,0.11405588,0.24649704,77
0.22920641,0.0012872248,0.07464487,7.1880575e-05,0.67727345,0.017516136,78
0.103572376,0.0024442459,0.76452714,0.00011619618,0.06439187,0.06494813,79
0.07170703,0.0012378598,0.8476252,6.25084e-05,0.053898733,0.025468692,80
0.068914555,0.010365746,0.08846186,0.00033020807,0.04140026,0.79052734,81
0.11603594,0.0015330195,0.7535989,7.952169e-05,0.1002606,0.028491987,82
0.18556324,0.002342856,0.23642893,0.0001329004,0.5446383,0.030893834,83
0.040148977,0.81489474,0.04183213,0.002986127,0.03345946,0.06667857,84
0.22971131,0.0057047703,0.19947395,0.00023259415,0.083744176,0.48113322,85
0.67667943,0.0020899342,0.16245787,0.00010006696,0.10192068,0.056751996,86
0.0399157,0.0037555422,0.051925633,0.00012912159,0.0220323,0.8822417,87
0.07578531,0.0011750439,0.8425333,5.943273e-05,0.056327544,0.024119403,88
0.09812292,0.0054864315,0.15494809,0.00021032724,0.05076417,0.690468,89
0.14434841,0.11026304,0.16110528,0.0021126978,0.102938004,0.47923255,90
0.21441595,0.0022328577,0.4755282,0.00012049811,0.27196348,0.035739083,91
0.117828734,0.006145921,0.09333479,0.00022633762,0.051909864,0.7305544,92
0.12078004,0.0040504844,0.69302076,0.0001924889,0.084255695,0.09770055,93
0.10206784,0.0014673226,0.78095645,7.5982134e-05,0.088169165,0.0272632,94
0.08592284,0.0012905186,0.8191447,6.617436e-05,0.06840651,0.02516933,95
0.30866706,0.005394304,0.25289828,0.00022826548,0.1007776,0.33203453,96
0.13860902,0.0018157668,0.6912249,9.558074e-05,0.13656676,0.031688046,97
0.19819303,0.0025892379,0.32009736,0.00014523222,0.4435694,0.035405733,98
0.15503243,0.004613636,0.5838211,0.00020588678,0.08595236,0.17037454,99
0.0774351,0.01129914,0.10634333,0.00036736307,0.047387164,0.7571679,100
0.15071711,0.0019379775,0.14761151,0.000111938425,0.67571545,0.023906088,101
0.071372464,0.0012380412,0.84852606,6.247153e-05,0.05318757,0.02561342,102
0.13230224,0.0019509157,0.69531876,0.00010343399,0.13744092,0.032883838,103
0.10414006,0.0012329991,0.8017232,6.1788196e-05,0.06578629,0.027055616,104
0.07068908,0.0012052375,0.8516557,6.0300063e-05,0.05078391,0.025605721,105
0.08305789,0.0014496112,0.8175488,7.455754e-05,0.07052566,0.027343519,106
0.12592259,0.0018533397,0.7129266,9.7796e-05,0.12734294,0.031856697,107
0.20312475,0.0025250907,0.40804908,0.00013891481,0.34917903,0.03698313,108
0.1416779,0.005615394,0.22168197,0.0002234727,0.067115285,0.563686,109
0.07815111,0.0012625151,0.83821565,6.357508e-05,0.05601515,0.026292017,110
0.20168437,0.005738419,0.17501199,0.00023125051,0.076234505,0.5410994,111
0.1747105,0.005850989,0.32562268,0.00024119364,0.08322221,0.4103524,112
0.63061047,0.0013652825,0.11766636,7.141067e-05,0.2260948,0.024191668,113
0.20699146,0.004027877,0.525653,0.0001798513,0.09054597,0.17260182,114
0.12522672,0.05171744,0.14111306,0.0012159535,0.08396077,0.59676605,115
0.093994625,0.0014341644,0.79717714,7.393905e-05,0.0804451,0.026874958,116
0.2345687,0.0045594038,0.44239217,0.00019987219,0.09497367,0.22330621,117
0.081535585,0.013534301,0.082303554,0.0004060081,0.046812378,0.7754082,118
0.11336818,0.037626524,0.1285517,0.00093826925,0.074137114,0.64537823,119
0.27286237,0.0015409703,0.09467005,8.5535445e-05,0.6093232,0.02151785,120
0.10245092,0.0009895477,0.05068329,5.7148773e-05,0.8338842,0.011934908,121
0.2663253,0.0017487871,0.19454217,9.589032e-05,0.5108578,0.026429974,122
0.026419234,0.0021387506,0.030749768,7.4294825e-05,0.013748138,0.9268698,123
0.31027243,0.0062987856,0.19798131,0.0002595637,0.10244996,0.38273796,124
0.11524747,0.0010209162,0.052803565,5.8948e-05,0.81835663,0.012512419,125
0.033712555,0.0025834956,0.034031264,8.9550456e-05,0.01678335,0.9127997,126
0.11728318,0.041168816,0.13430777,0.0010231414,0.0774188,0.62879825,127
0.06896156,0.01188901,0.08326361,0.00035930675,0.041673716,0.79385275,128
0.21555413,0.0052997386,0.35448733,0.00022341337,0.09096872,0.33346668,129
0.11066121,0.0012644558,0.79245853,6.315816e-05,0.06758901,0.027963718,130
0.09888319,0.025929194,0.11422036,0.0006989967,0.06293864,0.6973297,131
0.036571838,0.0023778677,0.04066143,8.54534e-05,0.017888196,0.9024152,133
0.13386928,0.30247638,0.14199896,0.0033897776,0.10163523,0.31663036,134
0.22866401,0.0012704147,0.0797074,7.046862e-05,0.67264414,0.017643536,135
0.097816266,0.0010358613,0.057884898,6.0061142e-05,0.83071965,0.012483245,136
0.10595945,0.0060992525,0.08740671,0.00022309764,0.047816057,0.7524954,137
0.12987079,0.05932673,0.14554691,0.0013480034,0.0878816,0.57602596,138
0.10039013,0.001378555,0.7895721,7.115106e-05,0.082318276,0.026269719,139
0.0713251,0.0013484397,0.846084,6.731445e-05,0.05272921,0.028445976,140
0.15129648,0.0017243321,0.72869474,8.332684e-05,0.071942754,0.046258442,141
