cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,cluster_11_prob,GHS_urban_area_id
0.03895541,0.091392234,0.034712512,0.0455865,0.2669871,0.028326457,0.0069876355,0.060111515,0.31704697,0.07840137,0.029368987,0.0021232928,1
0.039690442,0.09816687,0.035283383,0.046254616,0.2832839,0.028816754,0.0071789944,0.0615991,0.28858382,0.07914651,0.029840264,0.0021553251,2
0.0006476866,0.002253704,0.00062128465,0.00066987256,0.0010031695,0.00058448175,0.99003464,0.00074067706,0.0013140963,0.00076239585,0.00058713305,0.0007808732,3
0.03507202,0.4324514,0.03291692,0.0370534,0.072764985,0.029946137,0.114326335,0.043290157,0.113642715,0.045673847,0.030223338,0.0126387365,4
0.0026620063,0.9584895,0.0024310884,0.0028550678,0.007918834,0.0021402426,0.0020518224,0.0035803507,0.011473527,0.0038242184,0.002172578,0.00040069481,5
0.0044943704,0.013944747,0.00432825,0.0046440447,0.006737951,0.0040881773,0.93189114,0.0050900397,0.008715839,0.005239415,0.004102888,0.0067230393,6
0.09826349,0.0019204216,0.090169676,0.49360687,0.01321001,0.037637677,0.00038166344,0.09250993,0.0032621978,0.12704797,0.041841183,0.00014888639,7
0.04904101,0.0007090507,0.66124284,0.09362842,0.003455856,0.097331725,0.00015951478,0.015754154,0.0011108742,0.014303638,0.06319842,6.452546e-05,8
0.05341873,0.0012157429,0.080656625,0.6897014,0.007617248,0.03047053,0.00024860553,0.038897477,0.0020804487,0.065260135,0.030334909,9.816771e-05,9
0.07307206,0.0010909772,0.22278762,0.52566725,0.0060419235,0.05452104,0.00023340095,0.031420343,0.0017756162,0.033697702,0.049598888,9.309331e-05,10
0.02087044,0.11971539,0.019355226,0.02360674,0.06536724,0.016638197,0.009503634,0.027903538,0.64296824,0.03424369,0.017119637,0.0027079922,11
0.022241047,0.05367624,0.020291217,0.026205687,0.1012644,0.016770551,0.0048150807,0.032082155,0.6604367,0.043291394,0.017402286,0.0015231962,12
0.035385653,0.3300967,0.03324009,0.03872582,0.084218115,0.029522542,0.04046563,0.044648517,0.27337688,0.051045313,0.030115727,0.009159022,13
0.029062131,0.00080658327,0.10863938,0.030331468,0.003231599,0.7190137,0.0001974957,0.011034029,0.0012003104,0.009616707,0.0867846,8.198238e-05,14
0.054653767,0.012335331,0.04669901,0.08124459,0.2543419,0.032226685,0.0018068075,0.11843366,0.026296282,0.33743873,0.03387766,0.0006456222,15
0.034165874,0.18517253,0.032512955,0.035931055,0.060562074,0.03001772,0.38595045,0.04037713,0.09702405,0.042778328,0.030313421,0.025194373,16
0.027854057,0.00067506795,0.10191075,0.026487593,0.00273918,0.724135,0.00016461841,0.009768602,0.0010062134,0.00822854,0.09696205,6.8292684e-05,17
0.047195606,0.0008223972,0.44018328,0.058535118,0.0036923566,0.31579706,0.00019147481,0.015116457,0.0012568047,0.01303358,0.10409761,7.820176e-05,18
0.023038961,0.6426664,0.021420045,0.024545055,0.054567415,0.01922355,0.037957393,0.029351598,0.09067615,0.031313945,0.019456187,0.005783273,19
