cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,cluster_11_prob,cluster_12_prob,cluster_13_prob,GHS_urban_area_id
0.05795372,0.06011531,0.0043063094,0.057910934,3.5428526e-05,0.026099611,0.3029317,0.07210046,0.017177748,0.00079142256,0.3202708,0.0025403355,0.029244035,0.04852218,1
0.03388075,0.21736012,0.0044087176,0.045036703,4.501486e-05,0.05026405,0.1107377,0.2115703,0.02308946,0.0009263747,0.20856062,0.0031261924,0.021827396,0.06916658,2
0.011697884,0.009035828,0.015872233,0.015903298,0.00022710818,0.0071519585,0.012085332,0.012602137,0.02372048,0.007139631,0.009824113,0.8527047,0.014347981,0.0076872767,3
0.023632726,0.019804038,0.0069592358,0.07936867,5.5549328e-05,0.011018533,0.038924146,0.057629917,0.69025034,0.0013408028,0.023279488,0.007913814,0.027035698,0.012787064,4
0.039457053,0.059668947,0.009234696,0.10834697,9.151421e-05,0.028171575,0.08284004,0.28127855,0.25359538,0.0019823422,0.057620518,0.009742589,0.036910564,0.031059222,5
0.048867106,0.037193757,0.029426087,0.10357697,0.00023930917,0.024551217,0.06044961,0.07248483,0.41853452,0.006287659,0.041852407,0.06639836,0.06279291,0.027345296,6
0.016670827,0.15810938,0.0029179356,0.014515066,3.868798e-05,0.3582274,0.028343998,0.03111148,0.008780075,0.00071040966,0.07082315,0.0019456384,0.010383143,0.2974227,7
0.08054475,0.032263484,0.0054533132,0.24311765,3.8964874e-05,0.015656866,0.3677477,0.07616934,0.030935818,0.0009317409,0.0771779,0.0034191124,0.042274382,0.024269039,8
0.036868956,0.0747978,0.0031854562,0.02886765,2.9737985e-05,0.033848025,0.103932016,0.04563953,0.010851959,0.0006328763,0.55797184,0.0018884196,0.017296337,0.08418944,9
0.07928853,0.019032184,0.005744475,0.5614774,3.5437555e-05,0.010388887,0.14210923,0.041913003,0.031160522,0.0009004646,0.03945166,0.0034639298,0.049603608,0.015430675,10
0.3308242,0.026305018,0.0064142807,0.11210192,4.0827665e-05,0.01565206,0.28046125,0.036432937,0.018260036,0.0010126972,0.083044425,0.0031523462,0.058202602,0.028095335,11
0.2177982,0.037883088,0.006329613,0.079126865,4.5054883e-05,0.022458775,0.3195478,0.043192096,0.017581655,0.0010694372,0.15823732,0.0031803527,0.048317924,0.04523183,12
0.5038551,0.020120192,0.010908609,0.082196526,5.201559e-05,0.01398984,0.101519056,0.02551603,0.017678436,0.0014127091,0.050088074,0.004010253,0.14525828,0.023394797,13
0.05014955,0.051637072,0.008403142,0.19519494,6.937708e-05,0.023664854,0.1300082,0.2502143,0.14008029,0.001593264,0.067300245,0.007135263,0.04516569,0.02938387,14
0.06124875,0.04494438,0.0068655717,0.26403898,5.2803272e-05,0.020387182,0.21555796,0.16640434,0.06323552,0.0012350378,0.0779558,0.00498439,0.04487322,0.028216064,15
0.05403051,0.041293584,0.037321083,0.10463381,0.0003223946,0.02813195,0.06425074,0.07542915,0.32753882,0.008585268,0.04590362,0.113135,0.06834135,0.031082781,16
0.04589552,0.06413589,0.0035009976,0.03330894,3.1467105e-05,0.031073986,0.13091092,0.04520047,0.011582936,0.00068028516,0.53523684,0.0020239418,0.01988998,0.07652783,17
0.040293187,0.036014803,0.009363107,0.15347311,7.665152e-05,0.01867715,0.076361716,0.12683323,0.42090496,0.0018052596,0.0432472,0.009467162,0.0413235,0.022159023,18
0.05346554,0.043044332,0.037828874,0.10024621,0.00035592372,0.029604213,0.06396276,0.07712955,0.30851838,0.009248378,0.04680008,0.13077082,0.06674774,0.032277178,19
0.44742483,0.02769419,0.0070065674,0.076531634,4.51857e-05,0.017902702,0.18846561,0.032377902,0.016212221,0.00111547,0.09096359,0.003221002,0.05675397,0.034285124,20
0.027596885,0.032723643,0.009112497,0.06961005,9.341784e-05,0.018286243,0.04550627,0.09254947,0.60925114,0.002064186,0.032211557,0.012663876,0.028646559,0.01968415,21
0.064907,0.020598637,0.005555557,0.5617368,3.5772227e-05,0.010864302,0.14345665,0.050326068,0.036218926,0.00089537323,0.040888205,0.0035437187,0.045180004,0.015792951,22
0.03464401,0.027170703,0.036222816,0.053384043,0.00040698342,0.020310888,0.037803046,0.041722838,0.1007686,0.0114713255,0.02945932,0.5415814,0.043142393,0.021911677,23
0.041636147,0.056632917,0.008747422,0.127577,8.094046e-05,0.026158458,0.0939095,0.2934105,0.2127456,0.0017924462,0.060032487,0.008531576,0.03872517,0.030019745,24
0.029433979,0.06546601,0.0058120866,0.07005166,5.9726313e-05,0.026163418,0.07283783,0.5304009,0.0825031,0.0012551139,0.056852788,0.005449528,0.024971664,0.028742211,25
0.045641817,0.038505703,0.025722213,0.09532391,0.00024070837,0.025253512,0.058310576,0.07590481,0.44340664,0.0059765857,0.041527703,0.06143989,0.05512657,0.027619392,26
0.07509537,0.013711861,0.01900664,0.059522346,5.6029625e-05,0.009843346,0.044980157,0.019144703,0.019541532,0.0017206899,0.025718283,0.0052368892,0.692433,0.013989144,27
0.024568686,0.019377185,0.02753549,0.036483277,0.00033431363,0.014734645,0.026467633,0.02888903,0.064333774,0.009541483,0.020939345,0.68050104,0.030460129,0.01583393,28
0.026051922,0.21606418,0.0044732685,0.04014861,5.1132814e-05,0.04982084,0.06858224,0.39614677,0.029710736,0.0010104465,0.094199754,0.0036472683,0.018907396,0.05118543,29
0.043769274,0.035243977,0.024254736,0.09523902,0.00020860191,0.022906026,0.056022916,0.07094588,0.47517636,0.005300642,0.03893637,0.05197904,0.054681823,0.025335392,30
0.016292447,0.01274871,0.022298781,0.021894874,0.00034349426,0.0101609025,0.016833175,0.01758338,0.03223842,0.010669098,0.013795107,0.79435277,0.019909881,0.010878995,31
0.0373271,0.03231338,0.0187283,0.083604515,0.00017109733,0.020566963,0.049871914,0.067956395,0.5455236,0.0041859853,0.034857884,0.037358966,0.04497635,0.022557577,32
0.06892365,0.026208606,0.012977659,0.43925205,7.311139e-05,0.015149854,0.09547018,0.061971676,0.120511435,0.0019523229,0.04161389,0.00926328,0.08664079,0.01999147,33
0.12503234,0.027283816,0.005524405,0.2052356,3.724518e-05,0.014361428,0.39911994,0.05084178,0.023700364,0.00090865325,0.07432225,0.003150569,0.04688269,0.023598973,34
0.06737245,0.046317138,0.0041569183,0.06487913,3.302206e-05,0.021265656,0.41856542,0.061691426,0.016476203,0.0007498336,0.22694348,0.0024190166,0.02939752,0.03973281,35
0.02204441,0.45908573,0.0037068306,0.028500821,4.412725e-05,0.06883277,0.054215506,0.15782657,0.019331753,0.000852882,0.10072366,0.002860101,0.015220215,0.06675465,36
0.09117444,0.019862853,0.009054739,0.50826555,4.730668e-05,0.011589698,0.112510815,0.040561955,0.04152228,0.001266636,0.038746245,0.0049969167,0.10378849,0.016612103,37
