cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,cluster_11_prob,cluster_12_prob,cluster_13_prob,cluster_14_prob,GHS_urban_area_id
0.044984903,0.13051881,0.045881398,0.22010176,0.00067789084,0.34921873,0.0098885475,0.030496655,0.00015238945,0.023308998,0.003103183,0.0026919225,0.09478898,0.015518735,0.028667068,1
0.050735418,0.29952377,0.07314401,0.03201615,0.00035881173,0.17478703,0.0038895821,0.035215877,7.968847e-05,0.024352502,0.0016564532,0.0011973564,0.25604618,0.009709461,0.037287675,2
0.032087546,0.04017825,0.03474902,0.03778112,0.19455878,0.03637609,0.049293444,0.041817907,0.0063120336,0.031054428,0.3264803,0.02999577,0.036075175,0.06799536,0.035244763,3
0.031868286,0.056531653,0.03985746,0.03752733,0.0054025357,0.040555377,0.02933314,0.06623338,0.00078525074,0.030016614,0.06460254,0.008704387,0.042900637,0.50421405,0.041467343,4
0.013697814,0.028167728,0.018625554,0.014607202,0.0015481025,0.017302582,0.009605023,0.039876577,0.00025370347,0.013201829,0.01312721,0.0027735971,0.019747986,0.78702474,0.02044038,5
0.017478507,0.022904161,0.019213773,0.021065315,0.033511277,0.020296002,0.026903141,0.023954112,0.0020560564,0.016771384,0.69735235,0.013790127,0.020122182,0.045092896,0.019488748,6
0.24347186,0.04740145,0.2567235,0.013208205,0.00030380022,0.044683006,0.002444885,0.028499879,6.9135334e-05,0.094938025,0.0012949042,0.000921406,0.16863191,0.0062942416,0.09111384,7
0.048155226,0.0809315,0.041346446,0.04676668,0.0003110525,0.59524244,0.0035799944,0.017760508,7.0707865e-05,0.018720638,0.0013737207,0.0011539789,0.116392866,0.006709207,0.02148506,8
0.044140603,0.07887171,0.03866294,0.32367212,0.0006218552,0.34368667,0.009014427,0.022797015,0.00014253795,0.021561498,0.0027331682,0.0026205776,0.075632334,0.012063637,0.023778873,9
0.041167457,0.078117445,0.035537682,0.09100775,0.00038662937,0.59730476,0.0048554284,0.018379996,8.7999295e-05,0.017851451,0.0017109159,0.0015172831,0.08362235,0.008093354,0.020359574,10
0.04069726,0.07160029,0.03958839,0.49131304,0.0018576611,0.10953044,0.051355798,0.033196718,0.0004272556,0.026354674,0.00816864,0.009957698,0.057858396,0.028532693,0.029561058,11
0.026487272,0.048111085,0.02521677,0.67668927,0.00085894216,0.08843617,0.01863215,0.019438675,0.00019734904,0.01601356,0.0037890421,0.004229397,0.039452944,0.014553607,0.017893732,12
0.048583664,0.08086407,0.048801523,0.25643992,0.003803013,0.10201572,0.18687102,0.04551949,0.0008751049,0.034566563,0.016521323,0.023296695,0.06533784,0.047497794,0.039006356,13
0.038178418,0.08383155,0.110017695,0.013381424,0.00048108268,0.030334806,0.0036901566,0.38126534,0.00010344091,0.042718828,0.0022842295,0.001231663,0.07616329,0.016366528,0.19995151,14
0.055901747,0.19326614,0.1822855,0.01771909,0.00040559898,0.054042414,0.003603006,0.10542534,8.875122e-05,0.041569665,0.0018947279,0.0011673496,0.21060148,0.012474608,0.11955462,15
0.03695972,0.06191911,0.04500872,0.045395125,0.009299668,0.04673397,0.043486867,0.07026423,0.0012494111,0.034922574,0.1503969,0.013081432,0.048263475,0.3465342,0.046484586,16
0.051201195,0.06520101,0.038223676,0.065459706,0.00035776038,0.6157671,0.0041799867,0.016997652,8.2060615e-05,0.019606585,0.0015517344,0.001389941,0.09203284,0.0070735156,0.02087521,17
0.045866724,0.1756227,0.13492186,0.018078009,0.0004992595,0.045782525,0.0042980406,0.24792908,0.00010773802,0.04068967,0.0023919316,0.0013650137,0.12744702,0.01753802,0.13746244,18
0.037559435,0.06059137,0.045403894,0.04428583,0.010617148,0.046138223,0.04183012,0.070177406,0.0013684161,0.035948504,0.19443357,0.013614845,0.048115823,0.30249614,0.047419276,19
0.040372185,0.06768013,0.038584746,0.50766927,0.0018130376,0.10757503,0.048930656,0.031578727,0.00042003626,0.02598125,0.007854435,0.009918258,0.056228027,0.026721124,0.028673096,20
0.038971554,0.09864139,0.06731215,0.027779512,0.0016754154,0.043301236,0.011812643,0.36840814,0.00032686896,0.04085549,0.0095259305,0.0036059094,0.06431301,0.13557313,0.0878976,21
0.0404555,0.07565859,0.035161186,0.08186341,0.00036522874,0.61221635,0.004573644,0.017714538,8.315917e-05,0.017411992,0.0016156625,0.0014205783,0.08398585,0.0076761846,0.019798053,22
0.02915706,0.044036258,0.034190375,0.034942172,0.01302359,0.035268378,0.03762304,0.049276765,0.0014696866,0.027948802,0.45602787,0.013455675,0.036100157,0.15206517,0.03541502,23
