cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,GHS_urban_area_id
0.048065312,0.079749905,0.07756911,0.07237878,0.42166236,0.012335212,0.06364219,0.22459722,1.0
0.04457572,0.094892375,0.14113459,0.093228176,0.042001132,0.005680901,0.0689856,0.5095015,2.0
0.0075150025,0.009910373,0.030229755,0.012484768,0.007413147,0.002990162,0.9157832,0.013673572,3.0
0.05915482,0.07432488,0.12761194,0.07737474,0.09113213,0.086738564,0.3855246,0.09813831,4.0
0.03686757,0.057277273,0.64697593,0.17473724,0.006837247,0.001830959,0.02787904,0.047594715,5.0
0.014386883,0.018627815,0.052143432,0.023199597,0.01523114,0.006682397,0.84436285,0.025365807,6.0
0.016285256,0.042965494,0.025718741,0.03222195,0.009601476,0.0012516844,0.010031275,0.8619241,7.0
0.05455089,0.23505144,0.058309905,0.09697584,0.012938984,0.002323281,0.01816677,0.5216829,8.0
0.023516692,0.07576524,0.031734936,0.042557757,0.009206205,0.0014337911,0.011334433,0.804451,9.0
0.0719934,0.6259602,0.04398995,0.10199447,0.0077334587,0.0016581358,0.012371841,0.13429852,10.0
0.048271544,0.08104261,0.082468346,0.07366479,0.39647573,0.012735404,0.06982271,0.23551884,11.0
0.044186894,0.07264458,0.07431484,0.06686741,0.46549278,0.012263811,0.06419031,0.20003937,12.0
0.0037041558,0.0052863257,0.005593469,0.005041541,0.96253407,0.0018763191,0.005868722,0.010095332,13.0
0.85429054,0.06452384,0.015857508,0.041000657,0.002889243,0.000928874,0.0053677727,0.015141511,14.0
0.7255122,0.15763485,0.020876065,0.061480243,0.0036120377,0.0010557945,0.0065108617,0.023317952,15.0
0.053924218,0.102087654,0.096184365,0.0874254,0.14870298,0.009878309,0.06665075,0.4351463,16.0
0.07384279,0.41222796,0.059540566,0.12132056,0.0119796675,0.0023273681,0.017592395,0.30116862,17.0
0.06482785,0.81751484,0.019361384,0.05178521,0.0033177251,0.00080494024,0.0055747083,0.036813397,18.0
0.023925057,0.064244926,0.04730174,0.0457614,0.013944548,0.0020520608,0.018665498,0.7841048,19.0
0.0115013225,0.017341642,0.018473117,0.0164177,0.87543994,0.0045983065,0.018427957,0.03780001,20.0
0.03228783,0.11199851,0.039456896,0.057094008,0.010982868,0.001774127,0.013709274,0.73269653,21.0
0.065024875,0.8142717,0.01985706,0.055798404,0.0031947326,0.00077869894,0.005517792,0.0355568,22.0
0.66574496,0.19210213,0.024314208,0.078195296,0.004054502,0.0011601904,0.0073308568,0.027097851,23.0
0.44283444,0.38163584,0.030788995,0.08999852,0.005259545,0.0014683079,0.009340757,0.03867356,24.0
0.029801415,0.04535367,0.65088725,0.07593716,0.012956202,0.003542823,0.12107562,0.060445823,25.0
0.8455717,0.079173036,0.013945773,0.03912229,0.0024640588,0.0007508717,0.0044977595,0.014474522,26.0
0.005355646,0.007590068,0.008024502,0.0071861804,0.94612664,0.002948276,0.008608996,0.014159677,27.0
0.034364853,0.049456563,0.5623754,0.08348278,0.015988104,0.0045788046,0.18534195,0.064411566,28.0
0.010670588,0.014488032,0.060042206,0.019563617,0.008190358,0.0028711697,0.86436003,0.019813968,29.0
0.022092039,0.054724645,0.037961677,0.04014992,0.017185891,0.0021136806,0.01699927,0.8087728,30.0
0.024438322,0.034869548,0.10198993,0.04081478,0.025068356,0.008190248,0.71092653,0.05370225,31.0
0.067143396,0.7024376,0.034350276,0.08740808,0.0060011903,0.0013187403,0.00963417,0.09170653,32.0
