cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,cluster_11_prob,GHS_urban_area_id
0.080436304,0.061914127,0.0009063276,0.15307456,0.08392601,7.475486e-05,0.0040872376,0.08953896,0.45203155,0.0212652,0.046193615,0.00655133,1
0.11090027,0.1248591,0.0006682584,0.04017725,0.3287853,5.8103687e-05,0.0028509547,0.10984231,0.2022367,0.015033983,0.0606382,0.0039495896,2
0.044601284,0.03168429,0.22389257,0.0486294,0.035932645,0.0026569888,0.34182075,0.03323194,0.037769075,0.07322083,0.030059218,0.096500926,3
0.05840341,0.03244304,0.014880802,0.08393201,0.039690718,0.0006523391,0.29498434,0.036119737,0.047090918,0.16096535,0.029834494,0.20100282,4
0.078244515,0.035806637,0.011857436,0.075560026,0.047198724,0.0005859118,0.18778338,0.037922516,0.048475806,0.37532273,0.031598102,0.06964423,5
0.041496824,0.030257018,0.3226343,0.0460014,0.033950076,0.002917361,0.26788792,0.03192016,0.03602194,0.06558954,0.02895969,0.09236378,6
0.13481502,0.046103675,0.0015909155,0.43803224,0.07070032,0.00011950988,0.008305297,0.056236774,0.13494653,0.06011454,0.035745475,0.013289683,7
0.012227384,0.10620436,0.00031581157,0.008902553,0.033115998,3.160245e-05,0.0011293566,0.12930652,0.032485507,0.0038848533,0.6708293,0.0015667395,8
0.028615372,0.019630868,0.0009416212,0.7893668,0.022898952,7.07743e-05,0.0046213367,0.027057461,0.05959046,0.01961709,0.017659198,0.009930115,9
0.012316146,0.10631434,0.0003172349,0.008923278,0.03338001,3.174397e-05,0.0011350057,0.12961045,0.03249664,0.0039078305,0.6699953,0.0015719527,10
0.054222513,0.034524456,0.0024839889,0.61301744,0.04068872,0.00017616671,0.012964316,0.044406567,0.08367178,0.050475687,0.031075053,0.0322933,11
0.026715172,0.018530576,0.00078180444,0.8009738,0.021723066,5.9553844e-05,0.0037852197,0.02579088,0.06073589,0.016618516,0.016470468,0.007815059,12
0.076151215,0.04981653,0.0066768797,0.32619557,0.05735055,0.00043010456,0.03768234,0.061110087,0.096596435,0.0993522,0.046158955,0.14247908,13
0.0123139145,0.10975628,0.00032318456,0.009129079,0.033238906,3.2378262e-05,0.0011517911,0.12881766,0.03333484,0.0039407415,0.6663533,0.0016079559,14
0.0763827,0.043565918,0.0088759195,0.19788317,0.052556608,0.000503144,0.067422085,0.05129954,0.07543638,0.15062216,0.039936468,0.23551592,15
0.47742325,0.062627606,0.00076741853,0.03706133,0.22854637,6.413203e-05,0.0034883732,0.050096527,0.077357605,0.02347026,0.034707565,0.004389598,16
0.060108677,0.053679325,0.0011081707,0.30048326,0.06124135,9.0624366e-05,0.004994593,0.08849661,0.35110173,0.02296092,0.046996716,0.008738119,17
0.01222643,0.107458495,0.00031792241,0.00895863,0.033082847,3.1834024e-05,0.0011351653,0.12831683,0.032667544,0.0038958753,0.67033,0.0015783675,18
0.29619774,0.04405425,0.0023633533,0.106208034,0.07844591,0.00016880647,0.014185925,0.046072315,0.07277606,0.29001698,0.033638295,0.015872372,19
0.024244377,0.01601714,0.000722982,0.82644683,0.019044776,5.4461572e-05,0.0035649042,0.022031296,0.05033965,0.015918234,0.014213137,0.0074022133,20
0.06608029,0.10337423,0.00043221636,0.014780597,0.6721733,3.9052982e-05,0.0017575669,0.046856124,0.04452487,0.00880144,0.03896481,0.002215528,21
0.012958825,0.10821152,0.000306697,0.009989373,0.03518004,3.0052546e-05,0.001122906,0.23162621,0.04255105,0.003986122,0.55244845,0.001588656,22
0.11261616,0.025203215,0.0020280397,0.0675094,0.040616944,0.00013607876,0.013811765,0.02673941,0.040198587,0.63672155,0.020166997,0.014251851,23
0.014131776,0.1895465,0.0003254694,0.009459878,0.04387503,3.228863e-05,0.0011736784,0.1340638,0.0363114,0.004179363,0.5652802,0.0016206463,24
0.70892733,0.03479807,0.0008487073,0.02919246,0.08999362,6.8256144e-05,0.0041182707,0.029206866,0.04008532,0.035848133,0.022311985,0.004601016,25
0.029676896,0.50840133,0.00039735148,0.012643173,0.18882972,3.7770584e-05,0.0015133269,0.09499168,0.049011197,0.00630251,0.10619974,0.0019952946,26
0.034962,0.028613845,0.53375703,0.0414898,0.030650295,0.0050141504,0.09946571,0.030138498,0.03352105,0.046829566,0.027826156,0.08773189,27
0.48040962,0.06370963,0.0008130054,0.030542323,0.24944764,6.878238e-05,0.0036465456,0.04683851,0.060789704,0.024164036,0.03521876,0.0043514604,28
