cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,GHS_urban_area_id
0.017700184,0.00039334205,0.90390885,0.051124495,0.026873132,1.0
0.07757696,0.0006675834,0.13086341,0.6381748,0.15271734,2.0
0.013961429,5.84114e-05,0.006180028,0.94144666,0.038353425,3.0
0.0117189,0.0002785973,0.93780005,0.032674868,0.017527474,4.0
0.88294417,5.2377298e-05,0.0023548065,0.016524263,0.09812436,5.0
0.04431384,0.00012709097,0.011309949,0.7781127,0.16613641,6.0
0.08639836,0.00088121847,0.21668546,0.5347202,0.1613148,7.0
0.09474969,0.00015241731,0.010836053,0.29702553,0.59723634,8.0
0.02308647,0.000115434115,0.013637613,0.9063332,0.05682726,9.0
0.07962823,9.849041e-05,0.006523924,0.12687974,0.7868696,10.0
0.08399319,0.0010638516,0.3659519,0.40320465,0.14578646,11.0
0.07431736,0.0010731823,0.4934712,0.30651346,0.124624826,12.0
0.017178655,0.00068553985,0.9223651,0.036257926,0.023512844,13.0
0.9331257,4.892574e-05,0.0020182093,0.012161033,0.052646168,14.0
0.047047067,0.0001241293,0.010552403,0.7615032,0.18077312,15.0
0.047364414,0.00028958102,0.04069812,0.80368006,0.10796788,16.0
0.020749899,0.00010229695,0.011832533,0.9163379,0.050977256,17.0
0.06112993,4.656218e-05,0.0027717336,0.037394214,0.89865756,18.0
0.052245997,0.0003333706,0.048740484,0.78229594,0.116384156,19.0
0.02277322,0.00048537928,0.8741951,0.06770398,0.034842346,20.0
0.08206869,0.00011704794,0.008093395,0.17137802,0.7383428,21.0
0.01106301,4.0625804e-05,0.0039492487,0.95317805,0.031769015,22.0
0.06655973,5.430804e-05,0.0032802518,0.04662932,0.8834763,23.0
0.8119136,7.0025875e-05,0.0032377986,0.023849059,0.1609295,24.0
0.92414194,5.6880166e-05,0.0023391838,0.013876494,0.05958557,25.0
0.08065246,5.080007e-05,0.0029139074,0.03532818,0.88105464,26.0
0.097463146,0.009131977,0.6152947,0.15751317,0.12059697,27.0
0.06172254,5.8939582e-05,0.0036589135,0.056164164,0.8783954,28.0
0.08579314,0.000116507006,0.007925534,0.16973473,0.7364301,29.0
0.03319867,0.00018218691,0.023217501,0.865142,0.07825964,30.0
0.027110718,0.0001410447,0.017119883,0.88961697,0.06601139,31.0
0.07581763,8.254252e-05,0.005299083,0.09361156,0.8251892,32.0
0.05407327,0.0009192994,0.6717217,0.18599659,0.08728911,33.0
0.057228893,0.0009503961,0.6465749,0.2026183,0.092627555,34.0
0.0667325,0.0010288099,0.5678824,0.25412157,0.11023471,35.0
0.062176287,6.719692e-05,0.004326867,0.071950756,0.8614789,36.0
0.008621024,0.000304093,0.959964,0.019089779,0.0120210545,37.0
0.11930264,5.944878e-05,0.0033047583,0.035837352,0.8414958,38.0
0.0065015205,0.00016643164,0.9665632,0.017213378,0.009555579,39.0
0.03794544,0.000733307,0.77933663,0.12283834,0.059146214,40.0
0.05452991,4.8352977e-05,0.002968045,0.04315905,0.8992946,41.0
0.3752387,0.00010168713,0.005187715,0.046126295,0.5733456,42.0
0.05423684,0.0009340625,0.6652584,0.19275036,0.08682034,43.0
0.919183,6.657641e-05,0.0026741496,0.015762784,0.062313497,44.0
0.03867829,0.00022927707,0.030456454,0.8430933,0.08754271,45.0
0.04896954,0.00032109124,0.045340322,0.8012325,0.104136504,46.0
0.08751382,0.0072993217,0.6495724,0.1462231,0.10939141,47.0
0.8762892,5.591249e-05,0.0025101136,0.017334348,0.10381033,48.0
0.007689962,0.00020458155,0.9605599,0.020322964,0.01122265,49.0
0.10830895,0.011816007,0.57736605,0.1704118,0.13209715,50.0
0.077618144,0.0006852502,0.13479792,0.636736,0.15016271,52.0
0.021369027,0.00010135914,0.011680069,0.912047,0.054802544,53.0
0.77391547,7.775344e-05,0.0036360468,0.027296817,0.19507398,54.0
0.0873131,0.0010614974,0.30110174,0.45955724,0.15096647,55.0
0.82624507,6.7662804e-05,0.0031049866,0.02244502,0.14813729,56.0
0.055960465,0.00039322893,0.058592435,0.76933813,0.11571571,57.0
0.85821736,5.8602152e-05,0.0026719363,0.019276682,0.11977541,58.0
0.07528313,0.00064621255,0.122660704,0.65375334,0.14765665,59.0
0.83475953,6.566615e-05,0.0030109622,0.021629682,0.14053413,60.0
0.6686723,9.443285e-05,0.0045462516,0.035614897,0.29107213,61.0
0.11611555,5.8400667e-05,0.0032383257,0.034341894,0.8462458,62.0
0.49346405,0.000104085404,0.0051869936,0.044189397,0.45705548,63.0
0.07568093,0.001088764,0.47659704,0.3199373,0.12669599,64.0
0.89402723,5.0622526e-05,0.0022507007,0.015360969,0.08831056,65.0
0.020445395,9.68755e-05,0.0111327665,0.91635174,0.051973194,66.0
0.027131481,0.00014248765,0.017364874,0.89042103,0.0649401,67.0
0.06768784,0.0045310254,0.7200251,0.12120232,0.0865537,68.0
0.0061011375,0.00015889309,0.96861136,0.016171023,0.008957569,69.0
0.07898281,0.0007055124,0.14267947,0.624424,0.1532083,70.0
0.008371798,0.00029834372,0.96099263,0.018674027,0.011663317,71.0
0.051424548,4.4873275e-05,0.0027463688,0.039033737,0.9067505,72.0
0.029841213,0.00016034351,0.01995407,0.87937117,0.07067316,73.0
0.93850315,4.0058338e-05,0.0016946277,0.010679746,0.04908241,74.0
0.017680379,6.887122e-05,0.0071035475,0.92367196,0.05147533,75.0
0.15880871,0.052581992,0.39843574,0.20989127,0.18028225,76.0
0.090030976,0.00013676342,0.009592887,0.23334208,0.6668973,77.0
0.05734265,0.003462303,0.75981975,0.10510872,0.07426662,78.0
0.058977947,5.8221784e-05,0.0036627024,0.05754468,0.87975645,79.0
0.90216404,4.738251e-05,0.0021030249,0.0143569065,0.08132863,80.0
0.9382832,4.2851687e-05,0.0017840931,0.01099039,0.048899397,81.0
0.015920272,5.8883757e-05,0.0058746445,0.9305618,0.047584463,82.0
0.067975655,4.3897548e-05,0.002545632,0.031046497,0.8983883,83.0
0.005526418,0.0001547658,0.9721505,0.0141733065,0.007994964,84.0
0.7618995,7.9523285e-05,0.0037360662,0.02845738,0.2058276,85.0
0.930299,5.320325e-05,0.0021787342,0.01300859,0.05446046,86.0
0.32296827,9.8893244e-05,0.0051401714,0.04944468,0.622348,87.0
0.090938106,5.1351093e-05,0.0029035802,0.033180293,0.8729267,88.0
0.022531955,0.00011052958,0.012870823,0.90783113,0.0566556,89.0
0.068867564,7.851175e-05,0.0051243985,0.09057451,0.835355,90.0
0.9359673,4.352686e-05,0.0018262165,0.011590248,0.050572686,91.0
0.062873945,0.0001613351,0.013573812,0.6538473,0.26954356,92.0
0.92855525,4.1981595e-05,0.0018008413,0.011544711,0.058057267,93.0
0.94009525,4.048152e-05,0.0016935908,0.010601417,0.04756924,94.0
